calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,113253.92,0.00,1,113253.92,last_posted_transaction_or_prior_closing_balance,synb1_txn_f95d05ad439d2199dc9c789f,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,3804.65,2,109449.27,last_posted_transaction_or_prior_closing_balance,synb1_txn_bbcc3df3afe7a5757d940f74,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,50727.82,1,58721.45,last_posted_transaction_or_prior_closing_balance,synb1_txn_d1db6640511644a6d7eac402,trusted,weekday_rule,base_calendar,True,3,2025-01-04,complete
2025-01-04,84171.92,0.00,1,142893.37,last_posted_transaction_or_prior_closing_balance,synb1_txn_e29c969ac3531432a1197396,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-05,complete
2025-01-05,0.00,65802.17,1,77091.20,last_posted_transaction_or_prior_closing_balance,synb1_txn_981568d1cbdd113a79e262df,trusted,historical_transaction_override,historical_transaction_override,True,5,2025-01-06,complete
2025-01-06,0.00,0.00,0,77091.20,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-07,complete
2025-01-07,0.00,0.00,0,77091.20,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-08,complete
2025-01-08,0.00,12929.53,3,64161.67,last_posted_transaction_or_prior_closing_balance,synb1_txn_926562ce2ff81db5db82e434,trusted,weekday_rule,base_calendar,True,8,2025-01-09,complete
2025-01-09,0.00,46646.32,1,17515.35,last_posted_transaction_or_prior_closing_balance,synb1_txn_3696b4045261dca0fa3af46a,trusted,weekday_rule,base_calendar,True,9,2025-01-10,complete
2025-01-10,0.00,2182.47,1,15332.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_550ca42e14c36fdb6496142b,trusted,weekday_rule,base_calendar,True,10,2025-01-11,complete
2025-01-11,0.00,2007.88,1,13325.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_3b5d6ae83109b31f955d6c1b,trusted,historical_transaction_override,historical_transaction_override,True,11,2025-01-12,complete
2025-01-12,99173.82,0.00,1,112498.82,last_posted_transaction_or_prior_closing_balance,synb1_txn_eee20887702d935bb17b61de,trusted,historical_transaction_override,historical_transaction_override,True,12,2025-01-13,complete
2025-01-13,0.00,0.00,0,112498.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-14,complete
2025-01-14,0.00,0.00,0,112498.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2025-01-15,complete
2025-01-15,0.00,0.00,0,112498.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-16,complete
2025-01-16,0.00,0.00,0,112498.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2025-01-17,complete
2025-01-17,0.00,0.00,0,112498.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-20,complete
2025-01-18,0.00,0.00,0,112498.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,0.00,0,112498.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,0.00,0.00,0,112498.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-21,complete
2025-01-21,0.00,8524.33,2,103974.49,last_posted_transaction_or_prior_closing_balance,synb1_txn_4c3f3d8c37c21aec7790948a,trusted,weekday_rule,base_calendar,True,19,2025-01-22,complete
2025-01-22,0.00,0.00,0,103974.49,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,20,2025-01-23,complete
2025-01-23,0.00,2327.59,1,101646.90,last_posted_transaction_or_prior_closing_balance,synb1_txn_4827eb8c0b20a0f2fd47cbf6,trusted,weekday_rule,base_calendar,True,21,2025-01-24,complete
