calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,5957146.71,58171.75,3,5898974.96,last_posted_transaction_or_prior_closing_balance,synb1_txn_0e92db398be8b05a77e4de54,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,5898974.96,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,0.00,0,5898974.96,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,3,2025-01-04,complete
2025-01-04,745847.75,0.00,1,6644822.71,last_posted_transaction_or_prior_closing_balance,synb1_txn_2136452b2b43c82da8f8c528,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-06,complete
2025-01-05,0.00,0.00,0,6644822.71,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,6644822.71,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,5,2025-01-07,complete
2025-01-07,0.00,57179.27,1,6587643.44,last_posted_transaction_or_prior_closing_balance,synb1_txn_950d7da754444ba9a90597ce,trusted,weekday_rule,base_calendar,True,6,2025-01-08,complete
2025-01-08,1222914.57,0.00,2,7810558.01,last_posted_transaction_or_prior_closing_balance,synb1_txn_47b23d16c3382e5fab228497,trusted,weekday_rule,base_calendar,True,7,2025-01-09,complete
2025-01-09,0.00,0.00,0,7810558.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-10,complete
2025-01-10,0.00,0.00,0,7810558.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2025-01-13,complete
2025-01-11,0.00,0.00,0,7810558.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,7810558.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,525192.26,63671.97,2,8272078.30,last_posted_transaction_or_prior_closing_balance,synb1_txn_658cfea784857acee7af59f6,trusted,weekday_rule,base_calendar,True,10,2025-01-14,complete
2025-01-14,0.00,0.00,0,8272078.30,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-15,complete
2025-01-15,0.00,722500.00,1,7549578.30,last_posted_transaction_or_prior_closing_balance,synb1_txn_bb58835f987183f102fe2c50,trusted,weekday_rule,base_calendar,True,12,2025-01-16,complete
2025-01-16,711573.68,0.00,1,8261151.98,last_posted_transaction_or_prior_closing_balance,synb1_txn_3e4539c066c34bbd0d88acd4,trusted,weekday_rule,base_calendar,True,13,2025-01-17,complete
2025-01-17,0.00,199482.76,1,8061669.22,last_posted_transaction_or_prior_closing_balance,synb1_txn_9968fe1d348b36dfe1a90419,trusted,weekday_rule,base_calendar,True,14,2025-01-20,complete
2025-01-18,0.00,0.00,0,8061669.22,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,0.00,0,8061669.22,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,0.00,0.00,0,8061669.22,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-21,complete
2025-01-21,0.00,0.00,0,8061669.22,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2025-01-22,complete
2025-01-22,620927.75,0.00,1,8682596.97,last_posted_transaction_or_prior_closing_balance,synb1_txn_eab2b58e243b730201d48f99,trusted,weekday_rule,base_calendar,True,17,2025-01-23,complete
2025-01-23,0.00,0.00,0,8682596.97,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-24,complete
2025-01-24,0.00,0.00,0,8682596.97,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,19,2025-01-26,complete
2025-01-25,0.00,0.00,0,8682596.97,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-26,0.00,0.00,0,8682596.97,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,20,2025-01-27,complete
2025-01-27,0.00,0.00,0,8682596.97,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2025-01-29,complete
2025-01-28,0.00,0.00,0,8682596.97,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-29,669697.45,0.00,1,9352294.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_6a3d275c6e3f72db681166a5,trusted,historical_transaction_override,historical_transaction_override,True,22,2025-02-02,complete
2025-01-30,0.00,0.00,0,9352294.42,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-31,0.00,0.00,0,9352294.42,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-01,0.00,0.00,0,9352294.42,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-02,0.00,52310.67,1,9299983.75,last_posted_transaction_or_prior_closing_balance,synb1_txn_572daa44089b38e0cb3bd17e,trusted,historical_transaction_override,historical_transaction_override,True,23,2025-02-04,complete
2025-02-03,0.00,0.00,0,9299983.75,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-04,1142017.51,0.00,1,10442001.26,last_posted_transaction_or_prior_closing_balance,synb1_txn_5f1e8dd0b67f1a0cafee5c25,trusted,historical_transaction_override,historical_transaction_override,True,24,2025-02-05,complete
2025-02-05,1496851.42,0.00,1,11938852.68,last_posted_transaction_or_prior_closing_balance,synb1_txn_0fcbcf8c51dc9852a163500f,trusted,weekday_rule,base_calendar,True,25,2025-02-06,complete
2025-02-06,0.00,0.00,0,11938852.68,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,26,2025-02-07,complete
2025-02-07,0.00,1439212.37,1,10499640.31,last_posted_transaction_or_prior_closing_balance,synb1_txn_2f1ff8ecbd122f7c5777604d,trusted,weekday_rule,base_calendar,True,27,2025-02-08,complete
2025-02-08,0.00,0.00,0,10499640.31,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,28,2025-02-10,complete
2025-02-09,0.00,0.00,0,10499640.31,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-10,0.00,0.00,0,10499640.31,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,29,2025-02-11,complete
2025-02-11,0.00,0.00,0,10499640.31,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,30,2025-02-12,complete
2025-02-12,1279662.36,0.00,1,11779302.67,last_posted_transaction_or_prior_closing_balance,synb1_txn_dfcc3071665bcc1f32329a5a,trusted,weekday_rule,base_calendar,True,31,2025-02-13,complete
2025-02-13,0.00,0.00,0,11779302.67,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,32,2025-02-14,complete
2025-02-14,0.00,1232950.46,1,10546352.21,last_posted_transaction_or_prior_closing_balance,synb1_txn_e9ad70568f3cb7bbaddf373f,trusted,weekday_rule,base_calendar,True,33,2025-02-15,complete
2025-02-15,0.00,1312066.54,1,9234285.67,last_posted_transaction_or_prior_closing_balance,synb1_txn_94313a0b3da8dc19af77ed54,trusted,historical_transaction_override,historical_transaction_override,True,34,2025-02-16,complete
2025-02-16,1582625.89,0.00,1,10816911.56,last_posted_transaction_or_prior_closing_balance,synb1_txn_bfa80ece5f1ebcdab30ee91b,trusted,historical_transaction_override,historical_transaction_override,True,35,2025-02-17,complete
2025-02-17,0.00,0.00,0,10816911.56,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,36,2025-02-18,complete
2025-02-18,0.00,1891166.42,2,8925745.14,last_posted_transaction_or_prior_closing_balance,synb1_txn_436b7495cbc4d05eefaa490b,trusted,weekday_rule,base_calendar,True,37,2025-02-19,complete
2025-02-19,0.00,0.00,0,8925745.14,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,38,2025-02-20,complete
2025-02-20,1343703.43,0.00,1,10269448.57,last_posted_transaction_or_prior_closing_balance,synb1_txn_9faafb35236d369fdb0c0f47,trusted,weekday_rule,base_calendar,True,39,2025-02-21,complete
2025-02-21,0.00,69103.51,1,10200345.06,last_posted_transaction_or_prior_closing_balance,synb1_txn_265b083bf88f297fe734824f,trusted,weekday_rule,base_calendar,True,40,2025-02-22,complete
2025-02-22,1134483.26,3076564.99,3,8258263.33,last_posted_transaction_or_prior_closing_balance,synb1_txn_2efd9a3b9af018605097d7bf,trusted,historical_transaction_override,historical_transaction_override,True,41,2025-02-23,complete
2025-02-23,1189686.09,0.00,1,9447949.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_c2f93ace26d98bad9fa71e33,trusted,historical_transaction_override,historical_transaction_override,True,42,2025-02-24,complete
2025-02-24,1237209.78,0.00,1,10685159.20,last_posted_transaction_or_prior_closing_balance,synb1_txn_9acb9c79d0cf5c41ed2f585a,trusted,weekday_rule,base_calendar,True,43,2025-02-25,complete
2025-02-25,0.00,57608.81,1,10627550.39,last_posted_transaction_or_prior_closing_balance,synb1_txn_5abaf48a083a53877cdc38da,trusted,weekday_rule,base_calendar,True,44,2025-02-26,complete
2025-02-26,0.00,0.00,0,10627550.39,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,45,2025-02-27,complete
2025-02-27,0.00,500895.22,3,10126655.17,last_posted_transaction_or_prior_closing_balance,synb1_txn_8e68e13f00eb21c28f82d6b7,trusted,weekday_rule,base_calendar,True,46,2025-02-28,complete
2025-02-28,0.00,2279616.32,2,7847038.85,last_posted_transaction_or_prior_closing_balance,synb1_txn_55d0dad25503e62b2d10bd38,trusted,weekday_rule,base_calendar,True,47,2025-03-03,complete
2025-03-01,0.00,0.00,0,7847038.85,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-02,0.00,0.00,0,7847038.85,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-03,10741379.00,0.00,1,18588417.85,last_posted_transaction_or_prior_closing_balance,synb1_txn_daa05cbd4248518aa4e4f692,trusted,weekday_rule,base_calendar,True,48,2025-03-04,complete
2025-03-04,1922920.05,1890042.74,2,18621295.16,last_posted_transaction_or_prior_closing_balance,synb1_txn_fea58a203623c3c3682e715c,trusted,weekday_rule,base_calendar,True,49,2025-03-05,complete
2025-03-05,1458861.43,0.00,1,20080156.59,last_posted_transaction_or_prior_closing_balance,synb1_txn_914acdc2d1cd64e14e995a9a,trusted,weekday_rule,base_calendar,True,50,2025-03-06,complete
2025-03-06,0.00,0.00,0,20080156.59,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,51,2025-03-07,complete
2025-03-07,0.00,0.00,0,20080156.59,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,52,2025-03-08,complete
2025-03-08,0.00,2824223.71,1,17255932.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_b23b1b9a4c69d37694b8a318,trusted,historical_transaction_override,historical_transaction_override,True,53,2025-03-10,complete
2025-03-09,0.00,0.00,0,17255932.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-10,0.00,63956.24,1,17191976.64,last_posted_transaction_or_prior_closing_balance,synb1_txn_7038a238ae31e9cad0a56e87,trusted,weekday_rule,base_calendar,True,54,2025-03-11,complete
2025-03-11,0.00,0.00,0,17191976.64,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,55,2025-03-12,complete
2025-03-12,0.00,0.00,0,17191976.64,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,56,2025-03-13,complete
2025-03-13,0.00,0.00,0,17191976.64,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,57,2025-03-14,complete
2025-03-14,0.00,54074.91,1,17137901.73,last_posted_transaction_or_prior_closing_balance,synb1_txn_d128874d109920f9e467b8e5,trusted,weekday_rule,base_calendar,True,58,2025-03-15,complete
2025-03-15,0.00,722500.00,1,16415401.73,last_posted_transaction_or_prior_closing_balance,synb1_txn_05db0cef2fcc92cc5a54ab7e,trusted,historical_transaction_override,historical_transaction_override,True,59,2025-03-16,complete
2025-03-16,0.00,2297213.18,1,14118188.55,last_posted_transaction_or_prior_closing_balance,synb1_txn_575f9f5fa4f75b5eb71d1be4,trusted,historical_transaction_override,historical_transaction_override,True,60,2025-03-17,complete
2025-03-17,0.00,0.00,0,14118188.55,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,61,2025-03-18,complete
2025-03-18,1544913.24,0.00,1,15663101.79,last_posted_transaction_or_prior_closing_balance,synb1_txn_551f9baa06102b3ce5c3117b,trusted,weekday_rule,base_calendar,True,62,2025-03-19,complete
2025-03-19,1521710.31,2789744.29,3,14395067.81,last_posted_transaction_or_prior_closing_balance,synb1_txn_00444a98b78e682a8bab7bc5,trusted,weekday_rule,base_calendar,True,63,2025-03-20,complete
2025-03-20,0.00,0.00,0,14395067.81,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,64,2025-03-21,complete
2025-03-21,0.00,2012265.34,1,12382802.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_c7ba2a9a7e783e37cd3fde98,trusted,weekday_rule,base_calendar,True,65,2025-03-22,complete
2025-03-22,1911592.63,0.00,1,14294395.10,last_posted_transaction_or_prior_closing_balance,synb1_txn_dd13772d6bd1b2aca183bcfa,trusted,historical_transaction_override,historical_transaction_override,True,66,2025-03-24,complete
2025-03-23,0.00,0.00,0,14294395.10,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-24,1476948.75,0.00,1,15771343.85,last_posted_transaction_or_prior_closing_balance,synb1_txn_cfb5a5257d48655412be56cd,trusted,weekday_rule,base_calendar,True,67,2025-03-25,complete
2025-03-25,0.00,0.00,0,15771343.85,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,68,2025-03-26,complete
2025-03-26,0.00,2651015.46,1,13120328.39,last_posted_transaction_or_prior_closing_balance,synb1_txn_fa59f2064b1617c6913d2ef6,trusted,weekday_rule,base_calendar,True,69,2025-03-27,complete
2025-03-27,0.00,537296.49,3,12583031.90,last_posted_transaction_or_prior_closing_balance,synb1_txn_62ec4cf51d6e00f55c1fd148,trusted,weekday_rule,base_calendar,True,70,2025-03-28,complete
2025-03-28,0.00,60991.84,1,12522040.06,last_posted_transaction_or_prior_closing_balance,synb1_txn_c9c4b2f6ee22b79982cc86ea,trusted,weekday_rule,base_calendar,True,71,2025-03-30,complete
2025-03-29,0.00,0.00,0,12522040.06,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-30,1442601.11,2215016.68,2,11749624.49,last_posted_transaction_or_prior_closing_balance,synb1_txn_3b1e7f86594d138df1d157a1,trusted,historical_transaction_override,historical_transaction_override,True,72,2025-03-31,complete
2025-03-31,2140881.44,0.00,1,13890505.93,last_posted_transaction_or_prior_closing_balance,synb1_txn_f0cb40f16dce463e96a1fed4,trusted,weekday_rule,base_calendar,True,73,2025-04-01,complete
2025-04-01,0.00,55589.64,1,13834916.29,last_posted_transaction_or_prior_closing_balance,synb1_txn_5055eb602f178d3a39ca88c3,trusted,weekday_rule,base_calendar,True,74,2025-04-02,complete
2025-04-02,0.00,0.00,0,13834916.29,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,75,2025-04-03,complete
2025-04-03,0.00,549353.91,2,13285562.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_98ddd8c0e365149cff46d8dc,trusted,weekday_rule,base_calendar,True,76,2025-04-04,complete
2025-04-04,1871643.85,0.00,1,15157206.23,last_posted_transaction_or_prior_closing_balance,synb1_txn_194cd60659748717bc94e299,trusted,historical_transaction_override,historical_transaction_override,True,77,2025-04-06,complete
2025-04-05,0.00,0.00,0,15157206.23,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-04-06,3068476.05,0.00,2,18225682.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_1398267afb21931c5d624c1b,trusted,historical_transaction_override,historical_transaction_override,True,78,2025-04-07,complete
2025-04-07,1560292.53,1636048.91,2,18149925.90,last_posted_transaction_or_prior_closing_balance,synb1_txn_dbf7784d945728c86faae5d2,trusted,weekday_rule,base_calendar,True,79,2025-04-08,complete
2025-04-08,0.00,0.00,0,18149925.90,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,80,2025-04-09,complete
2025-04-09,0.00,0.00,0,18149925.90,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,81,2025-04-10,complete
2025-04-10,0.00,0.00,0,18149925.90,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,82,2025-04-11,complete
2025-04-11,0.00,2562793.89,2,15587132.01,last_posted_transaction_or_prior_closing_balance,synb1_txn_5df0afba0c0165147da101ca,trusted,weekday_rule,base_calendar,True,83,2025-04-12,complete
