calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,4751610.51,0.00,1,4751610.51,last_posted_transaction_or_prior_closing_balance,synb1_txn_8b05d2d1613d7e6a304466e8,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,42764.04,1,4708846.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_36900b21fec0a5f70e51b834,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,739315.40,1,3969531.07,last_posted_transaction_or_prior_closing_balance,synb1_txn_487e07de5460142683b5026a,trusted,weekday_rule,base_calendar,True,3,2025-01-04,complete
2025-01-04,1392739.96,0.00,1,5362271.03,last_posted_transaction_or_prior_closing_balance,synb1_txn_6868c812aaf8845e5d273edb,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-05,complete
2025-01-05,0.00,124974.83,1,5237296.20,last_posted_transaction_or_prior_closing_balance,synb1_txn_3297253223b3b7e7dfa435f4,trusted,historical_transaction_override,historical_transaction_override,True,5,2025-01-06,complete
2025-01-06,0.00,812733.68,2,4424562.52,last_posted_transaction_or_prior_closing_balance,synb1_txn_74c0b6ac4bb9b6c45cfbd6cc,trusted,weekday_rule,base_calendar,True,6,2025-01-07,complete
2025-01-07,1317013.43,0.00,1,5741575.95,last_posted_transaction_or_prior_closing_balance,synb1_txn_44db0c684bc8f8d8c97de72c,trusted,weekday_rule,base_calendar,True,7,2025-01-08,complete
2025-01-08,0.00,0.00,0,5741575.95,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-09,complete
2025-01-09,0.00,87599.32,2,5653976.63,last_posted_transaction_or_prior_closing_balance,synb1_txn_5b47eff81085cec5c5fbc5b6,trusted,weekday_rule,base_calendar,True,9,2025-01-10,complete
2025-01-10,0.00,0.00,0,5653976.63,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2025-01-11,complete
2025-01-11,0.00,39327.76,1,5614648.87,last_posted_transaction_or_prior_closing_balance,synb1_txn_45e8d8299cbfea1528a746cd,trusted,historical_transaction_override,historical_transaction_override,True,11,2025-01-13,complete
2025-01-12,0.00,0.00,0,5614648.87,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,5614648.87,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2025-01-14,complete
2025-01-14,953037.54,1179691.42,3,5387994.99,last_posted_transaction_or_prior_closing_balance,synb1_txn_b80d29d6f801abd759160a28,trusted,weekday_rule,base_calendar,True,13,2025-01-15,complete
2025-01-15,0.00,109753.23,1,5278241.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_68e1dad1b4450c02d97d7894,trusted,weekday_rule,base_calendar,True,14,2025-01-16,complete
2025-01-16,0.00,999805.06,1,4278436.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_a04aedf251ead15fdeb28586,trusted,weekday_rule,base_calendar,True,15,2025-01-17,complete
2025-01-17,0.00,0.00,0,4278436.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2025-01-20,complete
2025-01-18,0.00,0.00,0,4278436.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,0.00,0,4278436.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,0.00,0.00,0,4278436.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-21,complete
2025-01-21,0.00,0.00,0,4278436.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-22,complete
2025-01-22,0.00,0.00,0,4278436.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,19,2025-01-23,complete
2025-01-23,0.00,0.00,0,4278436.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,20,2025-01-24,complete
2025-01-24,0.00,0.00,0,4278436.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2025-01-26,complete
2025-01-25,0.00,0.00,0,4278436.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-26,0.00,0.00,0,4278436.70,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,22,2025-01-27,complete
2025-01-27,0.00,0.00,0,4278436.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,23,2025-01-29,complete
2025-01-28,0.00,0.00,0,4278436.70,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-29,1024809.07,0.00,1,5303245.77,last_posted_transaction_or_prior_closing_balance,synb1_txn_0a2dc6abcb4abd1357627592,trusted,historical_transaction_override,historical_transaction_override,True,24,2025-02-03,complete
2025-01-30,0.00,0.00,0,5303245.77,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-31,0.00,0.00,0,5303245.77,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-01,0.00,0.00,0,5303245.77,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-02,0.00,0.00,0,5303245.77,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-03,773397.97,0.00,1,6076643.74,last_posted_transaction_or_prior_closing_balance,synb1_txn_a97e695681a6edcf1482208b,trusted,historical_transaction_override,historical_transaction_override,True,25,2025-02-04,complete
2025-02-04,0.00,38786.54,1,6037857.20,last_posted_transaction_or_prior_closing_balance,synb1_txn_f8a3b6b10734e7662c889378,trusted,historical_transaction_override,historical_transaction_override,True,26,2025-02-05,complete
2025-02-05,783664.64,0.00,1,6821521.84,last_posted_transaction_or_prior_closing_balance,synb1_txn_1474bfb2d6c04108c5c1823d,trusted,weekday_rule,base_calendar,True,27,2025-02-06,complete
2025-02-06,0.00,0.00,0,6821521.84,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,28,2025-02-07,complete
2025-02-07,0.00,0.00,0,6821521.84,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,29,2025-02-08,complete
