transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_259264da18acdbaa5c06dfe3,2025-01-01T09:00:00,0.00,117695648.03,117695648.03
synb1_txn_d64c9b32e72b2c3ace6795cf,2025-01-07T09:32:59,217352.01,0.00,117478296.02
synb1_txn_02212de1dd789cb788382015,2025-01-08T14:54:35,843594.83,0.00,116634701.19
synb1_txn_2f02dc16ddd5abec2071b637,2025-01-18T16:00:00,4064040.00,0.00,112570661.19
synb1_txn_dfeb320d461423e9360e7862,2025-01-23T10:09:18,217399.46,0.00,112353261.73
synb1_txn_bfff26646d69dadf1fe151ba,2025-01-27T10:31:34,209214.05,0.00,112144047.68
synb1_txn_2cc16f7537a5a0c7f3f8b68a,2025-02-02T09:16:52,843594.83,0.00,111300452.85
synb1_txn_734331216cbefc26118c0593,2025-02-09T17:40:36,221274.41,0.00,111079178.44
synb1_txn_5580a2cb7b09a8c2735e502b,2025-02-11T13:16:50,4064040.00,0.00,107015138.44
synb1_txn_fb01ec44a638f856939f837a,2025-02-18T14:55:08,199164.59,0.00,106815973.85
synb1_txn_f628cd4733a0b80dc185c5f8,2025-02-20T16:57:36,223526.52,0.00,106592447.33
synb1_txn_4109c91f687813ffec12348a,2025-03-03T09:00:00,0.00,38637931.00,145230378.33
synb1_txn_554efa62fbe6a825885a8353,2025-03-05T14:59:36,212428.02,0.00,145017950.31
synb1_txn_e0ea6c57af534160d8f9d203,2025-03-09T12:01:24,235399.52,0.00,144782550.79
synb1_txn_a6419a44e15e8fc01d957faa,2025-03-09T13:24:45,2579213.93,0.00,142203336.86
synb1_txn_596a0443e51e4ade40e3bf8c,2025-03-20T14:22:45,2932339.44,0.00,139270997.42
synb1_txn_e58a138128e925a0902045ef,2025-03-21T14:47:26,196137.98,0.00,139074859.44
synb1_txn_87e45cf5e022b5835a6a76ff,2025-03-26T16:54:57,0.00,2495727.86,141570587.30
synb1_txn_46fcb5dbb3ec2dea44b506ed,2025-03-26T17:18:59,843594.83,0.00,140726992.47
synb1_txn_d0ecc017235eb1da5ee7b092,2025-03-26T17:41:25,2337907.10,0.00,138389085.37
synb1_txn_5a8f8fa0ff85349049042774,2025-03-28T09:45:27,0.00,2870651.44,141259736.81
synb1_txn_d441e2e346dfd576836d90e4,2025-03-31T12:48:25,4064040.00,0.00,137195696.81
synb1_txn_b59630812ad39b325ba2cb1b,2025-04-03T09:00:00,133888.37,0.00,137061808.44
synb1_txn_e094452e0b519fcf9ce83677,2025-04-04T15:01:13,206328.73,0.00,136855479.71
synb1_txn_7ad2f978ca01bf7024a519f6,2025-04-12T11:00:10,7599683.55,0.00,129255796.16
synb1_txn_e1ef65c1141d50cbcf3427b8,2025-04-14T15:38:06,843594.83,0.00,128412201.33
synb1_txn_6d1b540c2ef4bbb7615a5c51,2025-04-14T16:57:40,7332558.00,0.00,121079643.33
synb1_txn_bfe9ab00873077c21b53cdb7,2025-04-16T13:11:34,4064040.00,0.00,117015603.33
synb1_txn_09520f57a91f02b84fb81e2f,2025-04-25T09:00:00,955561.98,0.00,116060041.35
synb1_txn_27d9dfa2da5d2a54c17d46b2,2025-04-25T09:00:00,3123232.74,0.00,112936808.61
synb1_txn_7a8df04307fab591d8abe8e4,2025-04-25T09:00:00,374787.91,0.00,112562020.70
synb1_txn_d401520b8c0eddec12494993,2025-04-26T14:24:10,0.00,7223747.52,119785768.22
synb1_txn_ebface1759f3d46352c447f9,2025-04-26T17:41:58,0.00,7086597.28,126872365.50
synb1_txn_d2f74aa3e862dc7385d519e6,2025-04-27T15:09:48,191545.05,0.00,126680820.45
synb1_txn_1639626d1ff44e0601ca4746,2025-04-29T17:39:43,246091.74,0.00,126434728.71
synb1_txn_c8f7208eb2f929fc6f60b71f,2025-04-30T13:23:01,8045147.93,0.00,118389580.78
synb1_txn_aad47b5dc9695232da011b3e,2025-05-03T09:00:00,129569.39,0.00,118260011.39
synb1_txn_e48681a8f2ef33801cd9d310,2025-05-04T13:44:03,228865.95,0.00,118031145.44
synb1_txn_d237262724312ee5e5f4364f,2025-05-07T16:08:57,8812176.80,0.00,109218968.64
synb1_txn_6ea85e15e012c39fc9e967fc,2025-05-13T14:48:54,4064040.00,0.00,105154928.64
synb1_txn_c62d12dfa40523a71a21c4a4,2025-05-13T17:01:13,843594.83,0.00,104311333.81
synb1_txn_7f01cb41855600dddf113398,2025-05-16T12:08:17,9592544.22,0.00,94718789.59
synb1_txn_8d57bf1f8991929ab7eaefa7,2025-05-17T10:00:49,201148.54,0.00,94517641.05
synb1_txn_9ceead58c20873a920503215,2025-05-18T11:00:24,8504375.27,0.00,86013265.78
synb1_txn_8f51bc25f51bb67b34ad69ac,2025-05-23T13:33:06,0.00,17898286.88,103911552.66
