transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_1f1aeb6972cf9cca4c3d8bad,2024-01-01T09:00:00,流入,3600000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2f8a35752afd583d6791a4e2,2024-01-04T15:00:00,流入,56762.39,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_72fa427cef763b27a3a6c7fa,2024-01-05T09:00:00,流出,18000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_998a7b4ee7f68ccd18aab85f,2024-01-07T09:00:00,流出,87000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a4df573f8451c53eb50ae2d1,2024-01-08T15:00:00,流入,395515.95,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b422ce8864df4e3957eb1346,2024-01-09T09:00:00,流出,156776.84,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_57ec6d7a37fa3773adfa2655,2024-01-13T09:00:00,流出,4895.78,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_37043eb810e905f7f05f40bd,2024-01-14T15:00:00,流入,27367.70,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c6954d32939ac4c1759e795e,2024-01-16T09:00:00,流出,12094.73,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3c7ca93a5e28b43b47336261,2024-01-17T09:00:00,流出,13498.28,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_287575bbd24ea0ff1424db86,2024-01-20T15:00:00,流入,65553.96,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ed7a45be3ba9fbf54aafcd6b,2024-01-22T09:00:00,流出,1605.94,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b1e1a4bf8db6b12cf5d73039,2024-01-26T09:00:00,流出,399352.43,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7a46259a8c04e9ade5d9ddac,2024-02-03T09:00:00,流出,53364.41,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_579659ce137e51606d07838b,2024-02-05T09:00:00,流出,296.47,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7dd9ac7c0cc687128631c363,2024-02-05T09:00:00,流出,18000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_897aa119a66d2b24287110fe,2024-02-06T15:00:00,流入,8335.85,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dac04ca4474c3c227e1d7de6,2024-02-07T09:00:00,流出,87000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5c8de5f0e4e547474440573a,2024-02-07T09:00:00,流出,1445.50,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_18c5a74212fa7e4f50cb6967,2024-02-08T15:00:00,流入,16652.60,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_043149f54a8e52ed90482785,2024-02-09T15:00:00,流入,6200.59,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_490eff17f4679072c9003d77,2024-02-11T09:00:00,流出,23848.96,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5b4f261333540e6a80d816a9,2024-02-11T15:00:00,流入,103565.45,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6c5549144161f1ff9d31031a,2024-02-12T09:00:00,流出,5682.28,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aa4a6e03d45d25d1d6decb96,2024-02-13T15:00:00,流入,37641.58,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d7cb56f465e7962abbe54e8d,2024-02-14T09:00:00,流出,5463.09,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e05347576f91c299f28651e9,2024-02-14T15:00:00,流入,20883.71,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
