transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_95c3179d8b8a63f08ba69ed6,2024-01-01T09:00:00,流入,6630000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_098a4c1387ead52c28c6af34,2024-01-05T09:00:00,流出,16752.74,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_732f322070f703e236b7e596,2024-01-05T09:00:00,流出,26000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c3624cc925a19521c410b384,2024-01-05T15:00:00,流入,9012.88,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_be273546f51d34cd49d3783d,2024-01-07T09:00:00,流出,125000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bac3fcc05efaa10ceecb07c0,2024-01-07T15:00:00,流入,113250.33,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f4be7f816fb46d2a2e54a8e3,2024-01-08T15:00:00,流入,33745.27,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eb23c50c2234e304d9913f6d,2024-01-10T09:00:00,流出,696506.68,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c44b60fd0bdd1ad07f459364,2024-01-11T09:00:00,流出,3871.73,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aee2afd61ac9b7e22effdddf,2024-01-11T15:00:00,流入,7085.29,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9078d4992e6e5dcc7b38e653,2024-01-16T15:00:00,流入,127198.94,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d1d90c60cf2ed6bc92b45565,2024-01-18T15:00:00,流入,1351.05,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_de5e6ed44669d5534fe4fb35,2024-01-21T09:00:00,流出,21302.55,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e0139285a499d6a658b62afe,2024-01-23T09:00:00,流出,620000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9f10e65cee5dbbf7880f56c9,2024-01-24T09:00:00,流出,4247.26,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4c4bc9011445061222c87168,2024-01-24T15:00:00,流入,11187.92,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a73c022b7f2b95a0a8893299,2024-01-25T15:00:00,流入,33756.32,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_01183429e0b132d60ae12366,2024-02-02T09:00:00,流出,126661.28,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eff357519ceea3dae4216216,2024-02-02T15:00:00,流入,89454.18,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_91a01337e056b92942d4b1fb,2024-02-03T09:00:00,流出,3027.65,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ba5f0ada1e74e0cb3e99fdb3,2024-02-03T09:00:00,流出,76889.76,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1071fe891a4f1549878c3157,2024-02-04T15:00:00,流入,51397.37,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9d13fe5c199994a365889597,2024-02-05T09:00:00,流出,26000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ae6b7339fa9c1d46e49d4aef,2024-02-05T09:00:00,流出,80165.89,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f583cbce8aa0cec558bcfbc2,2024-02-07T09:00:00,流出,125000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3528850b5c06c66828735817,2024-02-08T09:00:00,流出,14649.53,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_13675656d1e15f42aeb46677,2024-02-13T15:00:00,流入,118556.77,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7c2d8a1d3dc2e9338a7dfd14,2024-02-15T15:00:00,流入,120343.15,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_647b1e142d7fe82bc49a87ec,2024-02-17T09:00:00,流出,53298.08,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_719840889a497f65f6b2a69a,2024-02-18T09:00:00,流出,8014.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_59f41277ac67a37973be6b3a,2024-02-18T09:00:00,流出,961.68,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e543a0a27d22dc214522c6dd,2024-02-19T15:00:00,流入,52128.44,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_00e93a274f591cd58903a925,2024-02-20T09:00:00,流出,480000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a98d538f936cb03c25fbcceb,2024-02-21T15:00:00,流入,136457.90,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e54b644bd21f464eb06fabfa,2024-02-23T09:00:00,流出,3322.82,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c12f225195668b48d2158f0c,2024-02-23T15:00:00,流入,19373.46,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9cd3f079aaceda989a041bc4,2024-02-24T09:00:00,流出,571400.19,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e25c90692020a0e18bff90a3,2024-02-24T15:00:00,流入,1469.01,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_523c45d6094637408a4cb0c2,2024-02-26T15:00:00,流入,306929.72,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_847daa309f7d5e8a56b46201,2024-03-02T09:00:00,流出,105118.14,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_337ccb58a9ce7e2aa7a97f85,2024-03-03T15:00:00,流入,6098.69,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6de96d7490d64c31f2e47632,2024-03-04T15:00:00,流入,98757.46,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bce1fee3eeea9edbdc233afa,2024-03-05T09:00:00,流出,26000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d5da4f1ff2ab23e6e1e2db7e,2024-03-06T09:00:00,流出,188920.62,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5d2571184204dffc01a9f3e8,2024-03-06T15:00:00,流入,52046.72,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a2757d7d641f58e6469c4061,2024-03-07T09:00:00,流出,125000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f235480248a52ab8a0a51d3,2024-03-08T09:00:00,流出,7206.48,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3fdeaef1e577b16c581e9c7a,2024-03-08T15:00:00,流入,126592.69,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_827d4814f6184f71720afecf,2024-03-09T09:00:00,流出,22204.75,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b11e1d15a2f4f948d075cd50,2024-03-09T15:00:00,流入,98004.79,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_61f5b4b5644f9f1e227a0b83,2024-03-09T15:00:00,流入,6626.09,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0cb9d1cd4adcb26353208c30,2024-03-11T09:00:00,流出,51073.39,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_21b1e7a874728b9072b56da0,2024-03-11T15:00:00,流入,184369.06,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9c9fdad8b0eb852a5d2ea451,2024-03-12T09:00:00,流出,28913.95,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5476c9428b00f68e502d0ff3,2024-03-12T09:00:00,流出,30485.57,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_52a5720db36451508ff9813e,2024-03-12T09:00:00,流出,48350.74,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e7c350890b84d79b7fb581f8,2024-03-12T15:00:00,流入,4459.59,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0b5a8f520abb404264ec2e4a,2024-03-16T09:00:00,流出,12674.00,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_db455d4b0fd3243d5a3c63d2,2024-03-17T15:00:00,流入,48604.91,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3c6b6631d9889d2086082143,2024-03-18T09:00:00,流出,10269.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
