transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_a3e8402018392567edfae5d7,2024-01-01T09:00:00,0.00,4600000.00,4600000.00
synb1_txn_19cf61e3940d376cb07fc79c,2024-01-02T09:00:00,7139.07,0.00,4592860.93
synb1_txn_8f4b0f4ea22fb458ed3015ce,2024-01-02T15:00:00,0.00,14670.39,4607531.32
synb1_txn_b3fdcb2a3f9578ee2be7a969,2024-01-03T09:00:00,242238.94,0.00,4365292.38
synb1_txn_f9e43bb7fec3d66a0de956bf,2024-01-05T09:00:00,34000.00,0.00,4331292.38
synb1_txn_0ec0527d7fac7e5db370f1b6,2024-01-05T15:00:00,0.00,34456.70,4365749.08
synb1_txn_04db3e75be28e10cfd374bd5,2024-01-06T09:00:00,3545.67,0.00,4362203.41
synb1_txn_3bd8d3b8baf769f6849b9321,2024-01-08T15:00:00,0.00,22190.00,4384393.41
synb1_txn_1415b47427e5bf91d8cde427,2024-01-09T15:00:00,0.00,21285.68,4405679.09
synb1_txn_2784510649bac537f9e0b614,2024-01-12T15:00:00,0.00,23381.07,4429060.16
synb1_txn_0e91f8e830058bdb54102494,2024-01-13T15:00:00,0.00,15895.37,4444955.53
synb1_txn_4fe73ad04882c1dd7ed3dedf,2024-01-19T15:00:00,0.00,69061.17,4514016.70
synb1_txn_60a4f6d9a2b7bc1e0ab2073d,2024-01-20T09:00:00,761.08,0.00,4513255.62
synb1_txn_6329c784531515415b78dad7,2024-01-22T09:00:00,9625.51,0.00,4503630.11
synb1_txn_583bd2cc240abe0c97d93068,2024-01-23T09:00:00,928.67,0.00,4502701.44
synb1_txn_53046f775b31ad8dfbac6c0b,2024-01-23T09:00:00,21101.06,0.00,4481600.38
synb1_txn_0b24903d34890938b0af7817,2024-01-24T15:00:00,0.00,43150.39,4524750.77
synb1_txn_9b355bce5b424b11880b3090,2024-01-28T09:00:00,110000.00,0.00,4414750.77
synb1_txn_c11c6fb618fc42e0c9ca3417,2024-01-28T15:00:00,0.00,17159.23,4431910.00
synb1_txn_576cfafaaf17c418c14a9956,2024-02-02T15:00:00,0.00,1347.49,4433257.49
