transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_aad83319877b46a4e9b470be,2024-01-01T09:00:00,流入,700000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f5503ef792dbc4e87feee4af,2024-01-05T09:00:00,流出,1648.97,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9ba1139034e7327ca4e0f0e6,2024-01-05T09:00:00,流出,6500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a81d05ade1c9cc90fb905926,2024-01-07T09:00:00,流出,31000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_edc548ba195c950c1bd99c84,2024-01-11T09:00:00,流出,38323.62,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_23fa7066e0249479c365b9d0,2024-01-11T15:00:00,流入,23379.62,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_baf6543c6be1ff3c860589db,2024-01-12T09:00:00,流出,689.65,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_05853081d78498274303ceb5,2024-01-14T15:00:00,流入,64973.84,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c5075222fb39eb80bc486e7a,2024-01-15T09:00:00,流出,44982.09,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e82abd5692b1b8da5ad5e56b,2024-01-15T09:00:00,流出,21056.08,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_25b07358f6afb3c61bae7664,2024-01-15T15:00:00,流入,45057.90,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8df13e125028b3f408c4fc29,2024-01-16T09:00:00,流出,161.28,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4ef70d1a1f4a33f37b9f2cc8,2024-01-18T09:00:00,流出,38896.41,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ee8a9a9ff807dde0d2436aab,2024-01-20T09:00:00,流出,1397.44,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5a05fcbc35d0f1ff46eebcbe,2024-01-20T09:00:00,流出,15994.77,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8270f9b8de0d5d4fb08397d1,2024-01-21T09:00:00,流出,1602.66,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a595399829377895614b7afd,2024-01-25T09:00:00,流出,50000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
