transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_9bdc30bc61d56850da30d942,2025-01-01T09:00:00,流入,26821157.65,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_26a4328ef5742334087138e0,2025-01-03T13:33:36,流入,907486.47,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f81d4bfa31a9e92845276b80,2025-01-03T16:40:41,流出,208419.50,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_db6e990d9bbfa2d04a8e4d39,2025-01-05T15:42:55,流入,646291.36,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_58b88adc2df681eea37c38cd,2025-01-09T11:04:23,流出,354574.71,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b93ae27fb08017876034ab3f,2025-01-15T09:28:41,流入,650373.65,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_51b4678221b60d17333e2ad4,2025-01-18T14:50:45,流出,206489.69,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_00f0dc68cfbda9e88977af4d,2025-01-19T12:45:27,流入,752789.07,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6e6e04f66a1ac7fba778eb50,2025-01-20T11:49:18,流出,1672910.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bf30feadd5c1624d1022b17e,2025-01-20T16:59:05,流入,781866.45,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_997834e317225995e3186c8c,2025-01-21T12:36:59,流入,759306.42,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eba7cf7bba7d4c0e38f3c75e,2025-01-26T15:56:51,流入,739754.38,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7cc75a46f81af63291a2d38c,2025-01-26T16:46:40,流入,677445.70,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5b5aed57bafb7f443498dcf2,2025-01-27T17:10:41,流出,173740.23,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2aef8f616591c0a6bd87afed,2025-01-28T11:22:34,流入,538361.28,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9129bc65186b71023c7c29c1,2025-01-31T15:36:38,流入,810728.98,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4c5ad3d54d9c2465fbfc8cbc,2025-02-01T15:44:12,流出,1500643.90,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ef2857b36968fee384e26b7d,2025-02-04T14:13:23,流出,1686099.38,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b0825b6e15aa2eba2034263,2025-02-04T16:55:16,流出,1489123.17,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ad39c6b79eac47c0555fa8d4,2025-02-05T12:35:25,流出,1342585.25,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0977dd32c796efd912a45ec6,2025-02-06T11:51:47,流入,2494246.57,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_32e23b442e041e8c90ca5847,2025-02-09T10:14:28,流出,1413395.52,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
