transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_4ba3fd446c1d38de29b82319,2024-01-01T09:00:00,0.00,1050000.00,1050000.00
synb1_txn_cd6b11fb9503aa9741942cd7,2024-01-05T09:00:00,126.29,0.00,1049873.71
synb1_txn_cf5b86823a9bd7a7fe8fb10b,2024-01-05T09:00:00,5000.00,0.00,1044873.71
synb1_txn_7771948434b69eb9044f3f23,2024-01-06T09:00:00,49559.41,0.00,995314.30
synb1_txn_82f4b06f09b030f8bb857483,2024-01-06T09:00:00,7473.27,0.00,987841.03
synb1_txn_4b523f7d184e38c911fe4944,2024-01-07T09:00:00,21000.00,0.00,966841.03
synb1_txn_c2fed446dad9df3cb87823da,2024-01-09T09:00:00,28865.82,0.00,937975.21
synb1_txn_b6c675c416d65071cb46b5f2,2024-01-11T09:00:00,855.63,0.00,937119.58
synb1_txn_43ab36362be5202bb0449b61,2024-01-15T09:00:00,6564.73,0.00,930554.85
synb1_txn_ac1d1fbce7645b698beeeb28,2024-01-17T09:00:00,1505.74,0.00,929049.11
synb1_txn_cb2ac04583421494a3fe0d4a,2024-01-17T09:00:00,7476.94,0.00,921572.17
synb1_txn_9f6c3e92810650e868a9e966,2024-01-18T09:00:00,704.20,0.00,920867.97
synb1_txn_a853cf09d8e0a3c7461d5629,2024-01-20T15:00:00,0.00,60397.94,981265.91
synb1_txn_9e73ddfa793ee0ee7040a379,2024-01-21T09:00:00,423.76,0.00,980842.15
synb1_txn_09a86b340d348543f05c7047,2024-01-22T09:00:00,311.01,0.00,980531.14
synb1_txn_88ea11ff84fc9c66724dea39,2024-01-22T15:00:00,0.00,37102.06,1017633.20
synb1_txn_326a5f74fdc65c7326d1fe2f,2024-01-23T09:00:00,60000.00,0.00,957633.20
synb1_txn_11d436593c75776eceb56d3e,2024-01-28T09:00:00,1133.20,0.00,956500.00
synb1_txn_5d7561a7729619013e0ebe88,2024-02-04T09:00:00,8198.41,0.00,948301.59
synb1_txn_ef7e5a9397c57ad350b7a60c,2024-02-04T09:00:00,4874.21,0.00,943427.38
synb1_txn_d5a0481226a985008e81258b,2024-02-05T09:00:00,5000.00,0.00,938427.38
synb1_txn_65f6c6b7eb2de768e64a88dd,2024-02-06T09:00:00,8445.90,0.00,929981.48
synb1_txn_e9d24ad79b9557bfc05d0e27,2024-02-07T09:00:00,21000.00,0.00,908981.48
synb1_txn_f2495ed298590b8e48ab8333,2024-02-07T15:00:00,0.00,12154.01,921135.49
synb1_txn_02a4a0ec59df9ab2df175ab5,2024-02-09T09:00:00,2243.94,0.00,918891.55
