transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_c59d606c8a2ff9a58a3f8d5a,2024-01-01T09:00:00,流入,420000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8606e116d825c35274b48dee,2024-01-04T15:00:00,流入,2220.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1696e5525f59cdf4a7fdaab7,2024-01-05T09:00:00,流出,10000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_78fca88c60a8b317cb88787c,2024-01-08T09:00:00,流出,87.03,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7f7644f46641a6736d2b68f0,2024-01-09T09:00:00,流出,4400.65,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_deae8ca18c89cda5380d7b2d,2024-01-09T15:00:00,流入,11310.45,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bd5e5aec42e8067c26068ddc,2024-01-09T15:00:00,流入,9383.13,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f7a1d1cd4c476f9693b10e9,2024-01-10T09:00:00,流出,29445.44,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5ec8746f83fff28f2f568e7b,2024-01-10T15:00:00,流入,630.55,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c7b9c5694254bf16070b3e2b,2024-01-11T09:00:00,流出,1569.17,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3a265cda6a6e87c4e42ad4e7,2024-01-12T09:00:00,流出,78.47,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7d291fc1427f485cbb799afc,2024-01-13T09:00:00,流出,6665.68,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0d1047f449db35fd0cec27e3,2024-01-19T15:00:00,流入,1623.31,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8f24db792839110e8faf133b,2024-01-20T09:00:00,流出,1840.80,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_827d4ba939f9579afedbd781,2024-01-21T15:00:00,流入,1223.20,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1003ed1f4b773f9d4a5d1321,2024-01-24T09:00:00,流出,2503.00,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a753c4fd78b7d466ad5fd7fc,2024-01-24T09:00:00,流出,25347.06,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_34bdde11d01ca235311ccb82,2024-01-24T15:00:00,流入,5409.85,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6b2f0e6c5952574d2434eedf,2024-01-24T15:00:00,流入,4677.04,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3b8ce664558087cea30a54a7,2024-01-25T15:00:00,流入,32822.19,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_45be83a9e8b4e2c595f4d564,2024-01-28T09:00:00,流出,32000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_69d0b71c4131c5887d5c6bf2,2024-01-28T09:00:00,流出,12756.70,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6d96fbfb57aac9fc9687538c,2024-02-03T15:00:00,流入,3217.80,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b48b86af4a396e1aa447831a,2024-02-04T09:00:00,流出,13476.57,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7f1d7143a7361fbba998e309,2024-02-04T15:00:00,流入,29610.70,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
