calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,2076200.23,0.00,1,2076200.23,last_posted_transaction_or_prior_closing_balance,synb1_txn_4e1637baac3203ef017d1434,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,2076200.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,0.00,0,2076200.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,3,2025-01-05,complete
2025-01-04,0.00,0.00,0,2076200.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,29125.61,1,2047074.62,last_posted_transaction_or_prior_closing_balance,synb1_txn_955a022797e97f46938cdf5c,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-06,complete
2025-01-06,0.00,0.00,0,2047074.62,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,5,2025-01-07,complete
2025-01-07,0.00,0.00,0,2047074.62,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-08,complete
2025-01-08,0.00,0.00,0,2047074.62,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-09,complete
2025-01-09,0.00,0.00,0,2047074.62,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-10,complete
2025-01-10,0.00,37801.05,2,2009273.57,last_posted_transaction_or_prior_closing_balance,synb1_txn_7da9ed8ebe18e7a23f2c3130,trusted,weekday_rule,base_calendar,True,9,2025-01-13,complete
2025-01-11,0.00,0.00,0,2009273.57,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,2009273.57,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,10159.75,1,1999113.82,last_posted_transaction_or_prior_closing_balance,synb1_txn_6c2b0e4c3be66846dba811cf,trusted,weekday_rule,base_calendar,True,10,2025-01-14,complete
2025-01-14,0.00,0.00,0,1999113.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-15,complete
2025-01-15,0.00,0.00,0,1999113.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2025-01-16,complete
2025-01-16,0.00,0.00,0,1999113.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-17,complete
2025-01-17,0.00,0.00,0,1999113.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2025-01-20,complete
2025-01-18,0.00,0.00,0,1999113.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,0.00,0,1999113.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,0.00,9833.08,1,1989280.74,last_posted_transaction_or_prior_closing_balance,synb1_txn_6ef572b618e76207b36152fc,trusted,weekday_rule,base_calendar,True,15,2025-01-21,complete
2025-01-21,0.00,0.00,0,1989280.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2025-01-22,complete
2025-01-22,0.00,0.00,0,1989280.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-23,complete
2025-01-23,0.00,0.00,0,1989280.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-24,complete
2025-01-24,0.00,0.00,0,1989280.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,19,2025-01-26,complete
2025-01-25,0.00,0.00,0,1989280.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-26,0.00,0.00,0,1989280.74,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,20,2025-01-27,complete
2025-01-27,0.00,0.00,0,1989280.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2025-01-30,complete
2025-01-28,0.00,0.00,0,1989280.74,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-29,0.00,0.00,0,1989280.74,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-30,0.00,31404.17,2,1957876.57,last_posted_transaction_or_prior_closing_balance,synb1_txn_99f81de75e15e85dd2ae72c1,trusted,historical_transaction_override,historical_transaction_override,True,22,2025-01-31,complete
2025-01-31,0.00,27459.54,1,1930417.03,last_posted_transaction_or_prior_closing_balance,synb1_txn_56ff4d7073a3fc2b7a586201,trusted,historical_transaction_override,historical_transaction_override,True,23,2025-02-02,complete
2025-02-01,0.00,0.00,0,1930417.03,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-02,0.00,224270.24,1,1706146.79,last_posted_transaction_or_prior_closing_balance,synb1_txn_05ee2bba574aac0ebf8131bb,trusted,historical_transaction_override,historical_transaction_override,True,24,2025-02-03,complete
2025-02-03,0.00,217928.53,2,1488218.26,last_posted_transaction_or_prior_closing_balance,synb1_txn_de69e12087d08857bbcc7cce,trusted,historical_transaction_override,historical_transaction_override,True,25,2025-02-05,complete
2025-02-04,0.00,0.00,0,1488218.26,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-05,0.00,0.00,0,1488218.26,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,26,2025-02-06,complete
2025-02-06,134505.28,0.00,1,1622723.54,last_posted_transaction_or_prior_closing_balance,synb1_txn_e657562455baeb73dedbf354,trusted,weekday_rule,base_calendar,True,27,2025-02-07,complete
2025-02-07,0.00,0.00,0,1622723.54,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,28,2025-02-08,complete
2025-02-08,0.00,37580.60,2,1585142.94,last_posted_transaction_or_prior_closing_balance,synb1_txn_ca3b77fe568795acbdfa704b,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,29,2025-02-09,complete
2025-02-09,0.00,26373.37,1,1558769.57,last_posted_transaction_or_prior_closing_balance,synb1_txn_507e6133d79eff2527d5bdfc,trusted,historical_transaction_override,historical_transaction_override,True,30,2025-02-10,complete
2025-02-10,0.00,0.00,0,1558769.57,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,31,2025-02-11,complete
2025-02-11,0.00,0.00,0,1558769.57,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,32,2025-02-12,complete
2025-02-12,0.00,0.00,0,1558769.57,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,33,2025-02-13,complete
2025-02-13,0.00,0.00,0,1558769.57,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,34,2025-02-14,complete
2025-02-14,0.00,0.00,0,1558769.57,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,35,2025-02-15,complete
2025-02-15,0.00,31080.29,1,1527689.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_173a3a029f9ee5c8bf929f66,trusted,historical_transaction_override,historical_transaction_override,True,36,2025-02-17,complete
2025-02-16,0.00,0.00,0,1527689.28,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-17,0.00,9422.42,1,1518266.86,last_posted_transaction_or_prior_closing_balance,synb1_txn_ecc97581fc1d1da3459dce98,trusted,weekday_rule,base_calendar,True,37,2025-02-18,complete
2025-02-18,0.00,0.00,0,1518266.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,38,2025-02-19,complete
2025-02-19,0.00,281912.33,1,1236354.53,last_posted_transaction_or_prior_closing_balance,synb1_txn_ab2f6c0edc66a27cfecf1d17,trusted,weekday_rule,base_calendar,True,39,2025-02-20,complete
2025-02-20,0.00,0.00,0,1236354.53,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,40,2025-02-21,complete
2025-02-21,122841.10,0.00,1,1359195.63,last_posted_transaction_or_prior_closing_balance,synb1_txn_946316e20a9e1eff0b4c82c0,trusted,weekday_rule,base_calendar,True,41,2025-02-24,complete
2025-02-22,0.00,0.00,0,1359195.63,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-23,0.00,0.00,0,1359195.63,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-24,0.00,0.00,0,1359195.63,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,42,2025-02-25,complete
2025-02-25,0.00,236644.97,1,1122550.66,last_posted_transaction_or_prior_closing_balance,synb1_txn_c7a6f56bf272d9756e8bfa0a,trusted,weekday_rule,base_calendar,True,43,2025-02-26,complete
2025-02-26,0.00,20384.81,2,1102165.85,last_posted_transaction_or_prior_closing_balance,synb1_txn_ee951746843ce08357063c1c,trusted,weekday_rule,base_calendar,True,44,2025-02-27,complete
2025-02-27,0.00,0.00,0,1102165.85,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,45,2025-02-28,complete
2025-02-28,270853.62,44220.90,5,1328798.57,last_posted_transaction_or_prior_closing_balance,synb1_txn_2fc8768c9691138253ee6496,trusted,weekday_rule,base_calendar,True,46,2025-03-01,complete
2025-03-01,257826.90,0.00,1,1586625.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_9ba112ef79b0b94dc9ce109f,trusted,historical_transaction_override,historical_transaction_override,True,47,2025-03-02,complete
2025-03-02,0.00,35037.31,2,1551588.16,last_posted_transaction_or_prior_closing_balance,synb1_txn_4618d3ad2326beac749ce271,trusted,historical_transaction_override,historical_transaction_override,True,48,2025-03-03,complete
2025-03-03,0.00,0.00,0,1551588.16,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,49,2025-03-04,complete
2025-03-04,0.00,0.00,0,1551588.16,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,50,2025-03-05,complete
2025-03-05,0.00,0.00,0,1551588.16,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,51,2025-03-06,complete
2025-03-06,0.00,0.00,0,1551588.16,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,52,2025-03-07,complete
2025-03-07,279602.17,0.00,1,1831190.33,last_posted_transaction_or_prior_closing_balance,synb1_txn_a5d3dc920ff72c04136b947d,trusted,weekday_rule,base_calendar,True,53,2025-03-08,complete
2025-03-08,244983.83,0.00,1,2076174.16,last_posted_transaction_or_prior_closing_balance,synb1_txn_dd276b644adfff5f9d01a43c,trusted,historical_transaction_override,historical_transaction_override,True,54,2025-03-10,complete
2025-03-09,0.00,0.00,0,2076174.16,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-10,0.00,744603.76,2,1331570.40,last_posted_transaction_or_prior_closing_balance,synb1_txn_27cd1aed44fd049814989517,trusted,weekday_rule,base_calendar,True,55,2025-03-11,complete
2025-03-11,0.00,0.00,0,1331570.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,56,2025-03-12,complete
2025-03-12,0.00,0.00,0,1331570.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,57,2025-03-13,complete
2025-03-13,284551.10,296528.71,2,1319592.79,last_posted_transaction_or_prior_closing_balance,synb1_txn_17d1cd35cbd30063662c90ac,trusted,weekday_rule,base_calendar,True,58,2025-03-14,complete
2025-03-14,0.00,30306.15,1,1289286.64,last_posted_transaction_or_prior_closing_balance,synb1_txn_228c6414518b1ee9155201ae,trusted,weekday_rule,base_calendar,True,59,2025-03-17,complete
2025-03-15,0.00,0.00,0,1289286.64,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-16,0.00,0.00,0,1289286.64,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-17,0.00,0.00,0,1289286.64,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,60,2025-03-18,complete
2025-03-18,0.00,24596.86,1,1264689.78,last_posted_transaction_or_prior_closing_balance,synb1_txn_1bf2b67b0ee7e98c4d79c854,trusted,weekday_rule,base_calendar,True,61,2025-03-19,complete
2025-03-19,0.00,0.00,0,1264689.78,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,62,2025-03-20,complete
2025-03-20,0.00,10403.38,1,1254286.40,last_posted_transaction_or_prior_closing_balance,synb1_txn_6a4566499c17d7ca1b8d2a84,trusted,weekday_rule,base_calendar,True,63,2025-03-21,complete
2025-03-21,0.00,0.00,0,1254286.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,64,2025-03-22,complete
2025-03-22,0.00,9766.21,1,1244520.19,last_posted_transaction_or_prior_closing_balance,synb1_txn_fd0eae6e49b193d6d57cb241,trusted,historical_transaction_override,historical_transaction_override,True,65,2025-03-24,complete
2025-03-23,0.00,0.00,0,1244520.19,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-24,0.00,10098.18,1,1234422.01,last_posted_transaction_or_prior_closing_balance,synb1_txn_69d416c163db465e4bb963ff,trusted,weekday_rule,base_calendar,True,66,2025-03-25,complete
2025-03-25,0.00,0.00,0,1234422.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,67,2025-03-26,complete
2025-03-26,0.00,0.00,0,1234422.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,68,2025-03-27,complete
