transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_505610d25a751bbb49492fe3,2024-01-01T09:00:00,0.00,803200.00,803200.00
synb1_txn_cf6a3604f28fd2b124a148b7,2024-01-02T09:00:00,10354.99,0.00,792845.01
synb1_txn_acc3a03b2ba3eaac7df2be8f,2024-01-04T09:00:00,160.54,0.00,792684.47
synb1_txn_4579944e539ffea7ea63d85d,2024-01-05T09:00:00,24000.00,0.00,768684.47
synb1_txn_74867c24d46a26b12b3e29af,2024-01-06T15:00:00,0.00,3261.93,771946.40
synb1_txn_4b1ebde1e3afe5145e92b46c,2024-01-06T15:00:00,0.00,27953.34,799899.74
synb1_txn_e8e6bd3dfb7584dc8244c410,2024-01-07T09:00:00,66000.00,0.00,733899.74
synb1_txn_d26a91bc75c020479f7cde54,2024-01-08T09:00:00,390178.76,0.00,343720.98
synb1_txn_92d1b26952611632878338bf,2024-01-08T15:00:00,0.00,169133.55,512854.53
synb1_txn_c830f0df97b839ca91d37626,2024-01-10T09:00:00,106.33,0.00,512748.20
synb1_txn_cef155c3803fe7e536247454,2024-01-10T15:00:00,0.00,62214.76,574962.96
synb1_txn_8a0c751012fecf67ed93b8a9,2024-01-12T15:00:00,0.00,48959.53,623922.49
synb1_txn_d788dd2892199a888a334a35,2024-01-14T15:00:00,0.00,25482.95,649405.44
synb1_txn_44b9ccc919622bb42c56fe28,2024-01-16T09:00:00,2487.24,0.00,646918.20
synb1_txn_a991ab46031df5999ad56a13,2024-01-21T09:00:00,2941.24,0.00,643976.96
synb1_txn_f55f1fd55200efa90c224554,2024-01-21T15:00:00,0.00,8598.95,652575.91
synb1_txn_6ce33d63e02f8e53cd9ad59b,2024-01-24T15:00:00,0.00,7912.18,660488.09
synb1_txn_5fcdf7bfcabacaae0f09eea6,2024-01-25T09:00:00,2890.90,0.00,657597.19
synb1_txn_16d18fa2a315862c62273b59,2024-01-25T15:00:00,0.00,6082.81,663680.00
synb1_txn_da5515390a1301ea0e95512b,2024-02-03T09:00:00,35833.95,0.00,627846.05
synb1_txn_7c4c7cb6394e9757fd16619f,2024-02-03T15:00:00,0.00,48714.12,676560.17
synb1_txn_3f47276e6117bc49f7967e27,2024-02-04T15:00:00,0.00,10802.14,687362.31
synb1_txn_cb220c978a6ab15fd8735aa4,2024-02-05T09:00:00,24000.00,0.00,663362.31
synb1_txn_aa626bca3b8113a32991d427,2024-02-05T09:00:00,70771.63,0.00,592590.68
synb1_txn_2477d9d72d0e7ac017e021d4,2024-02-07T09:00:00,66000.00,0.00,526590.68
synb1_txn_ede1279b00364fde6d518980,2024-02-08T15:00:00,0.00,242.69,526833.37
