transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_d722f89995cf1eb6db8e3916,2024-01-01T09:00:00,0.00,1450000.00,1450000.00
synb1_txn_394495216208e83043d092d3,2024-01-02T15:00:00,0.00,1529.42,1451529.42
synb1_txn_c59a610d9169c927036f8eba,2024-01-03T15:00:00,0.00,3009.30,1454538.72
synb1_txn_e9e786e23560ca2ad2c887df,2024-01-03T15:00:00,0.00,12208.75,1466747.47
synb1_txn_892c0004e6000c07ce75b787,2024-01-04T09:00:00,3026.73,0.00,1463720.74
synb1_txn_f55bc03ac1fb5cf088579aba,2024-01-05T09:00:00,8000.00,0.00,1455720.74
synb1_txn_7bb1120e2cb3b08f79966961,2024-01-06T15:00:00,0.00,2781.25,1458501.99
synb1_txn_3581848f85f6d6c40e929ba9,2024-01-06T15:00:00,0.00,3984.38,1462486.37
synb1_txn_b098758f8aedc1b41fb96461,2024-01-06T15:00:00,0.00,5821.92,1468308.29
synb1_txn_48a026f358cc408c4abaef4e,2024-01-07T09:00:00,25000.00,0.00,1443308.29
synb1_txn_09708e9393a5f7f6b77b3ed0,2024-01-10T15:00:00,0.00,25735.60,1469043.89
synb1_txn_050e0f9057876549b7776d0c,2024-01-11T15:00:00,0.00,1637.59,1470681.48
synb1_txn_bdea74ca1cf3656a967f3fca,2024-01-12T09:00:00,2451.87,0.00,1468229.61
synb1_txn_a57f553fa2c591df2fcfca8e,2024-01-13T09:00:00,3993.62,0.00,1464235.99
synb1_txn_da2ab247b56a12076c434b2a,2024-01-15T09:00:00,87051.96,0.00,1377184.03
synb1_txn_04d4e0d1478e538e90a1147f,2024-01-18T09:00:00,9.41,0.00,1377174.62
synb1_txn_dfd251879b44f4f07961b667,2024-01-19T09:00:00,9492.87,0.00,1367681.75
synb1_txn_3d895536245f6be27242b4a4,2024-01-20T09:00:00,686.86,0.00,1366994.89
synb1_txn_952e2372afe6193efc9c598e,2024-01-22T09:00:00,601.29,0.00,1366393.60
synb1_txn_4536b70a3df604c6515a25e1,2024-01-24T09:00:00,11534.46,0.00,1354859.14
synb1_txn_f594e40807a1b9ed085948ba,2024-01-25T09:00:00,1175.71,0.00,1353683.43
synb1_txn_4f3cf3e256fce40b64bbe372,2024-01-26T09:00:00,11555.22,0.00,1342128.21
synb1_txn_8c2a88f6664c707a066a5c25,2024-01-28T15:00:00,0.00,3291.79,1345420.00
synb1_txn_3334d1a9ce25667f5a23e533,2024-02-02T09:00:00,10440.38,0.00,1334979.62
synb1_txn_41f33adf84a8c45306c9f9f8,2024-02-03T15:00:00,0.00,2268.47,1337248.09
synb1_txn_7bcebbf7b2257ebebead40a7,2024-02-05T09:00:00,8000.00,0.00,1329248.09
synb1_txn_3d7b72045f3dd0e178aaf7aa,2024-02-05T09:00:00,2237.49,0.00,1327010.60
synb1_txn_d2a370bb793577a7d459fc45,2024-02-07T09:00:00,25000.00,0.00,1302010.60
synb1_txn_67f96eb8df767a208b342bfa,2024-02-07T15:00:00,0.00,9960.80,1311971.40
synb1_txn_9a021db1007360cb8b6231c6,2024-02-11T09:00:00,201.65,0.00,1311769.75
synb1_txn_5db4a7af4cdde0c038c0fe7a,2024-02-11T15:00:00,0.00,6866.42,1318636.17
synb1_txn_b730679ee838f3b1ee5246d6,2024-02-11T15:00:00,0.00,16940.80,1335576.97
synb1_txn_8553535bab304b3f0aae5303,2024-02-12T15:00:00,0.00,266.95,1335843.92
synb1_txn_102702533172d041a90860e7,2024-02-12T15:00:00,0.00,132.20,1335976.12
synb1_txn_37bdb823c9dcf2b5545cf218,2024-02-13T09:00:00,184.35,0.00,1335791.77
synb1_txn_9a6129835a945325e9670a96,2024-02-14T09:00:00,15207.05,0.00,1320584.72
synb1_txn_efa326378dbc3d4ca6798417,2024-02-17T09:00:00,292.71,0.00,1320292.01
synb1_txn_08d630c187053c8b0d479e7e,2024-02-18T09:00:00,800.00,0.00,1319492.01
synb1_txn_426c913011cdb5c1e1c585d7,2024-02-18T09:00:00,96.00,0.00,1319396.01
synb1_txn_202046a27e090856f5d3e5c3,2024-02-18T09:00:00,14939.68,0.00,1304456.33
synb1_txn_1ad73f508b56f8901c4a5beb,2024-02-18T09:00:00,6032.56,0.00,1298423.77
synb1_txn_78c425c23f1c354c29dfee2a,2024-02-18T09:00:00,713.43,0.00,1297710.34
synb1_txn_3da7acecebbd6fd946a4174e,2024-02-19T15:00:00,0.00,3857.67,1301568.01
synb1_txn_6c7b1d2b98ace8d5df048e12,2024-02-19T15:00:00,0.00,421.89,1301989.90
synb1_txn_34f71d57a667001a74ab2600,2024-02-19T15:00:00,0.00,176.28,1302166.18
synb1_txn_89a211f8943b5749dd7a580f,2024-02-19T15:00:00,0.00,3235.18,1305401.36
synb1_txn_fe4fdced147ad6fa4008c8c8,2024-02-23T15:00:00,0.00,4246.62,1309647.98
synb1_txn_53ecc29ba49fa3504ea4e10d,2024-02-23T15:00:00,0.00,2564.86,1312212.84
