transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_84d1967c50c6ecf77a239f1b,2025-01-01T09:00:00,流入,321767.52,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0b46c98c111429e9692cd80f,2025-01-01T17:08:16,流出,2860.69,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8049ddb7e906d50fc621afbe,2025-01-02T11:48:23,流出,6438.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b76296725fe483cf1e5b26e4,2025-01-02T12:41:56,流入,166215.81,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_61125804552e787cb766a65c,2025-01-02T14:15:32,流出,3298.71,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_753f1110525e0b1790e538b8,2025-01-02T17:44:43,流出,6672.54,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_69df778ba37826bb8d4eb4f2,2025-01-05T17:36:48,流出,3715.79,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_418da97629f156aa8048f5ae,2025-01-06T11:53:30,流出,7289.58,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_edc979dfd7b3f574333ad4ac,2025-01-11T12:47:02,流入,159847.95,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_388e187792f6306d209dc84c,2025-01-15T11:06:23,流出,6856.86,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d5e0078c208d74f46e4ec639,2025-01-16T16:52:07,流入,168479.59,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dafcdd6715d5d7ceecca853d,2025-01-17T13:13:59,流入,177192.65,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_76ca1bfbcec7c7193aa9eb87,2025-01-18T17:35:52,流出,3042.81,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1e4a014501d2286091e810a8,2025-01-19T11:16:28,流出,96226.23,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3afeac6ff6ce034c9d13b80b,2025-01-26T13:12:41,流出,85795.51,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bb7d047b0a25087640dca0b1,2025-01-26T15:20:01,流出,92812.10,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_38fb56fa15ac214ba71dfcb0,2025-01-28T10:13:40,流出,92410.91,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_63514983e5038ffeccb811c5,2025-02-04T11:26:43,流出,5715.50,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_935a962100c99f0d9f7d0702,2025-02-05T10:57:13,流出,3213.36,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bbfc6544fe56600dafb14400,2025-02-08T15:52:13,流入,75095.26,销售回款,仅供人工查看；不得作为模型输入或导入数据库
