transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_93c4af4702874646500abe0f,2024-01-01T09:00:00,流入,1500000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8162b6df69a78cecb4eab759,2024-01-02T09:00:00,流出,526.20,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_18ed0dca0ca5c1be8e19452b,2024-01-02T09:00:00,流出,146764.18,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5dce9327b3f4565e78a26bdb,2024-01-05T09:00:00,流出,8000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b205101efb858cce368d0873,2024-01-07T09:00:00,流出,30000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1bf4171074dae3e5b07aba4f,2024-01-08T15:00:00,流入,15463.40,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_97da4726eb7ffdee6e50bba5,2024-01-10T15:00:00,流入,23975.32,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_05310de9e8c734cbc2b1a07b,2024-01-11T09:00:00,流出,1006.46,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d17da32e007286d53e9da153,2024-01-12T09:00:00,流出,21235.82,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_427e6bcaa3cb18379a6814ee,2024-01-14T09:00:00,流出,1443.68,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fa2dfb6a07bee13458fe3486,2024-01-16T15:00:00,流入,36395.44,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_10451287effef5c8b3db94aa,2024-01-17T15:00:00,流入,3473.89,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9e1ca5fd4099d6ce93ba8234,2024-01-18T15:00:00,流入,60691.95,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1f938fc1ce54451c671dcd81,2024-01-20T09:00:00,流出,900.21,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d949731fd1813231fd8552a3,2024-01-27T09:00:00,流出,2123.45,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2a98931bddf8b1c509b0261b,2024-02-02T09:00:00,流出,12813.94,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_235df6b41825de6a89f05898,2024-02-03T09:00:00,流出,40085.32,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b4aabc1f8e0440e356729d28,2024-02-03T09:00:00,流出,39638.05,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ee8ccaf8befc50ae08a2ee62,2024-02-03T15:00:00,流入,3579.08,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7f1de9e8f5b81eed811ff2fa,2024-02-05T09:00:00,流出,8000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c98ea5ee21243c591e1c5298,2024-02-06T15:00:00,流入,7784.39,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ea079526a80194b61acd5dd2,2024-02-07T09:00:00,流出,30000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
