transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_a0e5a9f5672efd829c4d391d,2024-01-01T09:00:00,流入,3620000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_93b47d2b9d43c06ffb3a6b1b,2024-01-04T09:00:00,流出,4193.54,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5dacfae4b39f632a6f5713d1,2024-01-04T15:00:00,流入,66964.00,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7dad62bf83347b6e6886e580,2024-01-05T09:00:00,流出,19500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0501376ceac91cca7972b2fd,2024-01-06T09:00:00,流出,86718.68,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_30c11c669adf11c36cb017de,2024-01-06T15:00:00,流入,475.95,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0c8f3f3a1aee95c9faf726cc,2024-01-07T09:00:00,流出,84000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e9e15daf1d0dc3cee54f5753,2024-01-07T15:00:00,流入,184578.37,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4160c75aee4fd879af62d163,2024-01-08T09:00:00,流出,166574.72,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0ed63e3bfb3e13b5d863bc3c,2024-01-09T09:00:00,流出,3604.51,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c0d7c083c2c0d0b3f05562b7,2024-01-09T09:00:00,流出,646.74,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_077deb8b588fa0c05d6a215a,2024-01-14T15:00:00,流入,12921.42,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7c8f911d480f21e383c51d0e,2024-01-15T09:00:00,流出,3380.36,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f07d968209652881accc30c6,2024-01-16T15:00:00,流入,8143.47,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b12646c83ffbb3a60e2997b0,2024-01-17T15:00:00,流入,28337.29,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_beca60bfe1534f216abf7e46,2024-01-18T09:00:00,流出,199348.62,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dc9231dcd871d38d085b6835,2024-01-18T15:00:00,流入,85526.02,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_13c6875d334b388d6992e370,2024-01-19T09:00:00,流出,26857.98,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c1fd56d62a726b74454d19ab,2024-01-25T15:00:00,流入,53592.68,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fd4552dd6dbe499416d063f5,2024-01-26T09:00:00,流出,330000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e4220991b2d42c421b61bdd8,2024-01-26T09:00:00,流出,674.85,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
