transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_2b0db8fa13a63fed8c2c8683,2025-01-01T09:00:00,流入,9510535.26,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_24688521cb4731042516d863,2025-01-01T11:41:34,流出,49668.25,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b1d974cb8073df660d038a16,2025-01-01T15:46:53,流出,48924.97,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_89a5cd7a173c7da46f0710ab,2025-01-04T11:52:00,流出,11671.88,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e1d75be83c2e1ae11a1ef7ce,2025-01-05T12:44:35,流出,42525.51,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b4500c7c7e3ce28f2eb7cf8a,2025-01-11T13:06:46,流出,45453.31,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0036f16208ecc299e7e3f075,2025-01-15T17:21:18,流出,14360.57,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f3241eb69096a8092129be2,2025-01-18T14:10:30,流出,14943.60,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_71490ce3801d28d5d41f58aa,2025-01-30T13:25:27,流出,14059.95,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_057e67298bb14fdab7608b79,2025-02-01T14:31:02,流出,12968.50,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5d8941081df480d56c001b91,2025-02-03T13:47:37,流出,54110.41,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f4b54afddb3d45954ff2efdf,2025-02-04T12:37:03,流出,12729.38,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_61dfb038c8085ae56b59a126,2025-02-08T11:28:40,流出,41611.45,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_18fda1b7648bd62340625a5a,2025-02-09T16:08:51,流出,14492.26,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_47f8450f7731dc7441d4e597,2025-02-23T11:59:28,流出,43177.34,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0f39d735f4956bb6c15b277b,2025-02-24T11:00:08,流出,14845.86,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ded54aeb91a0cb32cb659853,2025-02-27T15:53:38,流出,47672.84,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_39335b6f240a4df774c7ffe1,2025-02-28T09:00:00,流出,87136.29,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_69e8ba23a252be95f04278f1,2025-02-28T09:00:00,流出,28068.36,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0ff89a468bf497baa7a7c28e,2025-02-28T09:00:00,流出,3368.20,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fef7d56b39d38d5f824efd66,2025-03-03T11:21:31,流入,317158.94,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1ff5ad33a2dfa49f0333a30b,2025-03-04T17:28:16,流出,13961.55,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1f0ab4b6dd71ca21f3e3fcd9,2025-03-05T09:21:33,流出,1692715.82,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_09781f30e1a9fc533a9e115e,2025-03-07T11:57:06,流出,13824.84,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2dcf9ec6c8617b8016bcbb75,2025-03-07T13:43:10,流入,339998.30,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b9afc78b0c991c1239973457,2025-03-09T12:51:24,流入,422189.91,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_762c8f4393f40cc149ebec41,2025-03-11T12:09:51,流出,1566608.40,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fa1c58d79be1a72d14833054,2025-03-11T12:56:34,流出,49432.58,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8d9f6108315aefcdf311b78c,2025-03-13T13:04:57,流出,44241.12,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_925c21617f2c466ee878394d,2025-03-15T16:24:25,流出,14864.57,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_993a22389b498a8217df5a36,2025-03-17T09:39:54,流出,45838.16,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9322580424a241ed00b8b3c8,2025-03-24T11:40:58,流出,1418927.67,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ea2ce6bd371f1c0589755007,2025-03-24T17:11:45,流出,1642202.69,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b5c3d21bb59901c5f543ea96,2025-03-24T17:39:18,流出,47060.18,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_290aa958550609a49a3debb5,2025-03-25T10:35:01,流入,324070.85,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_97730869865d0e2260bb9409,2025-03-28T09:00:00,流出,92554.61,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_56e81d0646a70830dea17d8c,2025-03-28T09:00:00,流出,29191.09,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1e3f48341832cecd2f2cee23,2025-03-28T09:00:00,流出,3502.93,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7ffd3bc0bcaad9621a156995,2025-03-28T16:27:29,流出,12385.04,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_334ff5e26303dddf0e5d0cbc,2025-04-01T17:06:10,流出,756372.21,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_06707e76ee713bc4f69fa531,2025-04-04T14:18:06,流入,699894.82,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c66dd0547ac6829f072426c3,2025-04-05T09:03:43,流出,698916.95,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e4dc81e6f7670a0e360cbcc2,2025-04-05T14:51:21,流出,40516.78,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e2715afc3b56e45489019e7f,2025-04-06T14:57:37,流出,16056.01,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4fec8239c000b9604ac9680f,2025-04-07T13:55:32,流出,541930.27,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4ea8f9b3a9e720d7a6c80142,2025-04-14T12:39:39,流出,682073.17,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2e3f5d09a716477b4a89c610,2025-04-19T15:10:34,流出,47203.50,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e187438fcf51e7f858b1fdeb,2025-04-20T14:10:27,流入,898553.56,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7f7be7afff5651c9a52874be,2025-04-21T11:46:04,流出,12023.03,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8a6465faf399cc5e7879f8af,2025-04-21T13:51:29,流出,13384.97,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ac2836da662c454b6f75aa46,2025-04-21T16:37:25,流入,639846.05,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f56acad50eb2b83b63a77b4,2025-04-23T17:44:06,流出,57150.36,工资发放,仅供人工查看；不得作为模型输入或导入数据库
