transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_ca529ec8d52c3fdb1a9c4418,2024-01-01T09:00:00,0.00,3494244.29,3494244.29
synb1_txn_7c7b438bd61ab4bb2d645f9e,2024-01-03T09:00:00,8706.33,0.00,3485537.96
synb1_txn_d452fc9a11561ea825d07fea,2024-01-03T09:00:00,51949.87,0.00,3433588.09
synb1_txn_cd8282bc9863914542ec7dc3,2024-01-03T15:00:00,0.00,193083.49,3626671.58
synb1_txn_0865a94446bb5801addee352,2024-01-04T15:00:00,0.00,19355.24,3646026.82
synb1_txn_001ca7395b1eef451aff0207,2024-01-05T09:00:00,39600.00,0.00,3606426.82
synb1_txn_55b7bb95eeacebb3953cc164,2024-01-07T09:00:00,114400.00,0.00,3492026.82
synb1_txn_0175843616b6e4c9f8f0d8b6,2024-01-07T09:00:00,503249.55,0.00,2988777.27
synb1_txn_e230992f12bcbb08ee481e56,2024-01-10T09:00:00,231208.40,0.00,2757568.87
synb1_txn_162b3e0015e542ffd1e414a1,2024-01-10T15:00:00,0.00,26688.92,2784257.79
synb1_txn_cc4ad9174a8827e519d2d585,2024-01-11T09:00:00,15493.67,0.00,2768764.12
synb1_txn_dc8f85f33190ccc80dd0880f,2024-01-19T15:00:00,0.00,59331.27,2828095.39
synb1_txn_2f87fcb52f97a03af29107e6,2024-01-22T15:00:00,0.00,352053.35,3180148.74
synb1_txn_2b393aa8d27987535d4210d1,2024-01-22T15:00:00,0.00,2233.87,3182382.61
synb1_txn_5e8c25c8b93069543611b4ba,2024-01-23T09:00:00,129020.43,0.00,3053362.18
synb1_txn_f241d3d4199c5aaad6f550dc,2024-01-25T09:00:00,103394.79,0.00,2949967.39
synb1_txn_ca5964ed3471720c9a1a5ab3,2024-01-25T15:00:00,0.00,366545.86,3316513.25
synb1_txn_678d9c6b46ddc623af98eb01,2024-02-04T09:00:00,780005.89,0.00,2536507.36
synb1_txn_375d84d3ae353030ffa3c0a7,2024-02-04T15:00:00,0.00,304897.51,2841404.87
synb1_txn_c47448031aa9c6ec5ea351e3,2024-02-05T09:00:00,39600.00,0.00,2801804.87
synb1_txn_42e7548d825db600bbd3faf4,2024-02-07T09:00:00,114400.00,0.00,2687404.87
synb1_txn_386740c23e20c1c81d0489de,2024-02-09T09:00:00,228668.03,0.00,2458736.84
synb1_txn_87d0b9a8c71a3c5aa138b110,2024-02-09T15:00:00,0.00,197640.03,2656376.87
synb1_txn_be68c1afec8f30bde254b7b4,2024-02-10T15:00:00,0.00,84040.81,2740417.68
synb1_txn_47f242027845b2e93b8e8382,2024-02-10T15:00:00,0.00,112930.04,2853347.72
synb1_txn_86eebb0c871366cfb93a57e7,2024-02-11T09:00:00,23851.56,0.00,2829496.16
synb1_txn_7d0a23aeda42189ec7008242,2024-02-14T15:00:00,0.00,205973.74,3035469.90
synb1_txn_002eec60e100c8f35551de0b,2024-02-16T09:00:00,184800.00,0.00,2850669.90
synb1_txn_fb05ceb7f38ddb60d5b8fb98,2024-02-16T15:00:00,0.00,151529.65,3002199.55
synb1_txn_ab439b7635b079609a11c73b,2024-02-17T09:00:00,114787.90,0.00,2887411.65
synb1_txn_760d96bcd9e7c913d07a0383,2024-02-18T09:00:00,72897.02,0.00,2814514.63
synb1_txn_53707e330504c68bbed93752,2024-02-18T09:00:00,17574.00,0.00,2796940.63
synb1_txn_813a7182b47817e82de777e7,2024-02-18T09:00:00,2108.88,0.00,2794831.75
synb1_txn_22bc42b1b73ec654dc0b862d,2024-02-23T09:00:00,281421.06,0.00,2513410.69
synb1_txn_4f08234ffe8ca6baab748952,2024-02-26T15:00:00,0.00,589838.93,3103249.62
synb1_txn_2c3d5c9616b79c493c8575d9,2024-02-27T09:00:00,348.44,0.00,3102901.18
synb1_txn_116ffaaf43ea71e9f492721a,2024-02-27T15:00:00,0.00,286173.29,3389074.47
synb1_txn_a2e9f0abddcded8ca1378776,2024-03-03T15:00:00,0.00,294103.72,3683178.19
synb1_txn_9741fc0d173510fe3bbc4c1c,2024-03-04T09:00:00,59590.61,0.00,3623587.58
synb1_txn_0e11b4eb8dcd9bdd1abc9836,2024-03-05T09:00:00,19269.64,0.00,3604317.94
synb1_txn_64b4d014314c0aacc948c652,2024-03-05T09:00:00,39600.00,0.00,3564717.94
synb1_txn_707aa0d87f4d5ef8b29861ac,2024-03-07T09:00:00,4930.36,0.00,3559787.58
synb1_txn_98930a86bea37f97d50e9068,2024-03-07T09:00:00,114400.00,0.00,3445387.58
synb1_txn_b5e8b9bf0339fb7e7b93beb4,2024-03-07T09:00:00,875178.81,0.00,2570208.77
synb1_txn_b6618deca36436cb1389e13c,2024-03-08T15:00:00,0.00,58928.69,2629137.46
synb1_txn_096f3a8e3b5e374386a82712,2024-03-12T09:00:00,104615.07,0.00,2524522.39
synb1_txn_5a404c72b92e58bf75dd2554,2024-03-12T09:00:00,124094.79,0.00,2400427.60
synb1_txn_ae4838b4380498245b5195fe,2024-03-12T15:00:00,0.00,135428.00,2535855.60
synb1_txn_0cefcff82cf426b27b1551e4,2024-03-14T15:00:00,0.00,2882.20,2538737.80
synb1_txn_5b579ce828eef14171701097,2024-03-14T15:00:00,0.00,61621.46,2600359.26
synb1_txn_b1e43be24799935797b1998c,2024-03-15T15:00:00,0.00,679846.36,3280205.62
synb1_txn_ac6374e9df4c59d624a98a32,2024-03-16T15:00:00,0.00,265370.31,3545575.93
synb1_txn_b0ec016226dbf43e68150f8b,2024-03-18T09:00:00,91597.95,0.00,3453977.98
synb1_txn_96eed762ccdba5fc41660e1b,2024-03-18T09:00:00,20602.00,0.00,3433375.98
synb1_txn_99dd240cdd6b4d1c8978c0d7,2024-03-18T09:00:00,2472.24,0.00,3430903.74
synb1_txn_13fffe8f6878a4a3357e0265,2024-03-19T09:00:00,103509.89,0.00,3327393.85
synb1_txn_ae97fa73fff87e5c8d82a105,2024-03-22T09:00:00,145200.00,0.00,3182193.85
synb1_txn_299ab97f5429166e8cbcd539,2024-03-22T15:00:00,0.00,44603.97,3226797.82
synb1_txn_ed29290924e274411a791391,2024-03-24T09:00:00,37236.69,0.00,3189561.13
synb1_txn_5c5be30a3706b77a080c05ca,2024-03-25T09:00:00,87309.82,0.00,3102251.31
synb1_txn_4f64a25558d364838127ed7d,2024-03-28T15:00:00,0.00,106339.91,3208591.22
synb1_txn_def94975de26abbe1d090b66,2024-03-28T15:00:00,0.00,161376.05,3369967.27
synb1_txn_eaf893ba29b9ea7c3feb46af,2024-03-28T15:00:00,0.00,238563.33,3608530.60
synb1_txn_abf4d4552ab84333d5d96ea7,2024-04-02T15:00:00,0.00,197267.40,3805798.00
synb1_txn_fa62d8b3d9ac921957e99d9f,2024-04-04T15:00:00,0.00,8447.94,3814245.94
synb1_txn_6268b62a46e01a78b897f3c2,2024-04-04T15:00:00,0.00,56651.86,3870897.80
synb1_txn_bb6cd552f52725cc0dd39d75,2024-04-05T09:00:00,39600.00,0.00,3831297.80
synb1_txn_ddfe89a00b9cc62cb499cc2d,2024-04-05T15:00:00,0.00,330742.07,4162039.87
synb1_txn_80cb914499509d9117623108,2024-04-06T09:00:00,14223.49,0.00,4147816.38
