transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_f5c513fe6b8e8ec6a2387f60,2024-01-01T09:00:00,0.00,10000000.00,10000000.00
synb1_txn_42a51c5010bf1822707104f4,2024-01-03T09:00:00,547421.46,0.00,9452578.54
synb1_txn_5210342946f1d54ab273df7e,2024-01-05T09:00:00,90000.00,0.00,9362578.54
synb1_txn_7c08e62bb116211878274311,2024-01-05T09:00:00,618874.34,0.00,8743704.20
synb1_txn_085f83d12a77de5aac8b8275,2024-01-07T09:00:00,12402.99,0.00,8731301.21
synb1_txn_90f963191f7a6f5eff576de9,2024-01-07T09:00:00,340000.00,0.00,8391301.21
synb1_txn_ce5e67f3a6a216a0acf5b115,2024-01-08T15:00:00,0.00,184849.42,8576150.63
synb1_txn_f1dad27fc1f0525c01d3ddb4,2024-01-09T09:00:00,446638.36,0.00,8129512.27
synb1_txn_247a26412223b0c26f003f28,2024-01-11T15:00:00,0.00,122788.76,8252301.03
synb1_txn_684f4fcb773afd977b7ead25,2024-01-12T15:00:00,0.00,612659.57,8864960.60
synb1_txn_4860e7fb9c2cd2a68443963c,2024-01-14T09:00:00,47597.01,0.00,8817363.59
synb1_txn_50fe16cd1d421717c2a8a39c,2024-01-15T09:00:00,328964.62,0.00,8488398.97
synb1_txn_caa2e663dd697d2cd40cfd7d,2024-01-19T09:00:00,52501.22,0.00,8435897.75
synb1_txn_7aedfe25a5fb98986d567edd,2024-01-22T15:00:00,0.00,756257.68,9192155.43
synb1_txn_0fa596eb9ec71fee96908221,2024-01-23T15:00:00,0.00,444.57,9192600.00
synb1_txn_28b8e1c06cc22e5ec7201743,2024-01-24T09:00:00,700000.00,0.00,8492600.00
synb1_txn_f93771d5e457e5e4e3c79eca,2024-02-05T09:00:00,90000.00,0.00,8402600.00
synb1_txn_edd7391a91a549cd5cb54d5c,2024-02-05T09:00:00,189813.44,0.00,8212786.56
synb1_txn_40765bfdeebb73aa6fb8c625,2024-02-06T09:00:00,5575.41,0.00,8207211.15
synb1_txn_0fd764dd2a780c8c7e8cc6c8,2024-02-06T09:00:00,264712.54,0.00,7942498.61
synb1_txn_5d556b55d03000ee447660a6,2024-02-07T09:00:00,30931.39,0.00,7911567.22
synb1_txn_ab93c5433445b74887f733dd,2024-02-07T09:00:00,340000.00,0.00,7571567.22
synb1_txn_b4ca8f5fa6eef6c7afe0102b,2024-02-07T09:00:00,67727.27,0.00,7503839.95
synb1_txn_f78f3a4755eea711ed225865,2024-02-07T15:00:00,0.00,23330.11,7527170.06
synb1_txn_f5b9f7a4d39cca40c3b25540,2024-02-07T15:00:00,0.00,41486.40,7568656.46
synb1_txn_0bcccb3c9a2d2203c1fd8f34,2024-02-08T09:00:00,602876.03,0.00,6965780.43
synb1_txn_943b67272f6d96dfcb8aab58,2024-02-10T15:00:00,0.00,77165.93,7042946.36
synb1_txn_0745ae8ff434578174bfe8b0,2024-02-11T09:00:00,159009.15,0.00,6883937.21
synb1_txn_1b615fb5842868a032444fe4,2024-02-12T09:00:00,371189.16,0.00,6512748.05
synb1_txn_28d6855858fbff9353b00513,2024-02-12T15:00:00,0.00,30155.44,6542903.49
synb1_txn_2504216c3ec4b1ec683ac084,2024-02-14T09:00:00,235419.56,0.00,6307483.93
synb1_txn_a8d2ee77d9af0204f87703b2,2024-02-15T15:00:00,0.00,16469.99,6323953.92
synb1_txn_07d8adbe11d3eaab025f9071,2024-02-16T15:00:00,0.00,1282341.23,7606295.15
