calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,215420.73,0.00,1,215420.73,last_posted_transaction_or_prior_closing_balance,synb1_txn_f27047efef2470a4780e0748,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,2048.89,1,213371.84,last_posted_transaction_or_prior_closing_balance,synb1_txn_76e1a74b1eeec47e7397423b,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,7397.28,1,205974.56,last_posted_transaction_or_prior_closing_balance,synb1_txn_ae4eb9c9f5a0de31af6403ea,trusted,weekday_rule,base_calendar,True,3,2025-01-05,complete
2025-01-04,0.00,0.00,0,205974.56,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,51457.54,2,154517.02,last_posted_transaction_or_prior_closing_balance,synb1_txn_58558866846a0689214eab1e,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-06,complete
2025-01-06,0.00,10051.37,2,144465.65,last_posted_transaction_or_prior_closing_balance,synb1_txn_26bc41148815020c0a98aeb7,trusted,weekday_rule,base_calendar,True,5,2025-01-07,complete
2025-01-07,0.00,0.00,0,144465.65,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-08,complete
2025-01-08,0.00,0.00,0,144465.65,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-09,complete
2025-01-09,0.00,0.00,0,144465.65,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-10,complete
2025-01-10,0.00,6708.02,1,137757.63,last_posted_transaction_or_prior_closing_balance,synb1_txn_100fd6493ed34a65c9305c05,trusted,weekday_rule,base_calendar,True,9,2025-01-11,complete
2025-01-11,0.00,112638.75,2,25118.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_078d36afd5c01a7e58b2eda2,trusted,historical_transaction_override,historical_transaction_override,True,10,2025-01-12,complete
2025-01-12,0.00,9257.64,2,15861.24,last_posted_transaction_or_prior_closing_balance,synb1_txn_9cfa3dd36795e6db70befea3,trusted,historical_transaction_override,historical_transaction_override,True,11,2025-01-13,complete
2025-01-13,0.00,0.00,0,15861.24,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2025-01-14,complete
2025-01-14,0.00,0.00,0,15861.24,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-15,complete
2025-01-15,0.00,0.00,0,15861.24,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2025-01-16,complete
2025-01-16,0.00,0.00,0,15861.24,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-17,complete
2025-01-17,0.00,1866.24,1,13995.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_6fbc08588970837b707a5891,trusted,weekday_rule,base_calendar,True,16,2025-01-20,complete
2025-01-18,0.00,0.00,0,13995.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,0.00,0,13995.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,0.00,0.00,0,13995.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-21,complete
2025-01-21,0.00,0.00,0,13995.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-22,complete
2025-01-22,0.00,0.00,0,13995.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,19,2025-01-23,complete
2025-01-23,0.00,0.00,0,13995.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,20,2025-01-24,complete
2025-01-24,0.00,0.00,0,13995.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2025-01-26,complete
2025-01-25,0.00,0.00,0,13995.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-26,66263.68,0.00,1,80258.68,last_posted_transaction_or_prior_closing_balance,synb1_txn_4f3aab7fb93a080d690996c7,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,22,2025-01-27,complete
2025-01-27,141972.08,63353.35,3,158877.41,last_posted_transaction_or_prior_closing_balance,synb1_txn_cc381306d0fe6095ef21ecb9,trusted,weekday_rule,base_calendar,True,23,2025-01-28,complete
2025-01-28,0.00,2311.01,1,156566.40,last_posted_transaction_or_prior_closing_balance,synb1_txn_51768603f8bc036f7108eb8b,trusted,historical_transaction_override,historical_transaction_override,True,24,2025-01-29,complete
2025-01-29,71664.24,4979.60,3,223251.04,last_posted_transaction_or_prior_closing_balance,synb1_txn_cd3dd1d476333d95f17aefc3,trusted,historical_transaction_override,historical_transaction_override,True,25,2025-02-02,complete
2025-01-30,0.00,0.00,0,223251.04,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-31,0.00,0.00,0,223251.04,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-01,0.00,0.00,0,223251.04,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-02,0.00,7583.43,1,215667.61,last_posted_transaction_or_prior_closing_balance,synb1_txn_331074fc58c0f843384c97a7,trusted,historical_transaction_override,historical_transaction_override,True,26,2025-02-03,complete
2025-02-03,419850.00,0.00,1,635517.61,last_posted_transaction_or_prior_closing_balance,synb1_txn_42aa15f98d097d8364b0b371,trusted,historical_transaction_override,historical_transaction_override,True,27,2025-02-04,complete
2025-02-04,0.00,6255.47,1,629262.14,last_posted_transaction_or_prior_closing_balance,synb1_txn_0f8aa4be82321e86f68ba865,trusted,historical_transaction_override,historical_transaction_override,True,28,2025-02-05,complete
2025-02-05,0.00,0.00,0,629262.14,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,29,2025-02-06,complete
2025-02-06,0.00,0.00,0,629262.14,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,30,2025-02-07,complete
2025-02-07,0.00,0.00,0,629262.14,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,31,2025-02-08,complete
2025-02-08,0.00,5830.98,2,623431.16,last_posted_transaction_or_prior_closing_balance,synb1_txn_7a7d21d0f61529b2ab09f203,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,32,2025-02-10,complete
2025-02-09,0.00,0.00,0,623431.16,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-10,0.00,0.00,0,623431.16,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,33,2025-02-11,complete
2025-02-11,84945.11,2181.23,3,706195.04,last_posted_transaction_or_prior_closing_balance,synb1_txn_5587f61d2bc41fc536c291c2,trusted,weekday_rule,base_calendar,True,34,2025-02-12,complete
2025-02-12,0.00,0.00,0,706195.04,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,35,2025-02-13,complete
2025-02-13,0.00,96216.92,1,609978.12,last_posted_transaction_or_prior_closing_balance,synb1_txn_3473e5b69bb8c026e2fdef34,trusted,weekday_rule,base_calendar,True,36,2025-02-14,complete
2025-02-14,0.00,153337.28,2,456640.84,last_posted_transaction_or_prior_closing_balance,synb1_txn_39adc23f96111f801e98f68a,trusted,weekday_rule,base_calendar,True,37,2025-02-17,complete
2025-02-15,0.00,0.00,0,456640.84,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-16,0.00,0.00,0,456640.84,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-17,0.00,2343.21,1,454297.63,last_posted_transaction_or_prior_closing_balance,synb1_txn_c9644730ba15a33c4107916b,trusted,weekday_rule,base_calendar,True,38,2025-02-18,complete
2025-02-18,0.00,1652.48,1,452645.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_8e07c200a4be4fb8932746ec,trusted,weekday_rule,base_calendar,True,39,2025-02-19,complete
2025-02-19,0.00,7174.68,1,445470.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_1369bfdf5e0430d7aacb90f1,trusted,weekday_rule,base_calendar,True,40,2025-02-20,complete
2025-02-20,0.00,5365.02,2,440105.45,last_posted_transaction_or_prior_closing_balance,synb1_txn_ec6b53c6ebc596e7652e172a,trusted,weekday_rule,base_calendar,True,41,2025-02-21,complete
2025-02-21,0.00,0.00,0,440105.45,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,42,2025-02-22,complete
2025-02-22,0.00,6976.42,1,433129.03,last_posted_transaction_or_prior_closing_balance,synb1_txn_5bf0a1bd82bc69b2325c1289,trusted,historical_transaction_override,historical_transaction_override,True,43,2025-02-23,complete
2025-02-23,39887.48,0.00,1,473016.51,last_posted_transaction_or_prior_closing_balance,synb1_txn_b4451300b8ad92fe5e887429,trusted,historical_transaction_override,historical_transaction_override,True,44,2025-02-24,complete
2025-02-24,0.00,85865.86,1,387150.65,last_posted_transaction_or_prior_closing_balance,synb1_txn_72819727aef00ccaa353caf3,trusted,weekday_rule,base_calendar,True,45,2025-02-25,complete
2025-02-25,0.00,0.00,0,387150.65,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,46,2025-02-26,complete
2025-02-26,0.00,0.00,0,387150.65,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,47,2025-02-27,complete
2025-02-27,0.00,0.00,0,387150.65,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,48,2025-02-28,complete
2025-02-28,38908.91,7387.03,5,418672.53,last_posted_transaction_or_prior_closing_balance,synb1_txn_033f97a474c5619dc3e43b69,trusted,weekday_rule,base_calendar,True,49,2025-03-02,complete
2025-03-01,0.00,0.00,0,418672.53,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-02,0.00,7145.10,1,411527.43,last_posted_transaction_or_prior_closing_balance,synb1_txn_4b22327845cf3d32406ba51a,trusted,historical_transaction_override,historical_transaction_override,True,50,2025-03-03,complete
2025-03-03,0.00,6284.78,3,405242.65,last_posted_transaction_or_prior_closing_balance,synb1_txn_91b4967929c679ced667bc0d,trusted,weekday_rule,base_calendar,True,51,2025-03-04,complete
2025-03-04,0.00,3351.70,1,401890.95,last_posted_transaction_or_prior_closing_balance,synb1_txn_30ec38dc97582055b176c7cb,trusted,weekday_rule,base_calendar,True,52,2025-03-05,complete
2025-03-05,0.00,0.00,0,401890.95,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,53,2025-03-06,complete
2025-03-06,0.00,0.00,0,401890.95,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,54,2025-03-07,complete
2025-03-07,0.00,46517.93,1,355373.02,last_posted_transaction_or_prior_closing_balance,synb1_txn_e78da9b07341d3be878d74ab,trusted,weekday_rule,base_calendar,True,55,2025-03-09,complete
2025-03-08,0.00,0.00,0,355373.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-09,0.00,54577.23,1,300795.79,last_posted_transaction_or_prior_closing_balance,synb1_txn_6c3528c4f668c919fd73f9d3,trusted,historical_transaction_override,historical_transaction_override,True,56,2025-03-10,complete
2025-03-10,0.00,2847.83,1,297947.96,last_posted_transaction_or_prior_closing_balance,synb1_txn_45cd17a61fca4a67f85fe22c,trusted,weekday_rule,base_calendar,True,57,2025-03-11,complete
2025-03-11,0.00,2129.18,1,295818.78,last_posted_transaction_or_prior_closing_balance,synb1_txn_319523b0eb6aa08d598b2d02,trusted,weekday_rule,base_calendar,True,58,2025-03-12,complete
2025-03-12,0.00,0.00,0,295818.78,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,59,2025-03-13,complete
