calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,46061.98,0.00,1,46061.98,last_posted_transaction_or_prior_closing_balance,synb1_txn_1d9f3ebafca6b74a161151e5,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,46061.98,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,11682.75,1,34379.23,last_posted_transaction_or_prior_closing_balance,synb1_txn_91707139514fc256f57aa750,trusted,weekday_rule,base_calendar,True,3,2025-01-05,complete
2025-01-04,0.00,0.00,0,34379.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,99572.00,0.00,1,133951.23,last_posted_transaction_or_prior_closing_balance,synb1_txn_d89d196d105943dda750026c,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-06,complete
2025-01-06,0.00,0.00,0,133951.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,5,2025-01-07,complete
2025-01-07,0.00,0.00,0,133951.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-08,complete
2025-01-08,0.00,4954.67,1,128996.56,last_posted_transaction_or_prior_closing_balance,synb1_txn_d04e37d6902f0ce69c078b05,trusted,weekday_rule,base_calendar,True,7,2025-01-09,complete
2025-01-09,0.00,0.00,0,128996.56,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-10,complete
2025-01-10,0.00,3744.47,1,125252.09,last_posted_transaction_or_prior_closing_balance,synb1_txn_2e72bd2b906999ba824eea0c,trusted,weekday_rule,base_calendar,True,9,2025-01-11,complete
2025-01-11,0.00,103462.09,1,21790.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_d6c5336b19a5ad68ae436844,trusted,historical_transaction_override,historical_transaction_override,True,10,2025-01-12,complete
2025-01-12,98571.68,0.00,1,120361.68,last_posted_transaction_or_prior_closing_balance,synb1_txn_9c506829b14d4bfc5b6c2d73,trusted,historical_transaction_override,historical_transaction_override,True,11,2025-01-13,complete
2025-01-13,0.00,17937.18,3,102424.50,last_posted_transaction_or_prior_closing_balance,synb1_txn_7b7911661dabf1900a106a10,trusted,weekday_rule,base_calendar,True,12,2025-01-14,complete
2025-01-14,0.00,0.00,0,102424.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-15,complete
2025-01-15,0.00,77451.92,1,24972.58,last_posted_transaction_or_prior_closing_balance,synb1_txn_9f33f5c9303af8d2954c44c6,trusted,weekday_rule,base_calendar,True,14,2025-01-16,complete
2025-01-16,0.00,0.00,0,24972.58,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-17,complete
2025-01-17,0.00,0.00,0,24972.58,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2025-01-18,complete
2025-01-18,127423.85,0.00,1,152396.43,last_posted_transaction_or_prior_closing_balance,synb1_txn_0344e7335a2411a05f85fc98,trusted,historical_transaction_override,historical_transaction_override,True,17,2025-01-19,complete
2025-01-19,0.00,76432.42,2,75964.01,last_posted_transaction_or_prior_closing_balance,synb1_txn_ae57a9541364889317ba84d1,trusted,historical_transaction_override,historical_transaction_override,True,18,2025-01-20,complete
2025-01-20,101516.47,0.00,1,177480.48,last_posted_transaction_or_prior_closing_balance,synb1_txn_e009e63c6e28377003329110,trusted,weekday_rule,base_calendar,True,19,2025-01-21,complete
2025-01-21,0.00,0.00,0,177480.48,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,20,2025-01-22,complete
2025-01-22,0.00,3064.68,1,174415.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_f351c014d7a7264d921a266f,trusted,weekday_rule,base_calendar,True,21,2025-01-23,complete
2025-01-23,0.00,0.00,0,174415.80,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,22,2025-01-24,complete
2025-01-24,0.00,2784.65,1,171631.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_7d649909fa75621fe5380f4e,trusted,weekday_rule,base_calendar,True,23,2025-01-25,complete
2025-01-25,0.00,3489.82,1,168141.33,last_posted_transaction_or_prior_closing_balance,synb1_txn_dc6d085b9e753b3c1a481173,trusted,historical_transaction_override,historical_transaction_override,True,24,2025-01-26,complete
2025-01-26,0.00,11929.80,1,156211.53,last_posted_transaction_or_prior_closing_balance,synb1_txn_5d7394385785cc510d4a6067,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,25,2025-01-27,complete
2025-01-27,0.00,0.00,0,156211.53,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,26,2025-01-29,complete
2025-01-28,0.00,0.00,0,156211.53,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-29,0.00,72551.45,1,83660.08,last_posted_transaction_or_prior_closing_balance,synb1_txn_59e2c11c14a32c7cb65699d0,trusted,historical_transaction_override,historical_transaction_override,True,27,2025-01-31,complete
2025-01-30,0.00,0.00,0,83660.08,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-31,0.00,10345.25,1,73314.83,last_posted_transaction_or_prior_closing_balance,synb1_txn_5ca13edfd6a7f6d95ecd54ee,trusted,historical_transaction_override,historical_transaction_override,True,28,2025-02-01,complete
2025-02-01,0.00,9130.85,2,64183.98,last_posted_transaction_or_prior_closing_balance,synb1_txn_2d1d906be0b4e2bf4b6c22d6,trusted,historical_transaction_override,historical_transaction_override,True,29,2025-02-03,complete
2025-02-02,0.00,0.00,0,64183.98,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-03,771522.41,0.00,3,835706.39,last_posted_transaction_or_prior_closing_balance,synb1_txn_f0ad01bd600ae38c836a5110,trusted,historical_transaction_override,historical_transaction_override,True,30,2025-02-05,complete
2025-02-04,0.00,0.00,0,835706.39,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-05,0.00,0.00,0,835706.39,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,31,2025-02-06,complete
2025-02-06,0.00,127165.22,1,708541.17,last_posted_transaction_or_prior_closing_balance,synb1_txn_64ac27250f8bc617b21cf02b,trusted,weekday_rule,base_calendar,True,32,2025-02-07,complete
2025-02-07,0.00,0.00,0,708541.17,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,33,2025-02-08,complete
2025-02-08,67724.24,0.00,1,776265.41,last_posted_transaction_or_prior_closing_balance,synb1_txn_4564a1411404c648fdf4b554,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,34,2025-02-09,complete
2025-02-09,0.00,11546.99,1,764718.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_aa891713424b53595bbd50e7,trusted,historical_transaction_override,historical_transaction_override,True,35,2025-02-10,complete
2025-02-10,0.00,0.00,0,764718.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,36,2025-02-11,complete
2025-02-11,0.00,0.00,0,764718.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,37,2025-02-12,complete
2025-02-12,0.00,0.00,0,764718.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,38,2025-02-13,complete
