transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_ad32b1eb8efdaae1f02c871b,2024-01-01T09:00:00,流入,3100000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ded46d52d0e6abfe8a54dde4,2024-01-04T09:00:00,流出,10403.57,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5bcbc6f647e35cdd67dd3ccc,2024-01-05T09:00:00,流出,30000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_863c9fa29bcf9964185a84d6,2024-01-06T09:00:00,流出,53783.50,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_31c54d519d839a516def3ece,2024-01-07T09:00:00,流出,104000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ac9910b940a4d0f7bfa03f6f,2024-01-09T09:00:00,流出,26041.47,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3a9ae485934ef3073220aecb,2024-01-10T09:00:00,流出,3652.59,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ef332da9331cfc3e7096a09b,2024-01-10T15:00:00,流入,236248.69,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_94f510090ec3214ea2fa4e47,2024-01-12T09:00:00,流出,7359.63,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1c89b2dd2abfc172ca45a559,2024-01-17T09:00:00,流出,4487.78,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_376049815be9dcfc54fca5df,2024-01-17T09:00:00,流出,11358.45,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3b4d7b7d395ba9de2e6e2ab3,2024-01-17T15:00:00,流入,63879.95,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_574b3c018ecacd7992d68fb0,2024-01-19T09:00:00,流出,329824.70,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_907247c357f67e626c7027ec,2024-01-19T09:00:00,流出,5895.98,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ef19f8ea668385bcfd684291,2024-01-21T15:00:00,流入,491203.57,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c772e4f2c3303d2e7593c820,2024-01-25T09:00:00,流出,263692.33,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_85e5bf76bf16f50041d8bf3b,2024-01-26T15:00:00,流入,8667.79,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dfba1331e2c9fe451ae6cd77,2024-02-02T09:00:00,流出,43493.99,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
