transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_6bbf38def25b4db33819e636,2024-01-01T09:00:00,流入,580000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6f3184a83cb951c73d88cb74,2024-01-05T09:00:00,流出,6000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_240722c39f0da8830d1987ee,2024-01-07T09:00:00,流出,25000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_67ab8dc9b5d83844b367d097,2024-01-08T09:00:00,流出,26986.50,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8da05a6497d56fe35286c3e4,2024-01-08T15:00:00,流入,65596.54,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2f6d4bdeb0b8627f5373cf4d,2024-01-09T09:00:00,流出,8846.65,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5350e0c0f99873eb089c6459,2024-01-10T09:00:00,流出,51222.10,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7f0dd4547afbd794a6345fed,2024-01-12T15:00:00,流入,16983.04,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ad4ed864747c78a0f86c98e9,2024-01-13T15:00:00,流入,5420.42,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_53f00e743f5c25e3c852d9c7,2024-01-14T09:00:00,流出,2.96,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_13fa032b8f31f5bd4baa63aa,2024-01-17T09:00:00,流出,2397.09,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5fcf0c8ebc017afcc7cd60b4,2024-01-18T09:00:00,流出,13208.89,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c6a5908009b442939037c0b4,2024-01-21T09:00:00,流出,24838.77,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_989f0861031020e079e14289,2024-01-22T09:00:00,流出,50000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7fa4b60434cf29a42543ca28,2024-01-24T09:00:00,流出,4807.39,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_20896fd0c5f25a323b466813,2024-01-25T09:00:00,流出,189.65,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1126efcc8256b729295281d1,2024-02-04T09:00:00,流出,30032.00,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bf5258ab9214e8d069d54449,2024-02-05T09:00:00,流出,6000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fadd8491419bb8f29e3633b0,2024-02-07T09:00:00,流出,25000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5fbeb90c4ef08083c1e90325,2024-02-07T15:00:00,流入,23967.51,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_34e9c186d12277c9d233892f,2024-02-08T09:00:00,流出,6259.74,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
