transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_6bbf38def25b4db33819e636,2024-01-01T09:00:00,0.00,580000.00,580000.00
synb1_txn_6f3184a83cb951c73d88cb74,2024-01-05T09:00:00,6000.00,0.00,574000.00
synb1_txn_240722c39f0da8830d1987ee,2024-01-07T09:00:00,25000.00,0.00,549000.00
synb1_txn_67ab8dc9b5d83844b367d097,2024-01-08T09:00:00,26986.50,0.00,522013.50
synb1_txn_8da05a6497d56fe35286c3e4,2024-01-08T15:00:00,0.00,65596.54,587610.04
synb1_txn_2f6d4bdeb0b8627f5373cf4d,2024-01-09T09:00:00,8846.65,0.00,578763.39
synb1_txn_5350e0c0f99873eb089c6459,2024-01-10T09:00:00,51222.10,0.00,527541.29
synb1_txn_7f0dd4547afbd794a6345fed,2024-01-12T15:00:00,0.00,16983.04,544524.33
synb1_txn_ad4ed864747c78a0f86c98e9,2024-01-13T15:00:00,0.00,5420.42,549944.75
synb1_txn_53f00e743f5c25e3c852d9c7,2024-01-14T09:00:00,2.96,0.00,549941.79
synb1_txn_13fa032b8f31f5bd4baa63aa,2024-01-17T09:00:00,2397.09,0.00,547544.70
synb1_txn_5fcf0c8ebc017afcc7cd60b4,2024-01-18T09:00:00,13208.89,0.00,534335.81
synb1_txn_c6a5908009b442939037c0b4,2024-01-21T09:00:00,24838.77,0.00,509497.04
synb1_txn_989f0861031020e079e14289,2024-01-22T09:00:00,50000.00,0.00,459497.04
synb1_txn_7fa4b60434cf29a42543ca28,2024-01-24T09:00:00,4807.39,0.00,454689.65
synb1_txn_20896fd0c5f25a323b466813,2024-01-25T09:00:00,189.65,0.00,454500.00
synb1_txn_1126efcc8256b729295281d1,2024-02-04T09:00:00,30032.00,0.00,424468.00
synb1_txn_bf5258ab9214e8d069d54449,2024-02-05T09:00:00,6000.00,0.00,418468.00
synb1_txn_fadd8491419bb8f29e3633b0,2024-02-07T09:00:00,25000.00,0.00,393468.00
synb1_txn_5fbeb90c4ef08083c1e90325,2024-02-07T15:00:00,0.00,23967.51,417435.51
synb1_txn_34e9c186d12277c9d233892f,2024-02-08T09:00:00,6259.74,0.00,411175.77
synb1_txn_d7f5c758a2df6bb080b6c64c,2024-02-08T15:00:00,0.00,49242.79,460418.56
synb1_txn_e23699b7233b0dd250ffe40a,2024-02-10T15:00:00,0.00,6445.42,466863.98
synb1_txn_21e6a9857d6df9ae0d4f16bc,2024-02-10T15:00:00,0.00,15241.30,482105.28
synb1_txn_1d6c6d8ffa79d55149e25d08,2024-02-12T09:00:00,2916.07,0.00,479189.21
synb1_txn_9ef85c65a08c7a95bd70a671,2024-02-12T15:00:00,0.00,33265.12,512454.33
synb1_txn_3476a9e25cc9cca25d51605d,2024-02-13T15:00:00,0.00,8660.07,521114.40
synb1_txn_cc85da99f19eb6909a78cdf1,2024-02-14T09:00:00,4.70,0.00,521109.70
synb1_txn_1aeb3ab8868ca563fcea35e8,2024-02-14T15:00:00,0.00,6190.75,527300.45
synb1_txn_cced4306d50944afb4fa01b9,2024-02-16T09:00:00,25354.63,0.00,501945.82
synb1_txn_9505659dc0db1280bdc811c7,2024-02-16T15:00:00,0.00,5110.05,507055.87
synb1_txn_c8295be12163f95b9cf77e0a,2024-02-18T09:00:00,441.60,0.00,506614.27
synb1_txn_b1327dacc29fde110ba20f90,2024-02-18T09:00:00,1600.00,0.00,505014.27
synb1_txn_bc6d571378fd7cf0801cfcde,2024-02-18T09:00:00,192.00,0.00,504822.27
synb1_txn_1e6b6cbdb4a359f11d98f661,2024-02-19T09:00:00,50000.00,0.00,454822.27
synb1_txn_7df6d7302ca737d03bccf09c,2024-02-19T09:00:00,5159.59,0.00,449662.68
synb1_txn_7f242b20368053dd2ecca1ab,2024-02-21T09:00:00,31868.43,0.00,417794.25
synb1_txn_1a3c86ffe4ea5586f168f36f,2024-02-21T09:00:00,37501.56,0.00,380292.69
synb1_txn_0f29eac46f45dda506071b5d,2024-02-22T15:00:00,0.00,1460.97,381753.66
synb1_txn_36a065bd0588bac115076d3c,2024-02-24T15:00:00,0.00,21416.02,403169.68
synb1_txn_34ee0c523076033620a7e6b6,2024-02-25T09:00:00,2083.93,0.00,401085.75
synb1_txn_7306709acabdca99b022bd69,2024-02-27T09:00:00,7308.41,0.00,393777.34
synb1_txn_f10c839229e6669471f0875b,2024-02-27T09:00:00,260.94,0.00,393516.40
synb1_txn_ba957beee7ef9edceb0150c6,2024-03-02T09:00:00,15128.76,0.00,378387.64
synb1_txn_af226807ccff9f0e1c09484c,2024-03-03T09:00:00,181.96,0.00,378205.68
synb1_txn_0add8e84d289d52eb75ce856,2024-03-04T09:00:00,32218.86,0.00,345986.82
synb1_txn_ecd6fdda0a55b1511135e4d2,2024-03-05T09:00:00,6000.00,0.00,339986.82
synb1_txn_eb37136cea2a8e7b5cf932dc,2024-03-05T09:00:00,20690.90,0.00,319295.92
synb1_txn_1b85c229dd84cab2ca44bee5,2024-03-07T09:00:00,25000.00,0.00,294295.92
synb1_txn_0efa0563e36a4dfb35b87ca8,2024-03-07T15:00:00,0.00,5583.97,299879.89
synb1_txn_6b0341c8b1233384bc4353ea,2024-03-09T15:00:00,0.00,16160.70,316040.59
synb1_txn_02a1f8fac0a18ddaf1bc5c85,2024-03-10T15:00:00,0.00,35724.62,351765.21
synb1_txn_7b2d6c49adcec5be9e9461e2,2024-03-12T09:00:00,2398.83,0.00,349366.38
synb1_txn_fb9b2d7d30b9fc4666434e41,2024-03-12T09:00:00,1922.91,0.00,347443.47
synb1_txn_485ae9044c78035fae052bc8,2024-03-12T15:00:00,0.00,28564.29,376007.76
synb1_txn_e6f5d838594dfb3976e8ae62,2024-03-12T15:00:00,0.00,188.78,376196.54
synb1_txn_76776bce7503715af21a7887,2024-03-13T15:00:00,0.00,550.39,376746.93
synb1_txn_938f6f3f6faf78ff45718e2d,2024-03-16T09:00:00,42715.24,0.00,334031.69
synb1_txn_df6fe0ec2ffa72450b4798f1,2024-03-17T15:00:00,0.00,68301.20,402332.89
synb1_txn_f561c251058f91c5fccf1cef,2024-03-18T09:00:00,1396.80,0.00,400936.09
synb1_txn_9605853b7000ac8291a02d2e,2024-03-18T09:00:00,1800.00,0.00,399136.09
synb1_txn_7ca36ec3a49c4050d6b2939c,2024-03-18T09:00:00,216.00,0.00,398920.09
synb1_txn_b3c00229e65cb6b46581bc0e,2024-03-19T09:00:00,2040.67,0.00,396879.42
synb1_txn_2f9cf039b1e5f5d52f966d96,2024-03-21T09:00:00,2777.37,0.00,394102.05
synb1_txn_519dd0c5d71089af16e4c7b1,2024-03-23T15:00:00,0.00,15834.05,409936.10
synb1_txn_387f9f02caa62e9bd88a075f,2024-03-25T09:00:00,3700.89,0.00,406235.21
synb1_txn_d57440a74d33fa39a8014dfb,2024-03-25T09:00:00,191.53,0.00,406043.68
synb1_txn_e2a64e8c20603a36836565bb,2024-03-26T15:00:00,0.00,3592.00,409635.68
synb1_txn_fa7b0484fb588b2647fdecd3,2024-03-28T09:00:00,10407.08,0.00,399228.60
synb1_txn_1da1936582ca2837daa49ef6,2024-04-02T09:00:00,21300.07,0.00,377928.53
synb1_txn_45e49116933e319f73a68c0c,2024-04-03T09:00:00,4783.25,0.00,373145.28
