transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_95468c1e4cf981fc02fddbb1,2025-01-01T09:00:00,0.00,521044.77,521044.77
synb1_txn_3afd9ebf3abb3cf18cddb84a,2025-01-01T16:29:28,97245.51,0.00,423799.26
synb1_txn_31acd2de4ed202ba6f908b11,2025-01-03T12:55:46,88825.62,0.00,334973.64
synb1_txn_8f8b3778cadab4ae02e6fa89,2025-01-08T17:22:42,1244.91,0.00,333728.73
synb1_txn_3bcb334d62ebb931677d388c,2025-01-10T14:57:57,4100.56,0.00,329628.17
synb1_txn_8200f64c4dc2c564e603856a,2025-01-12T14:22:27,99499.36,0.00,230128.81
synb1_txn_1593a448732fc2dd8af8939c,2025-01-14T09:02:21,96301.81,0.00,133827.00
synb1_txn_b2c3d35b70cc8442d6217489,2025-01-14T12:04:42,1171.52,0.00,132655.48
synb1_txn_bbb862ddd1eaab1c0340567f,2025-01-15T12:37:36,4608.09,0.00,128047.39
synb1_txn_9452094fee72e3f395b193e7,2025-01-15T14:49:53,0.00,156027.78,284075.17
synb1_txn_553f518f5c4fc2631f649ad0,2025-01-16T15:57:49,0.00,137943.87,422019.04
synb1_txn_96f83d23bbba9a5460261a45,2025-01-17T12:58:24,1060.87,0.00,420958.17
synb1_txn_7b95851f149191bd888b587c,2025-01-20T16:36:01,0.00,144841.72,565799.89
synb1_txn_59c3184c4fa37eef4c143ab7,2025-01-26T17:21:33,5351.67,0.00,560448.22
synb1_txn_a38c8e69e06acb590a2af3cc,2025-01-27T12:39:22,4859.68,0.00,555588.54
synb1_txn_0a0c68261c05a6389573137d,2025-01-29T13:54:35,0.00,114312.83,669901.37
synb1_txn_5763ca310c1c22672c36beb1,2025-01-31T11:28:40,1252.70,0.00,668648.67
synb1_txn_903f31863923e6f1dda0100c,2025-02-01T17:40:52,0.00,90449.57,759098.24
synb1_txn_6957703afb5b46dc8d8b1e92,2025-02-07T09:53:25,1417.36,0.00,757680.88
synb1_txn_098bcfb87e56228c9bfb61bf,2025-02-08T11:38:59,0.00,76107.36,833788.24
synb1_txn_7a2d1c5bd0aa96e60493a3cb,2025-02-08T17:49:56,1049.20,0.00,832739.04
synb1_txn_709dbfa4f00e2cbdd7068b8f,2025-02-11T16:47:20,4985.54,0.00,827753.50
synb1_txn_d81c78248eb04f3e63d96f71,2025-02-12T14:03:24,4306.96,0.00,823446.54
synb1_txn_9d8c64d740acaed61b78484e,2025-02-12T17:52:28,0.00,87944.44,911390.98
synb1_txn_02d968d71451e249e2045498,2025-02-13T12:34:25,0.00,97218.35,1008609.33
synb1_txn_757a3fd7d6a47f2581ce93ad,2025-02-14T12:26:24,4663.66,0.00,1003945.67
synb1_txn_acfcee004d7895fe08c58921,2025-02-16T13:59:25,1071.10,0.00,1002874.57
synb1_txn_23d3e506738e85255eaabd36,2025-02-17T09:32:34,1192.34,0.00,1001682.23
synb1_txn_73fdcd3c2f6dec99902ae0d0,2025-02-17T10:54:51,180749.99,0.00,820932.24
synb1_txn_0b1f1ab29bfa0e1033854d18,2025-02-24T09:08:32,160456.30,0.00,660475.94
synb1_txn_2b1f3cc707034dbf15c30002,2025-02-26T15:54:07,4963.84,0.00,655512.10
synb1_txn_4870cf4d9ad53689f06f6c7a,2025-02-27T10:28:10,145493.44,0.00,510018.66
synb1_txn_922b27721aae7640d6fa721c,2025-02-28T09:00:00,7859.15,0.00,502159.51
synb1_txn_bd5073fd7652483bae8bd988,2025-02-28T09:00:00,5531.26,0.00,496628.25
synb1_txn_84899e9caeded47787e4188d,2025-02-28T09:00:00,663.75,0.00,495964.50
synb1_txn_9270b12cf1c1dc90d0fde98a,2025-02-28T15:14:10,170785.82,0.00,325178.68
synb1_txn_cb4a8cc6df1a6a3612f115af,2025-03-02T16:31:14,1314.74,0.00,323863.94
synb1_txn_8f18c8be98db1097768326bc,2025-03-05T16:23:44,137202.37,0.00,186661.57
synb1_txn_147ca7df03c0e038d6dd7cff,2025-03-08T17:07:48,0.00,180714.56,367376.13
synb1_txn_ff9cd8b37c3c6a70b750e107,2025-03-11T09:22:20,1328.33,0.00,366047.80
synb1_txn_852eaedd74af9119b56f4f11,2025-03-14T09:30:28,0.00,256246.84,622294.64
synb1_txn_727f5ab6c674cc44fb61b4e2,2025-03-14T14:00:16,3816.12,0.00,618478.52
synb1_txn_c46f9a047e078c52c568a867,2025-03-16T11:49:51,4839.96,0.00,613638.56
synb1_txn_2b017b87860136b2ba664b20,2025-03-17T11:50:26,0.00,188808.86,802447.42
synb1_txn_d73b14ccb97ad868f049b3dd,2025-03-18T10:39:46,130720.87,0.00,671726.55
synb1_txn_857f800cbac189670e7f77eb,2025-03-22T09:49:05,5086.72,0.00,666639.83
synb1_txn_a01063217260728fb7bcefe2,2025-03-23T16:01:48,0.00,202750.26,869390.09
synb1_txn_b0bc81d518e8fdb9844ad7fe,2025-03-24T12:25:57,5177.20,0.00,864212.89
synb1_txn_7620483b3047956fbfb4ee0a,2025-03-25T09:50:18,971.08,0.00,863241.81
synb1_txn_b04a9acfc810dbec0eb8148a,2025-03-28T09:00:00,8611.90,0.00,854629.91
synb1_txn_b7fcf68dee8b12536a2ecf5b,2025-03-28T09:00:00,5861.99,0.00,848767.92
synb1_txn_ece0554b91c62d7a0ec92372,2025-03-28T09:00:00,703.43,0.00,848064.49
