transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_45ed419a9dcd7fa694bed237,2024-01-01T09:00:00,流入,7350000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fee615071229432bbbc3380e,2024-01-05T09:00:00,流出,44000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_da4bd34f692812184799ae6b,2024-01-06T09:00:00,流出,3394.45,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0d59e68a5c2d57287cc1a073,2024-01-07T09:00:00,流出,126000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_01c100d9d514570c6437cbbb,2024-01-21T15:00:00,流入,133180.38,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a40082f06573875bdd24c331,2024-01-21T15:00:00,流入,442799.67,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9dc09707efad6bb0f3e8332e,2024-01-22T09:00:00,流出,480385.07,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d9a1f8664fe5f69b7eca3928,2024-01-24T09:00:00,流出,14140.15,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b2e589cc3fd0f7dc3b871f8b,2024-01-24T15:00:00,流入,4822.00,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_488b33a1e48acc957a0f6cd2,2024-01-25T09:00:00,流出,34974.93,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_21ea8d88d78339f265654d7e,2024-01-26T09:00:00,流出,220000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d6f62f34e4e7265f5e060f3a,2024-01-27T09:00:00,流出,3465.40,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_29268f912d989ab08971cdce,2024-01-27T15:00:00,流入,164397.95,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_98ca359601bb702fd5855ab4,2024-02-04T15:00:00,流入,14896.69,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3dbba154e56b5bae41a1fbdb,2024-02-05T09:00:00,流出,44000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5cae7ef3bb4aadbb2c570cd5,2024-02-07T09:00:00,流出,126000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_679ebf6cc46d579a3fec0615,2024-02-08T09:00:00,流出,8220.89,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0b63bb8f58d67159c167361f,2024-02-10T15:00:00,流入,62847.61,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_68462f20e00f08c4fc57cc3b,2024-02-10T15:00:00,流入,104520.96,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_90215b1fa96b61c617526197,2024-02-11T09:00:00,流出,1806.55,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_455814d52e8bb6c8d40f808b,2024-02-11T09:00:00,流出,51041.89,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6b482b0be1300b28e5d56ee5,2024-02-12T15:00:00,流入,16243.94,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_64d2b3869785cd1f6e5cce01,2024-02-13T15:00:00,流入,59868.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6d0e8ecf54816294a6f5d058,2024-02-13T15:00:00,流入,90722.36,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f873a8976c7b4afa1c8a78c4,2024-02-14T15:00:00,流入,651.85,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0f5ae2091afdc52047c8d1c0,2024-02-15T09:00:00,流出,287698.56,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4d4e7fd5f69fc0e0a5628b25,2024-02-15T15:00:00,流入,172991.44,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_689b68224117d06b98a5f8e9,2024-02-18T09:00:00,流出,47028.80,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e8e8ee09509a54e19ee9068e,2024-02-18T09:00:00,流出,13800.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f5ad216ff7a12d8f8c9ccbb9,2024-02-18T09:00:00,流出,1656.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c3f92b6f67b0477a2b8b0fbf,2024-02-18T09:00:00,流出,1989.13,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d7e24af7cc39d0fb83fb3287,2024-02-18T09:00:00,流出,325702.97,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7bfdfa80a73d28ac4867a342,2024-02-18T15:00:00,流入,119110.57,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c5daeb3617ac7f843c4934d5,2024-02-20T09:00:00,流出,1424.40,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_24e28364bc245689a8c1b53f,2024-02-20T15:00:00,流入,1118.45,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e494c671df4b1e3b3b3c3329,2024-02-20T15:00:00,流入,16075.39,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_570e30704570df4721c82cda,2024-02-20T15:00:00,流入,17372.03,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_73b25a820526dcfa713adaa6,2024-02-20T15:00:00,流入,216571.63,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_66cc536368f9cccf6d4bc4e4,2024-02-21T09:00:00,流出,339334.34,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bdc3996ae60a22a83c02914a,2024-02-23T09:00:00,流出,190000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_74ddb97f9ef6b4b337429d59,2024-02-23T09:00:00,流出,59144.07,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8f498099cf97cc50041286da,2024-02-23T15:00:00,流入,39741.72,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_79bb4222d3e82deee9f7b42d,2024-02-24T15:00:00,流入,44133.86,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ce7ada4a4f87eaea56bbd44d,2024-02-25T09:00:00,流出,8983.43,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b80a20a41ac77fb25ddc5f10,2024-02-26T09:00:00,流出,47434.22,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_205736ea9470308d45228af3,2024-02-26T09:00:00,流出,55659.55,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6f623222b36b3a2b602cccba,2024-02-26T15:00:00,流入,137355.92,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cf938a61eaceaf09e4d5d645,2024-02-27T15:00:00,流入,226000.69,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_152e1013e58c258b3942db06,2024-02-28T15:00:00,流入,77576.61,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c92deddd2ebdd25876c5fb80,2024-03-02T15:00:00,流入,123157.94,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8aadcf5268f7f85152250661,2024-03-03T09:00:00,流出,114534.72,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1b724a7e413321f8a7811b32,2024-03-04T09:00:00,流出,460994.86,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bbf51f9ddd07bff6a0ca7426,2024-03-04T15:00:00,流入,3158.52,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_466f5679a4a6383aefb61ac4,2024-03-05T09:00:00,流出,44000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ad88f23efd94bd28758f7b77,2024-03-05T09:00:00,流出,30113.43,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_643459cce5995348205bb571,2024-03-06T15:00:00,流入,30.70,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c6752b667523e560d7929b10,2024-03-06T15:00:00,流入,48602.85,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3ab27858ff2fc72058297ca0,2024-03-07T09:00:00,流出,126000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e8081becf910aef86a0a9831,2024-03-10T09:00:00,流出,36820.78,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3742d2f2cf40de83eaabee2a,2024-03-10T15:00:00,流入,30448.68,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f73413d4012e02e98098696d,2024-03-10T15:00:00,流入,15818.56,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_06e625a334d2c45a37abfb80,2024-03-10T15:00:00,流入,240675.39,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dce1e9c6b2380d2da900822a,2024-03-11T09:00:00,流出,38401.61,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fe1f6488d35bf5ad1f966661,2024-03-12T09:00:00,流出,150000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_467491bc8373f0678874843e,2024-03-13T15:00:00,流入,104157.90,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9341b8918a6cfb80e9e00e37,2024-03-13T15:00:00,流入,947.88,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f22bdb7ac17c0c2eeabb7fe2,2024-03-14T09:00:00,流出,330.95,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_181bab38c8bfc64c9b40373a,2024-03-14T15:00:00,流入,97717.32,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4dada94d35f8a9d4293ff485,2024-03-16T15:00:00,流入,18380.51,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
