calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,1694761.46,33070.48,2,1661690.98,last_posted_transaction_or_prior_closing_balance,synb1_txn_0317ecfac3f17dab9f5abc19,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,5772.18,1,1655918.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_dfb05c6e4b85a98b55ec11ed,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,6899.25,1,1649019.55,last_posted_transaction_or_prior_closing_balance,synb1_txn_ea87b9577b46717714a3f554,trusted,weekday_rule,base_calendar,True,3,2025-01-04,complete
2025-01-04,0.00,7987.53,1,1641032.02,last_posted_transaction_or_prior_closing_balance,synb1_txn_896cfe6a973b7072fc749c8e,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-06,complete
2025-01-05,0.00,0.00,0,1641032.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,1641032.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,5,2025-01-07,complete
2025-01-07,0.00,40664.61,1,1600367.41,last_posted_transaction_or_prior_closing_balance,synb1_txn_ff2f1d6dd2a1dfae636ac1c6,trusted,weekday_rule,base_calendar,True,6,2025-01-08,complete
2025-01-08,0.00,28740.72,1,1571626.69,last_posted_transaction_or_prior_closing_balance,synb1_txn_c1a45a95e98b8b70f7c89870,trusted,weekday_rule,base_calendar,True,7,2025-01-09,complete
2025-01-09,0.00,0.00,0,1571626.69,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-10,complete
2025-01-10,0.00,0.00,0,1571626.69,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2025-01-13,complete
2025-01-11,0.00,0.00,0,1571626.69,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,1571626.69,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,1571626.69,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2025-01-14,complete
2025-01-14,0.00,0.00,0,1571626.69,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-15,complete
2025-01-15,0.00,0.00,0,1571626.69,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2025-01-16,complete
2025-01-16,0.00,0.00,0,1571626.69,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-17,complete
2025-01-17,0.00,39434.19,1,1532192.50,last_posted_transaction_or_prior_closing_balance,synb1_txn_506f94dc1543b225b3b8370f,trusted,weekday_rule,base_calendar,True,14,2025-01-20,complete
2025-01-18,0.00,0.00,0,1532192.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,0.00,0,1532192.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,0.00,0.00,0,1532192.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-21,complete
2025-01-21,0.00,0.00,0,1532192.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2025-01-22,complete
2025-01-22,0.00,0.00,0,1532192.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-23,complete
2025-01-23,0.00,0.00,0,1532192.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-24,complete
2025-01-24,0.00,0.00,0,1532192.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,19,2025-01-26,complete
2025-01-25,0.00,0.00,0,1532192.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-26,0.00,0.00,0,1532192.50,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,20,2025-01-27,complete
2025-01-27,0.00,0.00,0,1532192.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2025-01-29,complete
2025-01-28,0.00,0.00,0,1532192.50,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-29,0.00,7723.04,1,1524469.46,last_posted_transaction_or_prior_closing_balance,synb1_txn_073d5dad56083697142b6d1c,trusted,historical_transaction_override,historical_transaction_override,True,22,2025-02-03,complete
2025-01-30,0.00,0.00,0,1524469.46,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-31,0.00,0.00,0,1524469.46,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-01,0.00,0.00,0,1524469.46,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-02,0.00,0.00,0,1524469.46,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-03,2128650.00,0.00,1,3653119.46,last_posted_transaction_or_prior_closing_balance,synb1_txn_3eabc7e2499fb2f4d9d6af49,trusted,historical_transaction_override,historical_transaction_override,True,23,2025-02-05,complete
2025-02-04,0.00,0.00,0,3653119.46,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-05,0.00,5996.30,1,3647123.16,last_posted_transaction_or_prior_closing_balance,synb1_txn_a6bdb2b0572226716c4243c6,trusted,weekday_rule,base_calendar,True,24,2025-02-06,complete
2025-02-06,0.00,0.00,0,3647123.16,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,25,2025-02-07,complete
2025-02-07,0.00,0.00,0,3647123.16,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,26,2025-02-08,complete
2025-02-08,0.00,0.00,0,3647123.16,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,27,2025-02-09,complete
2025-02-09,0.00,45244.07,2,3601879.09,last_posted_transaction_or_prior_closing_balance,synb1_txn_edceb51aa815ed3b8114028e,trusted,historical_transaction_override,historical_transaction_override,True,28,2025-02-10,complete
2025-02-10,0.00,0.00,0,3601879.09,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,29,2025-02-11,complete
2025-02-11,0.00,0.00,0,3601879.09,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,30,2025-02-12,complete
2025-02-12,0.00,0.00,0,3601879.09,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,31,2025-02-13,complete
2025-02-13,0.00,0.00,0,3601879.09,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,32,2025-02-14,complete
2025-02-14,0.00,0.00,0,3601879.09,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,33,2025-02-16,complete
2025-02-15,0.00,0.00,0,3601879.09,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-16,0.00,6540.99,1,3595338.10,last_posted_transaction_or_prior_closing_balance,synb1_txn_7e853e9a877c8e5b463686a9,trusted,historical_transaction_override,historical_transaction_override,True,34,2025-02-17,complete
2025-02-17,0.00,0.00,0,3595338.10,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,35,2025-02-18,complete
2025-02-18,0.00,0.00,0,3595338.10,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,36,2025-02-19,complete
2025-02-19,0.00,68756.40,2,3526581.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_286dcefe0e38a368b684f29e,trusted,weekday_rule,base_calendar,True,37,2025-02-20,complete
2025-02-20,0.00,0.00,0,3526581.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,38,2025-02-21,complete
2025-02-21,0.00,7908.13,1,3518673.57,last_posted_transaction_or_prior_closing_balance,synb1_txn_1bdc2d95e3c9d35e49c2d3ce,trusted,weekday_rule,base_calendar,True,39,2025-02-24,complete
2025-02-22,0.00,0.00,0,3518673.57,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-23,0.00,0.00,0,3518673.57,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-24,0.00,35846.11,1,3482827.46,last_posted_transaction_or_prior_closing_balance,synb1_txn_b5715be83956520d7557a5ef,trusted,weekday_rule,base_calendar,True,40,2025-02-25,complete
2025-02-25,0.00,0.00,0,3482827.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,41,2025-02-26,complete
2025-02-26,0.00,0.00,0,3482827.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,42,2025-02-27,complete
2025-02-27,0.00,0.00,0,3482827.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,43,2025-02-28,complete
2025-02-28,0.00,66483.69,3,3416343.77,last_posted_transaction_or_prior_closing_balance,synb1_txn_6964f159216e5a06912f0b61,trusted,weekday_rule,base_calendar,True,44,2025-03-01,complete
2025-03-01,0.00,7428.02,1,3408915.75,last_posted_transaction_or_prior_closing_balance,synb1_txn_5b359976da48e9e5a7c6b0f6,trusted,historical_transaction_override,historical_transaction_override,True,45,2025-03-03,complete
2025-03-02,0.00,0.00,0,3408915.75,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-03,0.00,6531.75,1,3402384.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_25de0b073400e8a26478cee1,trusted,weekday_rule,base_calendar,True,46,2025-03-04,complete
2025-03-04,0.00,0.00,0,3402384.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,47,2025-03-05,complete
2025-03-05,0.00,37525.99,1,3364858.01,last_posted_transaction_or_prior_closing_balance,synb1_txn_ab90cb159e0492f007989de8,trusted,weekday_rule,base_calendar,True,48,2025-03-06,complete
2025-03-06,0.00,0.00,0,3364858.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,49,2025-03-07,complete
2025-03-07,0.00,0.00,0,3364858.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,50,2025-03-09,complete
2025-03-08,0.00,0.00,0,3364858.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-09,185933.79,901035.74,2,2649756.06,last_posted_transaction_or_prior_closing_balance,synb1_txn_be99d2d649ea0f75635c3fe9,trusted,historical_transaction_override,historical_transaction_override,True,51,2025-03-10,complete
2025-03-10,0.00,7352.01,1,2642404.05,last_posted_transaction_or_prior_closing_balance,synb1_txn_fd181d3c1f85fe5853537b89,trusted,weekday_rule,base_calendar,True,52,2025-03-11,complete
2025-03-11,0.00,0.00,0,2642404.05,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,53,2025-03-12,complete
2025-03-12,201019.22,0.00,1,2843423.27,last_posted_transaction_or_prior_closing_balance,synb1_txn_ca251095e12390b50a11c785,trusted,weekday_rule,base_calendar,True,54,2025-03-13,complete
2025-03-13,0.00,41635.87,1,2801787.40,last_posted_transaction_or_prior_closing_balance,synb1_txn_27f239b1076542a29780ea13,trusted,weekday_rule,base_calendar,True,55,2025-03-14,complete
2025-03-14,0.00,768708.54,1,2033078.86,last_posted_transaction_or_prior_closing_balance,synb1_txn_f1097949593f2fb105b12669,trusted,weekday_rule,base_calendar,True,56,2025-03-15,complete
2025-03-15,0.00,878116.33,1,1154962.53,last_posted_transaction_or_prior_closing_balance,synb1_txn_be7cdc92f964b4e67b9142fa,trusted,historical_transaction_override,historical_transaction_override,True,57,2025-03-17,complete
