calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_4ec6defb84c9210acb332e58,trusted,weekday_rule,base_calendar,True,1,2024-01-02,complete
2024-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2024-01-03,complete
2024-01-03,0.00,169208.25,3,3430791.75,last_posted_transaction_or_prior_closing_balance,synb1_txn_93ed4ab6ff77f6c4b69a4366,trusted,weekday_rule,base_calendar,True,3,2024-01-04,complete
2024-01-04,0.00,0.00,0,3430791.75,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2024-01-05,complete
2024-01-05,0.00,0.00,0,3430791.75,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,5,2024-01-07,complete
2024-01-06,0.00,0.00,0,3430791.75,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-07,0.00,146293.32,1,3284498.43,last_posted_transaction_or_prior_closing_balance,synb1_txn_aaea944b98cead3a8a487a9d,trusted,historical_transaction_override,historical_transaction_override,True,6,2024-01-08,complete
2024-01-08,0.00,0.00,0,3284498.43,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2024-01-09,complete
2024-01-09,0.00,0.00,0,3284498.43,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2024-01-10,complete
2024-01-10,0.00,0.00,0,3284498.43,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2024-01-11,complete
2024-01-11,0.00,0.00,0,3284498.43,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2024-01-12,complete
2024-01-12,0.00,0.00,0,3284498.43,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2024-01-13,complete
2024-01-13,42157.10,0.00,1,3326655.53,last_posted_transaction_or_prior_closing_balance,synb1_txn_acfea8c73b6529f85b865c1d,trusted,historical_transaction_override,historical_transaction_override,True,12,2024-01-14,complete
2024-01-14,0.00,45111.33,1,3281544.20,last_posted_transaction_or_prior_closing_balance,synb1_txn_b1a700a41c305e4725160a76,trusted,historical_transaction_override,historical_transaction_override,True,13,2024-01-15,complete
2024-01-15,0.00,0.00,0,3281544.20,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2024-01-16,complete
2024-01-16,0.00,74111.48,1,3207432.72,last_posted_transaction_or_prior_closing_balance,synb1_txn_975d3b7a0df4bbfd69f2d813,trusted,weekday_rule,base_calendar,True,15,2024-01-17,complete
2024-01-17,0.00,0.00,0,3207432.72,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2024-01-18,complete
2024-01-18,54987.52,0.00,2,3262420.24,last_posted_transaction_or_prior_closing_balance,synb1_txn_e7cf349e3b8b594df5d45e75,trusted,weekday_rule,base_calendar,True,17,2024-01-19,complete
2024-01-19,0.00,29000.19,1,3233420.05,last_posted_transaction_or_prior_closing_balance,synb1_txn_77681ab954bc324b46a10ef0,trusted,weekday_rule,base_calendar,True,18,2024-01-22,complete
2024-01-20,0.00,0.00,0,3233420.05,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-21,0.00,0.00,0,3233420.05,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-22,0.00,0.00,0,3233420.05,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,19,2024-01-23,complete
2024-01-23,93478.80,0.00,3,3326898.85,last_posted_transaction_or_prior_closing_balance,synb1_txn_c2aef6353c8a66beedb9905c,trusted,weekday_rule,base_calendar,True,20,2024-01-24,complete
2024-01-24,0.00,0.00,0,3326898.85,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2024-01-25,complete
2024-01-25,0.00,72466.68,1,3254432.17,last_posted_transaction_or_prior_closing_balance,synb1_txn_8dbcc3d3d7681ed33bc8fa6b,trusted,weekday_rule,base_calendar,True,22,2024-01-26,complete
2024-01-26,0.00,58000.29,1,3196431.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_0c96712f90e0b048e2d68989,trusted,weekday_rule,base_calendar,True,23,2024-01-28,complete
2024-01-27,0.00,0.00,0,3196431.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-28,106309.21,51555.81,4,3251185.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_6bc092f62703439d67075f23,trusted,historical_transaction_override,historical_transaction_override,True,24,2024-01-29,complete
2024-01-29,0.00,0.00,0,3251185.28,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,25,2024-01-30,complete
2024-01-30,0.00,0.00,0,3251185.28,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,26,2024-01-31,complete
2024-01-31,0.00,0.00,0,3251185.28,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,27,2024-02-01,complete
2024-02-01,0.00,0.00,0,3251185.28,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,28,2024-02-02,complete
