calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,77649051.76,0.00,1,77649051.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_86ab7ec51747bad6c52d7a62,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,77649051.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,0.00,0,77649051.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,77649051.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,77649051.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,77649051.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,0.00,0,77649051.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,77649051.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,0.00,0,77649051.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,0.00,0.00,0,77649051.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-13,complete
2025-01-11,0.00,0.00,0,77649051.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,77649051.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,77649051.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2025-01-14,complete
2025-01-14,0.00,0.00,0,77649051.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2025-01-15,complete
2025-01-15,0.00,303971.26,1,77345080.50,last_posted_transaction_or_prior_closing_balance,synb1_txn_71e94542c0b37f0b6e565fd2,trusted,weekday_rule,base_calendar,True,11,2025-01-16,complete
2025-01-16,0.00,0.00,0,77345080.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2025-01-17,complete
2025-01-17,0.00,0.00,0,77345080.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-19,complete
2025-01-18,0.00,0.00,0,77345080.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,4268022.75,1,73077057.75,last_posted_transaction_or_prior_closing_balance,synb1_txn_91689f407fb4975c1836de8c,trusted,historical_transaction_override,historical_transaction_override,True,14,2025-01-20,complete
2025-01-20,0.00,2958450.00,1,70118607.75,last_posted_transaction_or_prior_closing_balance,synb1_txn_425cbe33073b7fbfb2078df6,trusted,weekday_rule,base_calendar,True,15,2025-01-21,complete
2025-01-21,0.00,103179.63,1,70015428.12,last_posted_transaction_or_prior_closing_balance,synb1_txn_92ac36b0e9a7aac197210e89,trusted,weekday_rule,base_calendar,True,16,2025-01-22,complete
2025-01-22,0.00,118300.80,1,69897127.32,last_posted_transaction_or_prior_closing_balance,synb1_txn_31d3e76c2b753059fabd0bbc,trusted,weekday_rule,base_calendar,True,17,2025-01-23,complete
2025-01-23,0.00,0.00,0,69897127.32,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-24,complete
2025-01-24,0.00,5353138.67,2,64543988.65,last_posted_transaction_or_prior_closing_balance,synb1_txn_a204923751b9048445efecb3,trusted,weekday_rule,base_calendar,True,19,2025-01-26,complete
2025-01-25,0.00,0.00,0,64543988.65,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-26,0.00,0.00,0,64543988.65,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,20,2025-01-27,complete
2025-01-27,0.00,0.00,0,64543988.65,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2025-01-28,complete
2025-01-28,0.00,4859606.42,1,59684382.23,last_posted_transaction_or_prior_closing_balance,synb1_txn_cd8bfdb09e5b982b212fac65,trusted,historical_transaction_override,historical_transaction_override,True,22,2025-01-29,complete
2025-01-29,0.00,5021593.30,1,54662788.93,last_posted_transaction_or_prior_closing_balance,synb1_txn_58c2ca49f72aa14fc5814722,trusted,historical_transaction_override,historical_transaction_override,True,23,2025-02-01,complete
2025-01-30,0.00,0.00,0,54662788.93,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-31,0.00,0.00,0,54662788.93,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-01,0.00,10146527.24,2,44516261.69,last_posted_transaction_or_prior_closing_balance,synb1_txn_dd26576859e9fc360a473f72,trusted,historical_transaction_override,historical_transaction_override,True,24,2025-02-02,complete
2025-02-02,0.00,115127.97,1,44401133.72,last_posted_transaction_or_prior_closing_balance,synb1_txn_cb799745ff216cd8a24a9c99,trusted,historical_transaction_override,historical_transaction_override,True,25,2025-02-05,complete
2025-02-03,0.00,0.00,0,44401133.72,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-04,0.00,0.00,0,44401133.72,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-05,0.00,0.00,0,44401133.72,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,26,2025-02-06,complete
2025-02-06,0.00,0.00,0,44401133.72,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,27,2025-02-07,complete
2025-02-07,0.00,0.00,0,44401133.72,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,28,2025-02-08,complete
2025-02-08,0.00,9108794.71,1,35292339.01,last_posted_transaction_or_prior_closing_balance,synb1_txn_d9c5e8b2c1aca69d4917abe4,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,29,2025-02-10,complete
2025-02-09,0.00,0.00,0,35292339.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-10,0.00,0.00,0,35292339.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,30,2025-02-11,complete
2025-02-11,6314985.35,0.00,2,41607324.36,last_posted_transaction_or_prior_closing_balance,synb1_txn_b60eae4973880f46b451d7ff,trusted,weekday_rule,base_calendar,True,31,2025-02-12,complete
2025-02-12,0.00,0.00,0,41607324.36,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,32,2025-02-13,complete
2025-02-13,0.00,0.00,0,41607324.36,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,33,2025-02-14,complete
2025-02-14,0.00,0.00,0,41607324.36,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,34,2025-02-15,complete
2025-02-15,3147265.70,303971.26,2,44450618.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_d9f8a11be401c0a8901b6be4,trusted,historical_transaction_override,historical_transaction_override,True,35,2025-02-16,complete
2025-02-16,0.00,16474054.72,3,27976564.08,last_posted_transaction_or_prior_closing_balance,synb1_txn_bf4c641c858394b1cb1f04c3,trusted,historical_transaction_override,historical_transaction_override,True,36,2025-02-17,complete
2025-02-17,3583726.15,0.00,1,31560290.23,last_posted_transaction_or_prior_closing_balance,synb1_txn_62cb97fcc3f0e7cc5d0a9f9d,trusted,weekday_rule,base_calendar,True,37,2025-02-18,complete
2025-02-18,0.00,0.00,0,31560290.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,38,2025-02-19,complete
2025-02-19,0.00,0.00,0,31560290.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,39,2025-02-20,complete
2025-02-20,0.00,0.00,0,31560290.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,40,2025-02-21,complete
2025-02-21,0.00,0.00,0,31560290.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,41,2025-02-24,complete
2025-02-22,0.00,0.00,0,31560290.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-23,0.00,0.00,0,31560290.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-24,0.00,0.00,0,31560290.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,42,2025-02-25,complete
2025-02-25,0.00,107110.81,1,31453179.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_84ab70127e67aef964410057,trusted,weekday_rule,base_calendar,True,43,2025-02-26,complete
2025-02-26,0.00,0.00,0,31453179.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,44,2025-02-27,complete
2025-02-27,0.00,0.00,0,31453179.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,45,2025-02-28,complete
2025-02-28,0.00,765642.30,2,30687537.12,last_posted_transaction_or_prior_closing_balance,synb1_txn_d640f09872a864e626c1ce39,trusted,weekday_rule,base_calendar,True,46,2025-03-01,complete
2025-03-01,0.00,98334.96,1,30589202.16,last_posted_transaction_or_prior_closing_balance,synb1_txn_70bde28ab996c5aa06a3e112,trusted,historical_transaction_override,historical_transaction_override,True,47,2025-03-02,complete
2025-03-02,0.00,125688.09,1,30463514.07,last_posted_transaction_or_prior_closing_balance,synb1_txn_34140a5c1723c05b48d69068,trusted,historical_transaction_override,historical_transaction_override,True,48,2025-03-03,complete
2025-03-03,0.00,0.00,0,30463514.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,49,2025-03-04,complete
2025-03-04,0.00,0.00,0,30463514.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,50,2025-03-05,complete
2025-03-05,0.00,0.00,0,30463514.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,51,2025-03-06,complete
2025-03-06,0.00,0.00,0,30463514.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,52,2025-03-07,complete
2025-03-07,0.00,0.00,0,30463514.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,53,2025-03-10,complete
2025-03-08,0.00,0.00,0,30463514.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-09,0.00,0.00,0,30463514.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-10,0.00,0.00,0,30463514.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,54,2025-03-11,complete
