transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_53d61cf1328cf99f908a61b8,2025-01-01T09:00:00,0.00,37773102.03,37773102.03
synb1_txn_c4058bbfc33c4eda66fc621d,2025-01-03T14:00:06,156293.10,0.00,37616808.93
synb1_txn_856eca13fc5d3da04ac6890b,2025-01-05T15:21:28,73747.40,0.00,37543061.53
synb1_txn_c848a5d9e1bae288f54d9771,2025-01-12T17:15:20,74002.27,0.00,37469059.26
synb1_txn_264f84776ac9eccbd703c256,2025-01-14T11:17:01,1204425.00,0.00,36264634.26
synb1_txn_251976b66057fa090274187a,2025-01-21T09:33:51,2408966.27,0.00,33855667.99
synb1_txn_e353833ad627222a08f5984f,2025-01-21T17:54:54,2232636.94,0.00,31623031.05
synb1_txn_afeaf811705e8a1b0f26cdf1,2025-01-23T11:34:49,59577.92,0.00,31563453.13
synb1_txn_c78b003abc17c0dfe8de7478,2025-01-28T09:07:55,2517367.39,0.00,29046085.74
synb1_txn_82d0c7c6914706611d08cf7e,2025-01-28T10:17:39,2306482.24,0.00,26739603.50
synb1_txn_ef35c129d8a48f2c6aa87490,2025-02-04T15:12:11,4001697.67,0.00,22737905.83
synb1_txn_78f58cd6d889a93b5e3b04fc,2025-02-06T12:33:44,3862122.15,0.00,18875783.68
synb1_txn_da06f41885cc838e063d4ce4,2025-02-09T17:32:45,61859.30,0.00,18813924.38
synb1_txn_01a004cb7f685c784bcb776b,2025-02-10T12:50:57,0.00,1683316.15,20497240.53
synb1_txn_1585375ddb31ddd64250922b,2025-02-11T10:47:28,71197.55,0.00,20426042.98
synb1_txn_56930adbc00e367c41f3e47d,2025-02-11T16:55:10,1204425.00,0.00,19221617.98
synb1_txn_4f2367f82630129df3a598ab,2025-02-12T16:18:36,74270.74,0.00,19147347.24
synb1_txn_d7a365649d2f3ef45d09877e,2025-02-14T13:27:46,0.00,1465743.58,20613090.82
synb1_txn_f124b5f6a76ecbd9e345149c,2025-02-14T15:25:20,156293.10,0.00,20456797.72
synb1_txn_cb5966f6a5a64e2cbf32473b,2025-02-15T14:27:43,0.00,1464307.99,21921105.71
synb1_txn_a6ee447e17286e84ca9e0329,2025-02-16T14:37:52,3575372.48,0.00,18345733.23
synb1_txn_6d36e93dbed1a1d0ea20e677,2025-02-17T16:22:36,0.00,1765942.68,20111675.91
synb1_txn_17c03fb0bfbccc2a3df48c23,2025-02-23T13:26:01,4641985.29,0.00,15469690.62
synb1_txn_2765058380bb06bcaf71ee68,2025-02-26T09:00:00,267931.03,0.00,15201759.59
synb1_txn_e0df49879301cb66551927c3,2025-02-26T09:00:00,32151.72,0.00,15169607.87
synb1_txn_e2046bab5dd07d0a2161d47c,2025-03-04T16:24:30,65968.16,0.00,15103639.71
synb1_txn_cc2c3ae8b5820c166d817cd3,2025-03-04T17:14:41,71110.41,0.00,15032529.30
synb1_txn_e2b721dc4e8c05317496c3d8,2025-03-11T12:36:01,156293.10,0.00,14876236.20
synb1_txn_4135b8da62b85f150246bf5c,2025-03-13T14:27:54,70249.02,0.00,14805987.18
synb1_txn_1744af3b20eb252b4e2c0191,2025-03-13T15:25:08,0.00,3498826.73,18304813.91
synb1_txn_f786cb4b91562e234ff6c63c,2025-03-14T09:37:15,4560130.94,0.00,13744682.97
synb1_txn_93ca5cf3b03846513623f934,2025-03-16T17:45:14,0.00,3913722.85,17658405.82
synb1_txn_2e8e86778556f2d18d662cc7,2025-03-17T10:18:41,0.00,3514091.79,21172497.61
synb1_txn_1569ffde2d96608570961426,2025-03-18T16:45:18,1204425.00,0.00,19968072.61
synb1_txn_66ac918949d0c3370a75cb9b,2025-03-19T09:49:14,0.00,3426807.03,23394879.64
synb1_txn_8d77c4716da958f9aa5eebc2,2025-03-26T09:00:00,70807.55,0.00,23324072.09
synb1_txn_7120a01cfd61cb57187b80c5,2025-03-26T09:00:00,334913.79,0.00,22989158.30
synb1_txn_8716063dcba7bb7d5381fd8d,2025-03-26T09:00:00,40189.65,0.00,22948968.65
synb1_txn_388280f1a9c300002c2c0b45,2025-03-27T17:13:14,4939362.42,0.00,18009606.23
synb1_txn_20bc6c2b189e80e89bcf813f,2025-03-29T13:37:06,4460646.44,0.00,13548959.79
synb1_txn_2296fea8409c868a267a804a,2025-03-30T14:02:11,4498909.71,0.00,9050050.08
synb1_txn_0946a9b8bb263571f1876fd9,2025-04-03T16:36:26,71688.38,0.00,8978361.70
synb1_txn_2cc1067e2d0d4be8c2f16654,2025-04-06T16:02:11,65936.80,0.00,8912424.90
synb1_txn_a989fbbceb0093edca64b2b3,2025-04-09T14:10:23,69702.41,0.00,8842722.49
synb1_txn_ee42ac7d997390f9d80a1424,2025-04-11T17:44:35,0.00,5075731.32,13918453.81
synb1_txn_6996efe35b3a6f4970ca44a3,2025-04-12T14:37:33,0.00,3991248.55,17909702.36
synb1_txn_0f1c2da5d078b9bf70af13a5,2025-04-13T14:15:13,156293.10,0.00,17753409.26
synb1_txn_a78e54671a7554b58eb8af34,2025-04-14T12:42:43,3725293.02,0.00,14028116.24
synb1_txn_7bf866d34aeb571f11b9038e,2025-04-15T16:36:34,3767679.92,0.00,10260436.32
synb1_txn_9ddb03e3852e1fb5a2f99a90,2025-04-17T11:13:19,3966145.66,0.00,6294290.66
synb1_txn_11ac1969c451f3a5239c84eb,2025-04-20T11:40:58,1204425.00,0.00,5089865.66
synb1_txn_99ea46992dbf4be02ef93dd9,2025-04-24T16:33:44,0.00,3686361.50,8776227.16
synb1_txn_283632ab63ddf57540fb466d,2025-04-25T12:39:45,4521136.68,0.00,4255090.48
synb1_txn_779a630ea8d05cd357317976,2025-04-27T09:00:00,163371.34,0.00,4091719.14
synb1_txn_7304b1df4cf67522a6b0fabc,2025-04-27T09:00:00,401896.55,0.00,3689822.59
synb1_txn_0d68c652010c8b97b811fa77,2025-04-27T09:00:00,48227.58,0.00,3641595.01
synb1_txn_c4aaeef0a3421809f7f39d42,2025-04-30T09:48:54,0.00,4789762.23,8431357.24
synb1_txn_e02f514e31ae3118a361da63,2025-05-03T10:53:27,3720661.87,0.00,4710695.37
synb1_txn_1eb4234d89da133bf467b507,2025-05-05T13:07:31,3913281.57,0.00,797413.80
synb1_txn_7608baec0e59890511a76eed,2025-05-06T15:39:40,0.00,3621674.77,4419088.57
synb1_txn_07dc9da0caac8adbceac0f67,2025-05-12T11:21:41,0.00,4534906.67,8953995.24
synb1_txn_6bef4b290af0c83d699af7a0,2025-05-12T13:35:27,0.00,3720303.81,12674299.05
synb1_txn_108cb60ab2615df449162990,2025-05-14T17:55:51,74414.92,0.00,12599884.13
synb1_txn_0f61ca3ced563c8b831db865,2025-05-17T11:29:10,156293.10,0.00,12443591.03
synb1_txn_45007b87b826c60281441f45,2025-05-19T10:33:18,67496.30,0.00,12376094.73
synb1_txn_c9440effcfe4b863450b9f91,2025-05-20T15:44:48,0.00,4071390.75,16447485.48
synb1_txn_c6258de061d3543ce2638cd7,2025-05-22T15:14:59,4128494.82,0.00,12318990.66
synb1_txn_0723968365550c18a3d8928a,2025-05-25T12:43:23,1204425.00,0.00,11114565.66
synb1_txn_0f7b7a41a2468f61cb27b5c4,2025-05-26T09:00:00,267931.03,0.00,10846634.63
synb1_txn_725ee0d1136d167698d0ac5a,2025-05-26T09:00:00,32151.72,0.00,10814482.91
synb1_txn_39936fedec37de1504cfc919,2025-05-26T10:07:34,65416.37,0.00,10749066.54
synb1_txn_e048c6fdcf95a15041cee76c,2025-05-28T12:37:00,3184543.44,0.00,7564523.10
synb1_txn_bc76cedbffd38bc122d8252f,2025-06-01T11:38:55,156293.10,0.00,7408230.00
synb1_txn_2122d9d3ff9d5f0d88b33661,2025-06-01T13:52:45,2971444.57,0.00,4436785.43
synb1_txn_9aa6dd5f39fe3809e563f5c2,2025-06-06T10:18:44,0.00,3360904.86,7797690.29
synb1_txn_a5ed4d6520e644ad8e4c3d22,2025-06-06T14:48:31,0.00,3478709.77,11276400.06
synb1_txn_f7aad2cf9739be9c0d57ac4a,2025-06-11T14:08:51,0.00,3604259.65,14880659.71
synb1_txn_7f2add830e3f17c5f5250fdc,2025-06-18T11:46:44,1204425.00,0.00,13676234.71
synb1_txn_2a89f732903c16b707cbc5cf,2025-06-19T10:43:08,64621.33,0.00,13611613.38
synb1_txn_b73573f5358e21cbbc4952d4,2025-06-19T11:03:31,73148.71,0.00,13538464.67
synb1_txn_38bc341f1449179a6379406e,2025-06-19T11:21:59,69557.55,0.00,13468907.12
synb1_txn_988c2a21ea3d2ecbdf417533,2025-06-19T14:18:45,0.00,3909574.12,17378481.24
synb1_txn_55148c0ef437d76fe6c00201,2025-06-22T12:30:27,3435918.88,0.00,13942562.36
synb1_txn_d593829a249e6c3df3b6b91b,2025-06-26T09:00:00,70807.55,0.00,13871754.81
synb1_txn_3a0cc8747bb357cc7355ddfc,2025-06-26T09:00:00,334913.79,0.00,13536841.02
synb1_txn_7c319bd7013e1e74b8184666,2025-06-26T09:00:00,40189.65,0.00,13496651.37
synb1_txn_4eb251a23d338bd740503634,2025-06-28T10:58:09,3629919.96,0.00,9866731.41
synb1_txn_e8936e0e53371544bd890461,2025-06-30T11:35:25,3563476.94,0.00,6303254.47
synb1_txn_e084eec9e38f9d3ffd88f399,2025-07-02T14:49:25,62619.35,0.00,6240635.12
synb1_txn_897db75fe422ee9b7e6cc8b9,2025-07-04T15:22:48,71418.01,0.00,6169217.11
synb1_txn_c9771c664ba349951041b54e,2025-07-09T12:59:29,73290.23,0.00,6095926.88
synb1_txn_fd28468888926fc5cf51ccaa,2025-07-11T10:11:45,3058128.41,0.00,3037798.47
synb1_txn_d28e307bb5612937468e9486,2025-07-12T15:54:49,0.00,4275602.73,7313401.20
synb1_txn_f5060ecbae67e8f559410cbd,2025-07-18T11:09:09,1204425.00,0.00,6108976.20
synb1_txn_2ea21f14b6513e4a2d43ba98,2025-07-18T11:09:14,0.00,3625296.94,9734273.14
synb1_txn_23391efb0d3507119a79d955,2025-07-19T14:54:06,0.00,4719662.68,14453935.82
synb1_txn_238b021f16e611be546abce1,2025-07-22T10:49:34,3417569.26,0.00,11036366.56
synb1_txn_760ab4e70101398884643e67,2025-07-27T17:11:19,0.00,4922541.25,15958907.81
synb1_txn_b80ed8a9ea5af32b591a94bd,2025-07-28T09:00:00,163371.34,0.00,15795536.47
synb1_txn_4741728db13bcb7c13aec0e0,2025-07-28T09:00:00,401896.55,0.00,15393639.92
synb1_txn_dafaefff703b89a655d52480,2025-07-28T09:00:00,48227.58,0.00,15345412.34
synb1_txn_7d91aac86a2470c27770a030,2025-07-29T13:25:21,3695613.67,0.00,11649798.67
synb1_txn_81d0c5df6ea234055632a58f,2025-07-30T14:34:32,156293.10,0.00,11493505.57
synb1_txn_9b0e1dda71f3a096ff42b80f,2025-07-31T11:28:58,3754680.10,0.00,7738825.47
synb1_txn_9657b7e3b7cd9cae573146bc,2025-08-08T13:47:01,1204425.00,0.00,6534400.47
synb1_txn_d4328e255d0dd2355bd9c1d1,2025-08-11T10:29:48,0.00,3431185.93,9965586.40
synb1_txn_6241b715feaf67cb8a911f08,2025-08-12T12:56:04,156293.10,0.00,9809293.30
synb1_txn_d61a4f232881455ac6f47845,2025-08-12T16:22:58,0.00,3824508.07,13633801.37
synb1_txn_90c974f2abf8ad6cf3c201b3,2025-08-16T09:19:28,0.00,4307406.67,17941208.04
synb1_txn_7a6e1c2ec9f0365a7d5d1563,2025-08-18T10:35:13,75650.14,0.00,17865557.90
