calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,800000.00,0.00,1,800000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_31a0e2e731cd09905b684404,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,0.00,0,800000.00,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,0.00,11009.36,1,788990.64,last_posted_transaction_or_prior_closing_balance,synb1_txn_3ba47ae8d7e6faccc2630ebc,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,58143.99,1,730846.65,last_posted_transaction_or_prior_closing_balance,synb1_txn_b9997c7c4ccbc65ce13f68ec,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,4722.73,6232.97,3,729336.41,last_posted_transaction_or_prior_closing_balance,synb1_txn_809442c9c46e83b78e446ebd,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,0.00,0,729336.41,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,0.00,24000.00,1,705336.41,last_posted_transaction_or_prior_closing_balance,synb1_txn_0f027bfb0fb9178a17892d6f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,0.00,318.28,1,705018.13,last_posted_transaction_or_prior_closing_balance,synb1_txn_086bf892f759496b77edaf4f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,0.00,0.00,0,705018.13,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,46637.75,0.00,2,751655.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_4c30d77a7cbdbc835c5f6123,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,0.00,13173.05,1,738482.83,last_posted_transaction_or_prior_closing_balance,synb1_txn_9eadeb55e530b24c27c97fd6,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
