transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_01734ce6481ff9afe14af52c,2025-01-01T09:00:00,0.00,1248606.32,1248606.32
synb1_txn_7934dd4cdad7ac0abb582f4c,2025-01-01T10:49:15,14857.62,0.00,1233748.70
synb1_txn_6768397aeeda4fca5e87a75b,2025-01-10T09:08:29,5780.90,0.00,1227967.80
synb1_txn_7d68bbc374908ea3cc69e0b2,2025-01-10T10:23:55,15365.19,0.00,1212602.61
synb1_txn_eb353b012bf99648802436af,2025-01-10T13:50:05,7290.73,0.00,1205311.88
synb1_txn_5dea1a504cfd6de2cad88a8b,2025-01-12T17:24:58,4794.94,0.00,1200516.94
synb1_txn_5b1b5b36b0ebe06b3852931f,2025-01-17T12:51:41,4373.15,0.00,1196143.79
synb1_txn_060b0565dadc0efffa0c08b2,2025-01-19T11:17:27,6120.01,0.00,1190023.78
synb1_txn_3aa85d3fd6440875b6a84795,2025-01-24T09:41:36,6224.36,0.00,1183799.42
synb1_txn_47f6f172983223e50fb76349,2025-01-26T15:36:14,18356.31,0.00,1165443.11
synb1_txn_9b4bfa83b942c5c7e3400bf3,2025-01-26T16:23:05,3805.44,0.00,1161637.67
synb1_txn_2616f040696f3cf1dcc347ae,2025-01-28T09:27:28,14960.88,0.00,1146676.79
synb1_txn_5dd512179b54c2b43474378e,2025-01-31T15:36:16,4245.81,0.00,1142430.98
synb1_txn_4866aa37878190be83f0a0d5,2025-02-02T16:09:35,6042.01,0.00,1136388.97
synb1_txn_3492a67049e1a28fa1e2088b,2025-02-05T13:18:36,6364.15,0.00,1130024.82
synb1_txn_1f4ea94524e733f3041a1adb,2025-02-05T15:27:49,0.00,63941.18,1193966.00
synb1_txn_37668e8ab1be285655be6508,2025-02-08T09:30:00,0.00,72487.21,1266453.21
synb1_txn_218a43cc965b30d0d7c3c6e8,2025-02-11T11:02:37,15362.72,0.00,1251090.49
synb1_txn_c4c7bf29d0b0adb8858fa19e,2025-02-11T14:21:40,119390.55,0.00,1131699.94
synb1_txn_a0372dee252d35c726f3fe9a,2025-02-12T16:41:08,163753.27,0.00,967946.67
synb1_txn_dff987c1b6012dde49cda71e,2025-02-13T10:25:46,0.00,74966.33,1042913.00
synb1_txn_ce24399812653519a60fa12a,2025-02-13T17:01:42,4453.01,0.00,1038459.99
synb1_txn_a1b18d8273721711350c7ec0,2025-02-14T14:09:45,113592.75,0.00,924867.24
synb1_txn_54b101f6db0cb2b5d7044a13,2025-02-15T09:20:44,16299.34,0.00,908567.90
synb1_txn_6ecccac6732080d891805161,2025-02-15T11:16:51,0.00,63225.16,971793.06
synb1_txn_720e89047e1165ce587c9207,2025-02-17T09:55:42,121176.60,0.00,850616.46
synb1_txn_5e6c73d5e3c5f6c4f03ad6e1,2025-02-17T12:49:38,4530.15,0.00,846086.31
synb1_txn_b4280794c8deca9e7ebc7389,2025-02-21T11:28:13,3628.90,0.00,842457.41
synb1_txn_728161cc231262831d630443,2025-02-22T14:25:35,7270.00,0.00,835187.41
synb1_txn_042a603e1ee4da150a360dba,2025-02-23T10:10:37,4607.28,0.00,830580.13
synb1_txn_2bca3985dfed05c5924a7945,2025-02-23T16:02:41,5739.84,0.00,824840.29
synb1_txn_c694a2768fee6e560117f691,2025-02-24T14:42:35,17644.47,0.00,807195.82
synb1_txn_7e0daaf7621f8f04aa1eebcd,2025-02-27T10:09:09,14233.47,0.00,792962.35
synb1_txn_428893d96eb3aa303f159886,2025-02-28T09:00:00,10763.64,0.00,782198.71
synb1_txn_2c5bf1ade559db2f2e162ad9,2025-02-28T09:00:00,5492.39,0.00,776706.32
synb1_txn_b048fb360563ac37e9e7de78,2025-02-28T09:00:00,659.08,0.00,776047.24
synb1_txn_2abba204670d9f9bdcf44be7,2025-03-01T10:02:14,163675.83,0.00,612371.41
synb1_txn_908f602bfd8e8f2481ab31cd,2025-03-01T14:34:54,15542.28,0.00,596829.13
synb1_txn_f6c7899c9bce7d29f675e10f,2025-03-03T11:15:52,16205.28,0.00,580623.85
synb1_txn_946283adffb549adaf40a4c4,2025-03-04T11:19:02,5378.82,0.00,575245.03
synb1_txn_3435cf55fac97360b9c05379,2025-03-04T12:14:31,7580.08,0.00,567664.95
synb1_txn_82ec6a683e2cc7b752862411,2025-03-10T16:24:48,4038.05,0.00,563626.90
synb1_txn_fcb69b83ce09f5784b72eeab,2025-03-13T10:35:53,5742.99,0.00,557883.91
synb1_txn_7afa1469dce7bcfa84c8eb02,2025-03-13T11:04:03,4124.68,0.00,553759.23
synb1_txn_612c6f4c74eb69e49d8da954,2025-03-13T13:24:54,0.00,160748.10,714507.33
synb1_txn_b9053118ba8fccb20c7eb36e,2025-03-16T12:15:26,0.00,140104.16,854611.49
synb1_txn_f10e757e32f9a95ac71ae2b7,2025-03-16T12:51:35,178256.33,0.00,676355.16
synb1_txn_54b9a6ff8020687fce6a7b5e,2025-03-17T15:06:21,4115.44,0.00,672239.72
synb1_txn_0b940287386cc1fd57fc3879,2025-03-18T13:34:34,0.00,155271.14,827510.86
synb1_txn_dbd276df49bf00714503514b,2025-03-22T10:22:28,16564.46,0.00,810946.40
synb1_txn_e0749192c2e017e35a67ebf1,2025-03-22T12:05:17,15227.98,0.00,795718.42
synb1_txn_df0e960b80334ea0a6874fa8,2025-03-22T14:37:12,182836.93,0.00,612881.49
synb1_txn_d38c785624cec2c8a1a92146,2025-03-24T10:27:19,191449.76,0.00,421431.73
synb1_txn_4f3bc434b54f9a410d70a93d,2025-03-25T16:43:57,6714.11,0.00,414717.62
synb1_txn_d8992de5ab942ce891113db0,2025-03-26T09:44:17,0.00,125426.45,540144.07
synb1_txn_895c9c6924c02f3e5dc18157,2025-03-28T09:00:00,14528.41,0.00,525615.66
synb1_txn_91319a03984962e9f08297b9,2025-03-28T09:00:00,6138.59,0.00,519477.07
synb1_txn_6f3903485bf60ca822bf1dff,2025-03-28T09:00:00,736.63,0.00,518740.44
synb1_txn_99a2e3b016878b7ac96f83b2,2025-03-30T10:23:23,4941.17,0.00,513799.27
synb1_txn_c0cb5906410f4cfde4953903,2025-04-01T11:36:09,5620.19,0.00,508179.08
synb1_txn_14d2d89dce122a467fddcd53,2025-04-03T09:25:49,0.00,220669.10,728848.18
synb1_txn_9de2019953ddf5ed67e40489,2025-04-03T14:14:14,196285.20,0.00,532562.98
synb1_txn_2db275e56f1c2336338f5583,2025-04-04T14:31:06,4868.18,0.00,527694.80
synb1_txn_21088b93e5926e61376d690f,2025-04-05T10:47:59,13383.52,0.00,514311.28
synb1_txn_57c372cd4ad425c05d6debaa,2025-04-05T12:51:35,4067.09,0.00,510244.19
synb1_txn_a0bad0d412e68446409f2d08,2025-04-05T14:58:56,0.00,258210.75,768454.94
synb1_txn_f453a5b4231288af6a1f2b49,2025-04-06T12:56:59,154837.78,0.00,613617.16
synb1_txn_d85e60ebb593a78656cf0294,2025-04-06T16:05:54,7706.22,0.00,605910.94
synb1_txn_d1abfc23c6716a14a1cd7101,2025-04-10T12:46:15,161578.72,0.00,444332.22
synb1_txn_0b8ae519d54c455f6eb53e51,2025-04-10T15:02:00,16328.42,0.00,428003.80
synb1_txn_b00d5c1bd8e9331911543ab4,2025-04-16T09:43:54,17540.93,0.00,410462.87
synb1_txn_d898489a153d323ebc8d07d1,2025-04-18T13:09:01,0.00,270212.82,680675.69
synb1_txn_9ad1fbfb56d499a159a560fa,2025-04-18T14:03:25,4628.81,0.00,676046.88
synb1_txn_802cf870664fad370b9148fb,2025-04-19T16:46:34,16287.13,0.00,659759.75
synb1_txn_b7db771064f176b42f45fd1a,2025-04-19T16:54:13,6105.08,0.00,653654.67
synb1_txn_ba0c5052992d535bea0e8785,2025-04-20T11:12:58,0.00,236253.88,889908.55
synb1_txn_a89977bc8cfd6430e06eed26,2025-04-20T11:31:24,3655.26,0.00,886253.29
synb1_txn_c511e01845ca5181d786a22c,2025-04-26T12:55:10,5984.51,0.00,880268.78
synb1_txn_82bd8dcf576ee02a966bc552,2025-04-28T09:00:00,18289.48,0.00,861979.30
synb1_txn_a23033acd90ea16dca72f15f,2025-04-28T09:00:00,6784.16,0.00,855195.14
synb1_txn_f8fe9bbb9ec79cf6f2c80999,2025-04-28T09:00:00,814.09,0.00,854381.05
synb1_txn_a4af718761ed1edc9fd5e419,2025-04-28T17:39:52,139674.91,0.00,714706.14
synb1_txn_c8344dd4626ae9c63588b627,2025-05-03T17:23:01,3913.93,0.00,710792.21
synb1_txn_eff215101bdecee098b4b091,2025-05-04T12:08:52,178721.07,0.00,532071.14
synb1_txn_7c2e3d145435b943760327ae,2025-05-11T09:31:39,15789.05,0.00,516282.09
synb1_txn_c9de24d315cab381cb725c60,2025-05-11T17:15:23,0.00,167154.37,683436.46
synb1_txn_3ff4a8a0e903c6a5d3f9506e,2025-05-14T09:11:04,7148.17,0.00,676288.29
synb1_txn_962b14e280f6c7acbd0fdd33,2025-05-14T16:51:25,0.00,193043.67,869331.96
synb1_txn_eb2790558bebe353ebc55a0d,2025-05-15T13:18:43,120873.79,0.00,748458.17
synb1_txn_22e3f9ac8633d08114184111,2025-05-16T10:52:35,6103.06,0.00,742355.11
synb1_txn_1d98c82cab172ab8c295ebbc,2025-05-17T16:54:40,5009.36,0.00,737345.75
synb1_txn_14dbacbb96bf47ba29a9273a,2025-05-18T09:43:31,5585.34,0.00,731760.41
synb1_txn_b6ad93059ea8ef21b6f5ad9f,2025-05-18T15:57:31,6579.43,0.00,725180.98
synb1_txn_917b3620f03aedec1eedd1b7,2025-05-18T17:10:08,142753.37,0.00,582427.61
synb1_txn_e2721f6cd695c331b860e504,2025-05-19T09:39:55,165916.46,0.00,416511.15
synb1_txn_432fa10f019ecbcc571c8a81,2025-05-19T14:27:04,0.00,161115.53,577626.68
synb1_txn_f0685ec37f7419f7429fef5b,2025-05-23T10:17:26,14434.76,0.00,563191.92
synb1_txn_a800e026699c22ebde427579,2025-05-23T11:02:47,3937.25,0.00,559254.67
synb1_txn_6f7df23f4ebf6f7d9b35a8a7,2025-05-23T11:16:38,15197.63,0.00,544057.04
synb1_txn_85295a800477e1410964d028,2025-05-23T14:07:26,0.00,221723.19,765780.23
synb1_txn_c15add5d3620137ef7873e54,2025-05-24T13:38:40,18118.56,0.00,747661.67
synb1_txn_6abd8a6a9e4ecd6cddccc37b,2025-05-28T09:00:00,22054.25,0.00,725607.42
synb1_txn_16bfb7d621962cd478a12968,2025-05-28T09:00:00,7430.36,0.00,718177.06
synb1_txn_830fd211284e168eb71e8af8,2025-05-28T09:00:00,891.64,0.00,717285.42
synb1_txn_ebb2bf9c2108b3091adb280e,2025-05-28T12:51:36,4358.80,0.00,712926.62
synb1_txn_ae79ab7d4d35e8c102a37a39,2025-06-05T12:22:59,6321.81,0.00,706604.81
synb1_txn_2865320ebd9fe5beea2d151c,2025-06-05T17:08:50,14929.24,0.00,691675.57
synb1_txn_0e9c19ae4e62858a07bc1a78,2025-06-08T10:00:22,4012.06,0.00,687663.51
synb1_txn_b952ec2d6fa2b8d24d3b32aa,2025-06-11T10:56:09,4526.81,0.00,683136.70
synb1_txn_cc73d863837873d77612b2fc,2025-06-11T17:27:25,0.00,208562.00,891698.70
synb1_txn_e1c9d0faceeb278bccf572dc,2025-06-12T13:58:14,4553.06,0.00,887145.64
synb1_txn_2b57c5f4cbd78649de9887e7,2025-06-13T16:17:10,169613.87,0.00,717531.77
synb1_txn_3006e5b9ba174a6a00cdcf20,2025-06-14T10:36:29,14010.59,0.00,703521.18
synb1_txn_ca59b23b653ed98b9a26c242,2025-06-14T17:21:35,0.00,173008.98,876530.16
synb1_txn_f909f63471e1117f8ea7dc64,2025-06-17T09:58:46,6542.34,0.00,869987.82
synb1_txn_9937b490038342b8bd817f4c,2025-06-17T14:12:12,0.00,200405.83,1070393.65
synb1_txn_d0d27290238bddabeadc360c,2025-06-18T14:03:44,17714.88,0.00,1052678.77
synb1_txn_dd5c6a5e3cd92d4cbd2b1460,2025-06-21T13:10:14,142891.33,0.00,909787.44
synb1_txn_7aa6b1fae49a5693ba344b21,2025-06-21T14:00:09,173147.18,0.00,736640.26
synb1_txn_d0ec7fc7c31ce224b92cb754,2025-06-21T14:28:05,122879.12,0.00,613761.14
synb1_txn_dfb4782512b85dc0597dcf2c,2025-06-22T10:15:57,0.00,225680.13,839441.27
synb1_txn_08252663e1e8305c895e7990,2025-06-27T09:48:47,6060.76,0.00,833380.51
synb1_txn_749433db1ad80caa7e727a0d,2025-06-28T10:44:31,6491.09,0.00,826889.42
synb1_txn_734cbbd567475d8fe7682893,2025-06-28T10:58:55,16885.29,0.00,810004.13
synb1_txn_40526dd20b03e95b7876a4b6,2025-06-29T11:08:16,4127.41,0.00,805876.72
synb1_txn_277899326e7d27492c0b67ba,2025-06-30T09:00:00,25819.03,0.00,780057.69
synb1_txn_1c16b9e05f3146ca0c99e085,2025-06-30T09:00:00,8076.56,0.00,771981.13
synb1_txn_0a6bbd2cac205d821da30ca6,2025-06-30T09:00:00,969.18,0.00,771011.95
synb1_txn_74f98d11e9b5c3d6b06a80a1,2025-07-04T12:10:36,3937.01,0.00,767074.94
synb1_txn_83553275ea1100a9fdb609b3,2025-07-07T17:50:11,6798.01,0.00,760276.93
synb1_txn_d2c809eb37df809d6855aaaf,2025-07-08T15:51:47,172048.37,0.00,588228.56
synb1_txn_9e1f0b23c50e32b99a2caa81,2025-07-10T09:35:03,194708.79,0.00,393519.77
synb1_txn_c519f100858f50522fbcf4c4,2025-07-10T17:05:35,15118.14,0.00,378401.63
synb1_txn_e1efa6bca1d5cb1f20ecd12b,2025-07-11T12:44:29,162217.60,0.00,216184.03
synb1_txn_46815cecccca6f3705fa0da9,2025-07-12T17:43:04,6606.22,0.00,209577.81
synb1_txn_128f891ecc3267f55bb32df0,2025-07-14T16:59:01,177807.81,0.00,31770.00
synb1_txn_c90cb8ddb9bf566ba6573efb,2025-07-15T09:45:44,0.00,197888.75,229658.75
synb1_txn_e753dc3e4c688d2488046345,2025-07-17T15:38:20,5702.44,0.00,223956.31
synb1_txn_4bb161c2cb713e25b4204b1b,2025-07-21T10:31:51,0.00,249548.22,473504.53
synb1_txn_987d417f7da61e06b8f044a2,2025-07-22T11:32:55,15464.34,0.00,458040.19
synb1_txn_4849f477d6d63d8a882945d4,2025-07-22T12:59:33,0.00,218623.53,676663.72
synb1_txn_6b88911d589fea9b17cc886f,2025-07-25T09:47:55,4110.25,0.00,672553.47
synb1_txn_092ca576aadeabbe635770b5,2025-07-25T11:54:58,4630.78,0.00,667922.69
synb1_txn_bf95a8dd16a1cdffd127cd7c,2025-07-27T16:37:14,4541.30,0.00,663381.39
synb1_txn_3e96fe0ca834e8eb68d311a0,2025-07-27T16:39:50,0.00,173938.30,837319.69
synb1_txn_f04d89164d97c1d5e2e604b4,2025-07-28T09:00:00,27703.26,0.00,809616.43
synb1_txn_bea59e6eb1841dddf0417150,2025-07-28T09:00:00,8399.98,0.00,801216.45
synb1_txn_1d5f75acbcb0d0d487a0f376,2025-07-28T09:00:00,1007.99,0.00,800208.46
synb1_txn_168db799bf417377502109cb,2025-07-29T15:23:58,6309.33,0.00,793899.13
synb1_txn_c26a5d045c4acb3ab0046711,2025-07-29T17:53:33,18109.89,0.00,775789.24
synb1_txn_b4cdd52630e5fae0cfc2561d,2025-07-30T11:47:58,14847.63,0.00,760941.61
synb1_txn_b1dfb5b950cb19cdf89a4978,2025-08-01T12:08:03,135605.89,0.00,625335.72
synb1_txn_73c47a13e7260b5499dff4ad,2025-08-05T15:01:38,0.00,200112.13,825447.85
synb1_txn_fa7ce62178d01337268a86c3,2025-08-07T09:21:06,15163.38,0.00,810284.47
synb1_txn_0c1c57953d76471c47da16b4,2025-08-07T15:31:11,158345.32,0.00,651939.15
synb1_txn_e3c88a6c53e43fa408e1aa67,2025-08-08T13:25:55,0.00,193766.45,845705.60
synb1_txn_4b9b9ebe577b8fb497279b0b,2025-08-12T11:36:58,158491.93,0.00,687213.67
synb1_txn_fbb500106c1c1021c6be4546,2025-08-13T09:25:31,6648.37,0.00,680565.30
synb1_txn_966572831f081adb008f8ccc,2025-08-17T16:33:01,5328.65,0.00,675236.65
synb1_txn_11676fa3f197849c1c4747cd,2025-08-20T09:12:47,14837.39,0.00,660399.26
synb1_txn_d270b4b735f13335b0e64dfe,2025-08-20T14:58:40,7395.74,0.00,653003.52
synb1_txn_d77ca62db11403d0a2c03f7e,2025-08-23T15:08:19,6043.24,0.00,646960.28
synb1_txn_b0d9c3d95eb957a014aafe39,2025-08-23T15:28:10,15247.26,0.00,631713.02
synb1_txn_d305faa7870bef915e31c790,2025-08-25T13:11:48,18291.97,0.00,613421.05
synb1_txn_a5f6602982bb099594c4d860,2025-08-27T12:00:39,4809.84,0.00,608611.21
synb1_txn_ea965c9113f9b95665177289,2025-08-27T13:34:09,0.00,198682.11,807293.32
synb1_txn_0e8ee4833dd5145061b4eaba,2025-08-28T09:00:00,23938.49,0.00,783354.83
synb1_txn_a2617861e066a58718ab21ce,2025-08-28T09:00:00,7753.78,0.00,775601.05
synb1_txn_dc8fbb2b5a6743aa7fc32592,2025-08-28T09:00:00,930.45,0.00,774670.60
synb1_txn_06000faa533d94bfda431af9,2025-08-28T11:21:40,4107.84,0.00,770562.76
synb1_txn_e236589c94f962657cb4be71,2025-08-28T13:12:37,170871.57,0.00,599691.19
synb1_txn_60bd412c817b274a3fb4d8b5,2025-08-28T16:39:09,3486.03,0.00,596205.16
synb1_txn_036d6f8840db4764ab0e214b,2025-08-29T13:08:16,0.00,182817.93,779023.09
synb1_txn_e074379cc5b6bfc7d618b897,2025-08-31T16:26:29,4815.63,0.00,774207.46
synb1_txn_ff1c285cd3c5f0dab5d7abc3,2025-09-03T11:51:10,6655.34,0.00,767552.12
synb1_txn_23183b3e976b36fafee7a2ff,2025-09-03T17:52:50,4864.74,0.00,762687.38
synb1_txn_d98b31d9b38d101b9a4f4729,2025-09-06T15:10:03,6751.63,0.00,755935.75
synb1_txn_e53d01d0f0716a1442c76a3f,2025-09-07T13:49:32,5244.39,0.00,750691.36
synb1_txn_9df5edf2e13d571d5fa62bce,2025-09-09T17:38:14,0.00,155845.63,906536.99
synb1_txn_628dd7c5a569ac812519b6f7,2025-09-11T13:03:04,108257.83,0.00,798279.16
synb1_txn_3966a999305b56a8f10d84fe,2025-09-11T17:41:13,18187.55,0.00,780091.61
synb1_txn_76d07e45f9d8749618df53a1,2025-09-12T09:12:04,3626.86,0.00,776464.75
synb1_txn_bf69b95949d8ae4f09928f95,2025-09-12T13:29:57,0.00,168486.83,944951.58
synb1_txn_1effe21d91bd0d3db10faaed,2025-09-12T16:05:58,133011.29,0.00,811940.29
synb1_txn_66bc35ed5270edcae8c0394d,2025-09-14T10:03:37,13579.26,0.00,798361.03
synb1_txn_6404694a2599ec05ad580887,2025-09-15T11:50:21,4656.35,0.00,793704.68
synb1_txn_d5fd87877bff7eb85cdd1b38,2025-09-17T11:12:45,18254.52,0.00,775450.16
synb1_txn_3ef772ec1a50d9aa564d64c1,2025-09-18T14:11:08,6764.64,0.00,768685.52
synb1_txn_9e48758ef4b313302882d4b9,2025-09-19T12:15:58,0.00,156500.13,925185.65
synb1_txn_fd40043c6003d7dbf46f47ac,2025-09-19T14:06:00,0.00,197583.99,1122769.64
synb1_txn_1a861bfbbc999f1368518e98,2025-09-19T16:26:58,4071.39,0.00,1118698.25
synb1_txn_1302696855af6fbc80a8b330,2025-09-21T14:01:07,96446.02,0.00,1022252.23
synb1_txn_1dc10b5d1c493e481fbd38c9,2025-09-21T17:36:43,115390.57,0.00,906861.66
synb1_txn_4ee8c58597436307bbc53314,2025-09-25T14:51:58,13518.67,0.00,893342.99
synb1_txn_429cc77d829978198faf044b,2025-09-28T09:00:00,18289.48,0.00,875053.51
synb1_txn_540cf4ee2155ea4bbe637fd3,2025-09-28T09:00:00,6784.16,0.00,868269.35
synb1_txn_1b197e8a93d409420368e3a9,2025-09-28T09:00:00,814.09,0.00,867455.26
synb1_txn_204aa20599ce7e2b01f7524d,2025-10-04T16:57:10,5026.88,0.00,862428.38
synb1_txn_f3c5c4817cb51e8e4585d47c,2025-10-05T14:21:36,14167.08,0.00,848261.30
synb1_txn_0e09419736f2b95915f68365,2025-10-06T15:14:29,4255.61,0.00,844005.69
synb1_txn_ba0823cc8863969c03876d2a,2025-10-07T13:28:59,4134.64,0.00,839871.05
synb1_txn_07dcb4e2f9f60b58ac7c54dd,2025-10-13T10:25:13,5824.38,0.00,834046.67
synb1_txn_72a653b22a5f6b721cf35260,2025-10-13T12:45:34,7731.81,0.00,826314.86
synb1_txn_9b14ad88adb72500b5e67ac8,2025-10-14T15:32:16,14813.34,0.00,811501.52
synb1_txn_f53429a8f71c55bccd5d2b67,2025-10-14T15:56:19,0.00,142400.32,953901.84
synb1_txn_c5df98992efd8c9b55a89048,2025-10-15T10:29:50,3802.21,0.00,950099.63
synb1_txn_922353b03c7e9dc415edd0aa,2025-10-15T15:29:41,0.00,123525.82,1073625.45
synb1_txn_58b84729af1191b6b98da780,2025-10-15T16:19:25,0.00,145285.60,1218911.05
synb1_txn_9d32acfdc6c0807160a99fe0,2025-10-17T10:42:11,79119.85,0.00,1139791.20
synb1_txn_43b05dad93445f01894be988,2025-10-18T10:12:46,73982.94,0.00,1065808.26
synb1_txn_55c78ba123e77aaa1db6f031,2025-10-19T10:04:00,17390.23,0.00,1048418.03
synb1_txn_10caf7a259657ba9a2ec2750,2025-10-20T16:43:36,0.00,170306.34,1218724.37
synb1_txn_9dbe5063fffa98740c1bec39,2025-10-25T14:05:41,94481.18,0.00,1124243.19
synb1_txn_0ef56e741d757f9da14e075d,2025-10-25T16:42:38,17169.35,0.00,1107073.84
synb1_txn_35b2de9c64bffee7e6fde7f7,2025-10-28T09:00:00,12644.17,0.00,1094429.67
synb1_txn_f11ab399162b31b00a7406cc,2025-10-28T09:00:00,5815.18,0.00,1088614.49
synb1_txn_eb942578a7fba4c64c6ac2d1,2025-10-28T09:00:00,697.82,0.00,1087916.67
synb1_txn_c13cf6d91bc6c27a0ae77452,2025-10-28T17:27:31,90949.55,0.00,996967.12
synb1_txn_bc9454d099c786564876a4f2,2025-10-29T09:13:17,6006.83,0.00,990960.29
synb1_txn_a12a9b835b5adca466e2d628,2025-10-31T10:12:27,5852.98,0.00,985107.31
synb1_txn_870cf4d9793e65fc730e4410,2025-11-02T17:12:59,0.00,87330.57,1072437.88
synb1_txn_7865f033a22d9248f1ec3c93,2025-11-03T16:00:15,0.00,105977.71,1178415.59
synb1_txn_f6d3b91d669758f72e2053fe,2025-11-04T12:23:27,4115.57,0.00,1174300.02
synb1_txn_5113249354195edd3cafa6cf,2025-11-05T11:45:54,0.00,107050.39,1281350.41
synb1_txn_2b43b5c97ef4b7c44a75ec9d,2025-11-06T12:45:37,5869.88,0.00,1275480.53
synb1_txn_520560cdbe0b1aa51b145c44,2025-11-06T14:28:38,51154.55,0.00,1224325.98
synb1_txn_cb200a0cad666937875c0fda,2025-11-10T13:24:51,55446.98,0.00,1168879.00
synb1_txn_d511907d175e89b3d4b5c27c,2025-11-11T10:20:15,7788.69,0.00,1161090.31
synb1_txn_3b622238e41ac8edcf87c2c6,2025-11-11T16:50:25,52703.52,0.00,1108386.79
synb1_txn_601da9bbc388a296fb3c6eac,2025-11-11T16:51:29,15342.83,0.00,1093043.96
synb1_txn_b77c99e5e82e251bc534d458,2025-11-12T12:50:50,4177.54,0.00,1088866.42
synb1_txn_cedb30dc1931851445ee7731,2025-11-13T16:54:05,5852.21,0.00,1083014.21
