transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_517dbea898f3d1e205332d90,2024-01-01T09:00:00,流入,1200000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2605e58ebf022b8d785b851a,2024-01-02T09:00:00,流出,688.69,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e676096a6348756a65ca34a8,2024-01-05T09:00:00,流出,5500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_334ee73c6632c050a4e5fd29,2024-01-06T15:00:00,流入,45028.27,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7b83dc9ca2247df00d6f2032,2024-01-07T09:00:00,流出,23000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d2517fba9a43e558eddda8e1,2024-01-07T09:00:00,流出,86743.70,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_592897584188a133f8a01798,2024-01-07T09:00:00,流出,33936.30,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_31abc0664f09c8e33ea586f3,2024-01-14T09:00:00,流出,2308.42,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6e83c6f6c10e2a4378b945c0,2024-01-16T15:00:00,流入,64532.87,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7c725c1499451ac945adb4b1,2024-01-22T09:00:00,流出,1002.89,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fc06265bdf8ded18dbd8d270,2024-01-24T15:00:00,流入,938.86,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8fa493891fff13d5e6b01bd8,2024-01-30T09:00:00,流出,70000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c56e57dc3ee4b40f543bf02a,2024-02-02T09:00:00,流出,326.19,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a597ec7583869b59778c2ba0,2024-02-02T15:00:00,流入,16616.94,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4581a3cc3277b0546afc37ca,2024-02-05T09:00:00,流出,5500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f40b18390fc302d4044202c6,2024-02-05T09:00:00,流出,31999.39,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e6c9b2b99e6321a9f0aeb8bc,2024-02-07T09:00:00,流出,2365.34,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_581710b3046c5b7535f3669f,2024-02-07T09:00:00,流出,687.30,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f9c1621aeebf1c2e017647cb,2024-02-07T09:00:00,流出,23000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_05e1c9338fffcfdaa1ad91c3,2024-02-07T15:00:00,流入,496.45,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_969e170ff40f733b062efda8,2024-02-07T15:00:00,流入,11842.15,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_57ddf1d2555ce09f2967d8b1,2024-02-09T09:00:00,流出,1848.95,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_095a88284be91d1ac44a094d,2024-02-11T09:00:00,流出,2311.93,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_46b74a58d76dc964636910c4,2024-02-15T09:00:00,流出,17569.95,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a44216a8a282724000c5f2fb,2024-02-18T09:00:00,流出,2639.20,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_77642b89d7bf3cc540621d8a,2024-02-18T09:00:00,流出,1700.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a77ca0a340721d7860da5784,2024-02-18T09:00:00,流出,204.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f139ecd4119966b56ce876b9,2024-02-18T09:00:00,流出,621.17,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8fc9f7a5486c6da6a374e0e2,2024-02-19T15:00:00,流入,20502.97,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_102a53688c1ad9138dddec03,2024-02-19T15:00:00,流入,87383.06,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eab7730c23fc924e5582fcea,2024-02-20T09:00:00,流出,1082.86,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a317cc6764ee9d4ca545e72a,2024-02-21T09:00:00,流出,8237.60,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7e95208eb3ef03ea8a13c40c,2024-02-25T09:00:00,流出,6099.51,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
