calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_c003eb36fae39bf85506618b,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,103966.22,2,3496033.78,last_posted_transaction_or_prior_closing_balance,synb1_txn_3f80bb1b4713a932ed3f7833,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,3496033.78,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,3496033.78,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,3496033.78,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,135650.92,1,3360382.86,last_posted_transaction_or_prior_closing_balance,synb1_txn_dead14b710bf85e8fd6baf34,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,3360382.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,0.00,0,3360382.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,0.00,0.00,0,3360382.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-13,complete
2025-01-11,0.00,0.00,0,3360382.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,3360382.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,3360382.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2025-01-14,complete
2025-01-14,0.00,22219.50,1,3338163.36,last_posted_transaction_or_prior_closing_balance,synb1_txn_504a9116eb062c6d5b1be9dd,trusted,weekday_rule,base_calendar,True,10,2025-01-15,complete
2025-01-15,0.00,0.00,0,3338163.36,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-16,complete
2025-01-16,0.00,44602.34,2,3293561.02,last_posted_transaction_or_prior_closing_balance,synb1_txn_2c2fdbbf48839ee9f7d78f0c,trusted,weekday_rule,base_calendar,True,12,2025-01-17,complete
2025-01-17,0.00,51221.01,2,3242340.01,last_posted_transaction_or_prior_closing_balance,synb1_txn_f713a1d26c5db014b6e0aa01,trusted,weekday_rule,base_calendar,True,13,2025-01-19,complete
2025-01-18,0.00,0.00,0,3242340.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,53142.85,49794.16,3,3245688.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_154f1dfb539feff2aaadefb8,trusted,historical_transaction_override,historical_transaction_override,True,14,2025-01-20,complete
2025-01-20,0.00,43611.19,1,3202077.51,last_posted_transaction_or_prior_closing_balance,synb1_txn_62ab977abd907815db896c11,trusted,weekday_rule,base_calendar,True,15,2025-01-21,complete
2025-01-21,66789.02,0.00,2,3268866.53,last_posted_transaction_or_prior_closing_balance,synb1_txn_6fc018d0ee42d807d79bedb1,trusted,weekday_rule,base_calendar,True,16,2025-01-22,complete
