transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_49840225c01c897a6a057ab6,2024-01-01T09:00:00,流入,6500000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1743c0b20cc9dd3b4ddae61e,2024-01-04T09:00:00,流出,2363.80,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ff52a2c8638f322226a8d136,2024-01-05T09:00:00,流出,18285.14,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d19f27f06a4b55abf6128b3a,2024-01-05T09:00:00,流出,4189.37,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_24521f314854c4aeb3add2c7,2024-01-05T09:00:00,流出,42000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ed2a0be6de9f0c2dd5a36242,2024-01-07T09:00:00,流出,155000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7029a00c95fbef7193d73db1,2024-01-09T09:00:00,流出,14922.03,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0575b2649dfe5225a6cb448a,2024-01-12T09:00:00,流出,6239.66,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e37fd11991a4b5c69ea66fb6,2024-01-12T15:00:00,流入,271925.08,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_28a10da3359f8f9b11ee93af,2024-01-16T15:00:00,流入,663301.97,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_85a514b16b8053a651122c0c,2024-01-20T15:00:00,流入,98405.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_95fc6a586512cab67c9e9a1e,2024-01-22T09:00:00,流出,310000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8f5c0d92f83493bd37bb7719,2024-01-22T15:00:00,流入,30168.04,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
