calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,6100000.00,0.00,1,6100000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_3ef27cf9c98f3eb8086f10f0,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,72269.29,1,6027730.71,last_posted_transaction_or_prior_closing_balance,synb1_txn_57a0dd3bae4067a49af7685e,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,0.00,0.00,0,6027730.71,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,0.00,0,6027730.71,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,75531.76,40203.78,3,6063058.69,last_posted_transaction_or_prior_closing_balance,synb1_txn_8d5c28f19349afea5e9eb456,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,0.00,0,6063058.69,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,0.00,120000.00,1,5943058.69,last_posted_transaction_or_prior_closing_balance,synb1_txn_88e14ec02012bdef1fde9b94,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,0.00,0.00,0,5943058.69,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,0.00,0.00,0,5943058.69,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,119219.87,28009.67,2,6034268.89,last_posted_transaction_or_prior_closing_balance,synb1_txn_26318365a0c17a8221f3181a,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,2576.52,0.00,1,6036845.41,last_posted_transaction_or_prior_closing_balance,synb1_txn_c58e321d818797d0bdd054a8,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
2024-01-12,0.00,0.00,0,6036845.41,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,9,2024-01-15,complete
2024-01-13,66833.89,0.00,1,6103679.30,last_posted_transaction_or_prior_closing_balance,synb1_txn_13f12782ff480d09b48bf39a,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-14,7600.33,0.00,1,6111279.63,last_posted_transaction_or_prior_closing_balance,synb1_txn_c21c056b2f3d3cd9b440090c,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-15,0.00,0.00,0,6111279.63,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,10,2024-01-16,complete
2024-01-16,0.00,267848.22,1,5843431.41,last_posted_transaction_or_prior_closing_balance,synb1_txn_a417c02aad8de10ae8c7f563,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,11,2024-01-17,complete
