transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_3ef27cf9c98f3eb8086f10f0,2024-01-01T09:00:00,0.00,6100000.00,6100000.00
synb1_txn_57a0dd3bae4067a49af7685e,2024-01-02T09:00:00,72269.29,0.00,6027730.71
synb1_txn_4f902d3e5a1d080785f02f10,2024-01-05T09:00:00,30000.00,0.00,5997730.71
synb1_txn_96189a88b0410b323b8fc3cf,2024-01-05T09:00:00,10203.78,0.00,5987526.93
synb1_txn_8d5c28f19349afea5e9eb456,2024-01-05T15:00:00,0.00,75531.76,6063058.69
synb1_txn_88e14ec02012bdef1fde9b94,2024-01-07T09:00:00,120000.00,0.00,5943058.69
synb1_txn_551ee3d25679c8a546cf3eb3,2024-01-10T09:00:00,28009.67,0.00,5915049.02
synb1_txn_26318365a0c17a8221f3181a,2024-01-10T15:00:00,0.00,119219.87,6034268.89
synb1_txn_c58e321d818797d0bdd054a8,2024-01-11T15:00:00,0.00,2576.52,6036845.41
synb1_txn_13f12782ff480d09b48bf39a,2024-01-13T15:00:00,0.00,66833.89,6103679.30
synb1_txn_c21c056b2f3d3cd9b440090c,2024-01-14T15:00:00,0.00,7600.33,6111279.63
synb1_txn_a417c02aad8de10ae8c7f563,2024-01-16T09:00:00,267848.22,0.00,5843431.41
synb1_txn_aff98130582fd7cc5cbfeef7,2024-01-21T09:00:00,10108.19,0.00,5833323.22
synb1_txn_4f448eb2954dab1a9242afaa,2024-01-21T15:00:00,0.00,226740.23,6060063.45
synb1_txn_c86af6d08234623fd5580ea6,2024-01-25T09:00:00,10891.81,0.00,6049171.64
synb1_txn_bed1367def6befb21a3582ea,2024-01-25T15:00:00,0.00,77157.53,6126329.17
synb1_txn_98ddca3d4f473e3f75ae7815,2024-01-27T09:00:00,1397.04,0.00,6124932.13
synb1_txn_aec1e5c88e69ada1cfa6d4a0,2024-01-28T09:00:00,300000.00,0.00,5824932.13
