transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_0d3e3da9b94b86685a801552,2025-01-01T09:00:00,流入,87828.87,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7ef782d1ed0695eeac5515b1,2025-01-04T11:59:02,流出,29835.55,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c26dd8a4216aaf026929a618,2025-01-07T12:11:38,流出,3677.43,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_83e9a7f8ee78becf86b7a896,2025-01-09T15:22:31,流出,38319.25,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_34dd37b31d85f7e7debe5993,2025-01-12T11:47:22,流出,4116.64,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_598f8629449477241a5e5c49,2025-01-13T11:05:51,流入,58193.16,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a92da8ebc4697fc895c74be3,2025-01-14T12:05:18,流出,27098.46,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7d97b09cd42dee9a0875edd1,2025-01-14T17:51:12,流出,3110.01,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a7a156be19bd3a08de8d52c2,2025-01-16T15:16:07,流入,46778.68,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_334455b4985d547add2ae6fa,2025-01-20T10:52:46,流入,56735.07,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_81e04662a1c7eccc810360f2,2025-01-20T12:57:09,流出,1262.82,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_26222a7fc686efdb0b1fdc2e,2025-01-20T17:13:08,流出,1261.74,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d25e059a3e303a8bcfc4b5df,2025-01-24T17:46:48,流出,1100.52,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3ca78b6f593301f52085e546,2025-01-25T09:15:59,流出,1126.92,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eea671708408c941c7d97efa,2025-01-26T09:33:53,流入,61637.09,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_476da99521c9ca3a6007e4cd,2025-01-29T14:52:11,流出,30325.92,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9e6f8b4f6b1ef1b24b8420e2,2025-01-30T09:01:31,流出,3114.32,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_30226fe7710b508a38f41c47,2025-02-03T10:45:40,流入,34302.40,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_754cd03c25ac9d25f58b8127,2025-02-03T15:30:10,流入,37825.65,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6909827153b2d4bc9454e0d4,2025-02-07T10:48:34,流出,1163.90,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_962ed997accdac3350b72b64,2025-02-07T12:01:25,流出,1133.16,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_96cfccf355eeb1a4daf2a722,2025-02-09T15:33:52,流出,54208.44,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
