transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_4252b285d0658233be62f081,2025-01-01T09:00:00,0.00,3137436.50,3137436.50
synb1_txn_b9eaf7da49b8e500dd22298b,2025-01-09T11:36:07,8286.15,0.00,3129150.35
synb1_txn_d0b9bc959711565d95090c71,2025-01-11T15:09:07,10019.19,0.00,3119131.16
synb1_txn_e5c8bfb6cba67e115797f7ce,2025-01-12T15:59:18,10301.95,0.00,3108829.21
synb1_txn_5849e44a7cc1e1e27d6482b6,2025-01-12T16:02:47,33730.59,0.00,3075098.62
synb1_txn_52d67a2349a62613e8f2bc33,2025-01-18T11:55:35,44123.91,0.00,3030974.71
synb1_txn_b2a822eeba48193436562ddb,2025-01-25T13:43:25,40175.61,0.00,2990799.10
synb1_txn_6f9316a4dec61a248cc21aef,2025-01-26T16:14:52,9552.71,0.00,2981246.39
synb1_txn_240c0df984c6a1ac59cd9843,2025-01-30T15:34:54,34037.49,0.00,2947208.90
synb1_txn_6c8c1b8a0591e9a7d1988ed6,2025-02-01T13:04:03,332065.78,0.00,2615143.12
synb1_txn_247bb006c271a8989d642c14,2025-02-01T13:57:49,10479.99,0.00,2604663.13
synb1_txn_2692342c69b009b4811a262a,2025-02-04T10:01:40,282061.71,0.00,2322601.42
synb1_txn_6566891620f84f2bc219acc7,2025-02-04T11:00:57,9386.27,0.00,2313215.15
synb1_txn_692f4f1e6249fc88b9ae492c,2025-02-08T17:35:37,0.00,157870.81,2471085.96
synb1_txn_1c45614ec469b09d5d5e0927,2025-02-09T16:21:56,0.00,163577.61,2634663.57
synb1_txn_1ded7e58458ce81ce95e5cc7,2025-02-12T11:23:43,38960.62,0.00,2595702.95
synb1_txn_e36424d65a18478c7b1ccb1e,2025-02-13T11:49:57,35569.97,0.00,2560132.98
synb1_txn_405485a40364cb57e09f47b0,2025-02-15T16:42:34,330609.34,0.00,2229523.64
synb1_txn_d222c8c3274740e5ff14a25e,2025-02-16T11:55:09,39146.79,0.00,2190376.85
synb1_txn_b9fa125db5b7abf98672c3a9,2025-02-18T11:13:39,10098.83,0.00,2180278.02
synb1_txn_2e0e2ec0772087f2e88ccad2,2025-02-22T10:14:27,38390.22,0.00,2141887.80
synb1_txn_8184db771a7d43af5b1e2bcd,2025-02-23T10:29:19,341613.48,0.00,1800274.32
synb1_txn_b21d8567d6a784d4a4f11703,2025-02-24T10:20:32,8194.91,0.00,1792079.41
synb1_txn_9b2a418895d2e233e679bff7,2025-02-26T11:52:59,0.00,194446.21,1986525.62
synb1_txn_4fd367344577dc590da3e98a,2025-02-26T17:49:06,0.00,163162.57,2149688.19
synb1_txn_576f26ce6546927e56f501c1,2025-02-28T09:00:00,18669.34,0.00,2131018.85
synb1_txn_c5d823af52fcf583b7bfe1f5,2025-02-28T09:00:00,13581.14,0.00,2117437.71
synb1_txn_1e7c10bbb8779ea033a3834d,2025-02-28T09:00:00,1629.73,0.00,2115807.98
synb1_txn_23e9fa26ad42444be436d771,2025-03-01T12:21:15,35040.02,0.00,2080767.96
synb1_txn_470d651c5d98c5370a27e8cf,2025-03-01T13:03:15,0.00,366918.33,2447686.29
