transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_4afba2e88bb177875f3c9a3a,2024-01-01T09:00:00,流入,3723000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9c8f30ca8b56e7b66939a247,2024-01-03T15:00:00,流入,142046.10,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fc4765af2457f61b4d098678,2024-01-05T09:00:00,流出,16500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dad15b21355b57364071e359,2024-01-07T09:00:00,流出,74000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_be809d0c5d6b06972ab5e496,2024-01-08T09:00:00,流出,178.54,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fa4f630baa4fd8a1fecbec2a,2024-01-08T15:00:00,流入,29309.59,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cc0fd52aab188990fe420c9d,2024-01-12T09:00:00,流出,869.14,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bec2f7fc6f7547932a4a4833,2024-01-13T09:00:00,流出,174367.49,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_728cdbfaebca8b0277b8ea8f,2024-01-15T09:00:00,流出,402.01,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_245ef30de27a9d02afef0dd3,2024-01-15T09:00:00,流出,348.55,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5be375d52600127c58686838,2024-01-20T09:00:00,流出,783.31,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_66078afc636e05fcad8aa20f,2024-01-20T09:00:00,流出,258563.42,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_67f90fb1f117058891814355,2024-01-20T09:00:00,流出,104836.75,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_59257f92de71a6cd1a613efa,2024-01-24T09:00:00,流出,120000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_189e32947a78f4aa57f29227,2024-01-25T09:00:00,流出,9787.59,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_afd36328a617a67d2ba44212,2024-01-26T15:00:00,流入,96184.31,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9ce2904d047047e9fec4c691,2024-02-03T09:00:00,流出,60625.14,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f17839a4c43c7f7dd27ac330,2024-02-03T09:00:00,流出,49638.26,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e169601ebb02d80d9651c769,2024-02-04T15:00:00,流入,114421.08,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eeece2dbbd2c90f60f8eeb27,2024-02-05T09:00:00,流出,16500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_432da730e6f96d81989ca7ca,2024-02-07T09:00:00,流出,74000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_43539d5f4d1d4b539671f117,2024-02-08T09:00:00,流出,1216.92,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_65a9d796dfd90e1e37bbb741,2024-02-11T09:00:00,流出,40064.63,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a4bc7d030edb42d7ba32405d,2024-02-11T15:00:00,流入,19220.91,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_31b970886752b80f16de47ca,2024-02-14T09:00:00,流出,10473.22,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dba5acfef627555248697b0e,2024-02-14T09:00:00,流出,1026.78,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
