transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_4afba2e88bb177875f3c9a3a,2024-01-01T09:00:00,0.00,3723000.00,3723000.00
synb1_txn_9c8f30ca8b56e7b66939a247,2024-01-03T15:00:00,0.00,142046.10,3865046.10
synb1_txn_fc4765af2457f61b4d098678,2024-01-05T09:00:00,16500.00,0.00,3848546.10
synb1_txn_dad15b21355b57364071e359,2024-01-07T09:00:00,74000.00,0.00,3774546.10
synb1_txn_be809d0c5d6b06972ab5e496,2024-01-08T09:00:00,178.54,0.00,3774367.56
synb1_txn_fa4f630baa4fd8a1fecbec2a,2024-01-08T15:00:00,0.00,29309.59,3803677.15
synb1_txn_cc0fd52aab188990fe420c9d,2024-01-12T09:00:00,869.14,0.00,3802808.01
synb1_txn_bec2f7fc6f7547932a4a4833,2024-01-13T09:00:00,174367.49,0.00,3628440.52
synb1_txn_728cdbfaebca8b0277b8ea8f,2024-01-15T09:00:00,402.01,0.00,3628038.51
synb1_txn_245ef30de27a9d02afef0dd3,2024-01-15T09:00:00,348.55,0.00,3627689.96
synb1_txn_5be375d52600127c58686838,2024-01-20T09:00:00,783.31,0.00,3626906.65
synb1_txn_66078afc636e05fcad8aa20f,2024-01-20T09:00:00,258563.42,0.00,3368343.23
synb1_txn_67f90fb1f117058891814355,2024-01-20T09:00:00,104836.75,0.00,3263506.48
synb1_txn_59257f92de71a6cd1a613efa,2024-01-24T09:00:00,120000.00,0.00,3143506.48
synb1_txn_189e32947a78f4aa57f29227,2024-01-25T09:00:00,9787.59,0.00,3133718.89
synb1_txn_afd36328a617a67d2ba44212,2024-01-26T15:00:00,0.00,96184.31,3229903.20
synb1_txn_9ce2904d047047e9fec4c691,2024-02-03T09:00:00,60625.14,0.00,3169278.06
synb1_txn_f17839a4c43c7f7dd27ac330,2024-02-03T09:00:00,49638.26,0.00,3119639.80
synb1_txn_e169601ebb02d80d9651c769,2024-02-04T15:00:00,0.00,114421.08,3234060.88
synb1_txn_eeece2dbbd2c90f60f8eeb27,2024-02-05T09:00:00,16500.00,0.00,3217560.88
synb1_txn_432da730e6f96d81989ca7ca,2024-02-07T09:00:00,74000.00,0.00,3143560.88
synb1_txn_43539d5f4d1d4b539671f117,2024-02-08T09:00:00,1216.92,0.00,3142343.96
synb1_txn_65a9d796dfd90e1e37bbb741,2024-02-11T09:00:00,40064.63,0.00,3102279.33
synb1_txn_a4bc7d030edb42d7ba32405d,2024-02-11T15:00:00,0.00,19220.91,3121500.24
synb1_txn_31b970886752b80f16de47ca,2024-02-14T09:00:00,10473.22,0.00,3111027.02
synb1_txn_dba5acfef627555248697b0e,2024-02-14T09:00:00,1026.78,0.00,3110000.24
synb1_txn_9f866afb0cc2d8100f249cf6,2024-02-14T15:00:00,0.00,127954.63,3237954.87
synb1_txn_2a9b2ddba7ac44fd775e438e,2024-02-18T09:00:00,6370.00,0.00,3231584.87
synb1_txn_b2217dec33e81a136274c77e,2024-02-18T09:00:00,764.40,0.00,3230820.47
synb1_txn_b7881fe7be223b69ac6b6525,2024-02-18T09:00:00,4349.90,0.00,3226470.57
synb1_txn_7cc684084113a078d7c96ab0,2024-02-18T09:00:00,19131.90,0.00,3207338.67
synb1_txn_1b088626a230a23891caf9d2,2024-02-20T09:00:00,53482.73,0.00,3153855.94
synb1_txn_3da9ffbe10f753d7a9595c41,2024-02-20T15:00:00,0.00,127084.29,3280940.23
synb1_txn_ab9e82eb261a941e55b6190c,2024-02-22T09:00:00,69064.23,0.00,3211876.00
synb1_txn_7b89cc1ff4a413d0d9bb6872,2024-02-23T09:00:00,90000.00,0.00,3121876.00
synb1_txn_49a8097b01b8b537a1229398,2024-02-25T15:00:00,0.00,106233.09,3228109.09
synb1_txn_2923007f905e11c11cd572a6,2024-02-28T09:00:00,59377.17,0.00,3168731.92
synb1_txn_9307d49a211253cf4c7ddbf1,2024-03-05T09:00:00,16500.00,0.00,3152231.92
synb1_txn_f68b59d9b88d94f44b3c76d0,2024-03-05T15:00:00,0.00,21699.31,3173931.23
synb1_txn_27386c89a813bd2e7860d187,2024-03-05T15:00:00,0.00,689.59,3174620.82
synb1_txn_2cd6b409c8016841243b5800,2024-03-06T09:00:00,83849.80,0.00,3090771.02
synb1_txn_a4be8ebd5dc0f463b5167da2,2024-03-06T15:00:00,0.00,111614.89,3202385.91
synb1_txn_c6aebb4aec8ca1bb707ab896,2024-03-07T09:00:00,74000.00,0.00,3128385.91
synb1_txn_73469b10e336cf43ea2a2512,2024-03-08T09:00:00,1810.38,0.00,3126575.53
synb1_txn_4a56b84ce1f283c52e04d419,2024-03-09T09:00:00,1738.14,0.00,3124837.39
synb1_txn_bf091073a1c7bd94e915c959,2024-03-10T09:00:00,6078.98,0.00,3118758.41
synb1_txn_63274726dcfa6a1d64f1827a,2024-03-14T09:00:00,167284.15,0.00,2951474.26
synb1_txn_c7a7b5eadc7e56daec1e3386,2024-03-14T15:00:00,0.00,30776.32,2982250.58
synb1_txn_cafc05ee6e7586b6a5b46347,2024-03-16T09:00:00,1465.01,0.00,2980785.57
synb1_txn_4ae99e162ad7e044279fe6b2,2024-03-17T15:00:00,0.00,12358.24,2993143.81
synb1_txn_b8f425164c1b8725f79825c9,2024-03-18T09:00:00,2987.00,0.00,2990156.81
synb1_txn_5d8c00b7580d9f3263d92852,2024-03-18T09:00:00,358.44,0.00,2989798.37
synb1_txn_325ae8c62a787b7cccf485e4,2024-03-19T09:00:00,39886.99,0.00,2949911.38
synb1_txn_5f48888ddfd2d8867149ea0b,2024-03-20T15:00:00,0.00,75544.05,3025455.43
synb1_txn_33c9fe0c6e28ecc5ff36512a,2024-03-21T09:00:00,17941.33,0.00,3007514.10
