calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,1434950.21,0.00,1,1434950.21,last_posted_transaction_or_prior_closing_balance,synb1_txn_e4527853d0e07ce70c008ed5,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,1434950.21,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,723554.31,2,711395.90,last_posted_transaction_or_prior_closing_balance,synb1_txn_a2e7dddbacb2ab9d461b5d98,trusted,weekday_rule,base_calendar,True,3,2025-01-04,complete
2025-01-04,0.00,548885.90,1,162510.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_62ec14b41873dac125235922,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-06,complete
2025-01-05,0.00,0.00,0,162510.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,864844.68,0.00,1,1027354.68,last_posted_transaction_or_prior_closing_balance,synb1_txn_0a9c1f952247d826ae1e0777,trusted,weekday_rule,base_calendar,True,5,2025-01-07,complete
2025-01-07,813676.86,28418.52,2,1812613.02,last_posted_transaction_or_prior_closing_balance,synb1_txn_312d9e75e2ee46c174c080d5,trusted,weekday_rule,base_calendar,True,6,2025-01-08,complete
2025-01-08,0.00,0.00,0,1812613.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-09,complete
2025-01-09,0.00,0.00,0,1812613.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-10,complete
2025-01-10,697234.59,26807.13,2,2483040.48,last_posted_transaction_or_prior_closing_balance,synb1_txn_1ef2a8c7f99f8eb9f520d999,trusted,weekday_rule,base_calendar,True,9,2025-01-13,complete
2025-01-11,0.00,0.00,0,2483040.48,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,2483040.48,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,2483040.48,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2025-01-14,complete
