transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_e4527853d0e07ce70c008ed5,2025-01-01T09:00:00,0.00,1434950.21,1434950.21
synb1_txn_ca72e1346ac468c39cc09c8f,2025-01-03T11:06:39,700142.57,0.00,734807.64
synb1_txn_a2e7dddbacb2ab9d461b5d98,2025-01-03T16:19:51,23411.74,0.00,711395.90
synb1_txn_62ec14b41873dac125235922,2025-01-04T17:44:12,548885.90,0.00,162510.00
synb1_txn_0a9c1f952247d826ae1e0777,2025-01-06T13:11:57,0.00,864844.68,1027354.68
synb1_txn_23294bdf4175abcb9cc7dc07,2025-01-07T09:48:15,28418.52,0.00,998936.16
synb1_txn_312d9e75e2ee46c174c080d5,2025-01-07T12:17:26,0.00,813676.86,1812613.02
synb1_txn_d145cebfedf448c4e5839934,2025-01-10T11:20:06,0.00,697234.59,2509847.61
synb1_txn_1ef2a8c7f99f8eb9f520d999,2025-01-10T16:37:19,26807.13,0.00,2483040.48
synb1_txn_bc44e77928370951f419cd23,2025-01-14T14:04:19,34529.79,0.00,2448510.69
synb1_txn_5b5557c76436d5f7fc024571,2025-01-16T14:34:39,25671.43,0.00,2422839.26
synb1_txn_39f26c8e40cf7d204b7bd4e6,2025-01-19T10:44:27,73246.65,0.00,2349592.61
synb1_txn_2351f56bafbbc40704e14696,2025-01-19T16:19:07,30891.26,0.00,2318701.35
synb1_txn_57765e2678eee06210dba94a,2025-01-21T15:17:02,36168.43,0.00,2282532.92
synb1_txn_78f511f4409d1e3f2caf6972,2025-01-24T17:36:17,78002.70,0.00,2204530.22
synb1_txn_d64606159e5cee1785fa2c43,2025-01-25T15:32:17,103374.13,0.00,2101156.09
synb1_txn_b2d519b82b2a101fa34b7761,2025-01-26T09:48:19,0.00,874443.87,2975599.96
synb1_txn_882137c7f5f3bf9c43bd6fc3,2025-01-26T15:18:44,70396.52,0.00,2905203.44
synb1_txn_fc6e0f844602df77bce3eca1,2025-01-27T13:20:44,21615.70,0.00,2883587.74
synb1_txn_95d5c759f2c2ec94cd629a42,2025-01-28T10:49:58,667810.21,0.00,2215777.53
synb1_txn_795cccf4ecb4abeaa98a03e4,2025-01-29T16:32:07,643002.46,0.00,1572775.07
