transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_8f306f97e5839a05f7b80cff,2024-01-01T09:00:00,流入,3072000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ddb17dc63e6a0d321c712855,2024-01-04T15:00:00,流入,19581.92,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a4e1e9a16a01e65f71d15e3b,2024-01-05T09:00:00,流出,19500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5c3bd0a5a30e9733bc527c04,2024-01-07T09:00:00,流出,82000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_de4ec99144197a85f6ca0bbf,2024-01-07T09:00:00,流出,38455.63,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e2088f442614715f93c9fd85,2024-01-07T15:00:00,流入,6753.42,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1ffb06f65d9d76f5079f78a2,2024-01-08T09:00:00,流出,80.66,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5b0b2ad6124230a46cb5e079,2024-01-08T09:00:00,流出,29575.09,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_979c1ef043d2cc3c027efcff,2024-01-08T15:00:00,流入,27243.64,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_46b43e63adab8db0f0559165,2024-01-09T09:00:00,流出,43377.56,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cf5ed48cf9c86f6b7ca6e753,2024-01-13T09:00:00,流出,2897.27,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7fb32f5c6fbcff6f9ac7c8da,2024-01-14T09:00:00,流出,46293.99,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_442677a1fe7001eeafee3122,2024-01-14T09:00:00,流出,128800.49,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a76e1722a788d5492941105f,2024-01-15T09:00:00,流出,5193.65,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9244c3bd24fa930e2449815a,2024-01-16T15:00:00,流入,249681.82,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1f6481c67ed817b99af9aeac,2024-01-18T15:00:00,流入,21549.69,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cbfd73cb9141777dec5be0ca,2024-01-20T15:00:00,流入,1293.96,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_953605766d183993e187f1d0,2024-01-23T09:00:00,流出,18876.44,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c269c7594250429dc2ce2f0d,2024-01-25T09:00:00,流出,100000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_25bb81f07041dc2637c5194a,2024-01-25T09:00:00,流出,4328.42,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7b9f92ebcbc84dfd8cf50ce8,2024-01-28T15:00:00,流入,16237.55,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d17df51e35ad15e6e8fc5de8,2024-02-02T09:00:00,流出,1597.19,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_75b6a19d69b3b45f25411ee7,2024-02-05T09:00:00,流出,19500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
