transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_128013187f69bd73d9c2fb13,2025-01-01T09:00:00,流入,1984442.98,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_90a2c30dab22c8fb9f92bdcc,2025-01-02T10:37:00,流出,37296.28,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aaafa3e1a30bab4ca0b52213,2025-01-02T13:40:44,流出,4256.36,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4076881dd9e1e234c5250f82,2025-01-02T17:54:03,流出,4571.27,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_937369dbf6f5e767d9d3ab20,2025-01-05T09:37:15,流出,3971.54,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d2ae645bd770813209d4fba8,2025-01-14T17:25:40,流出,13376.21,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a1da9d35d4c52891b01a9262,2025-01-17T15:09:24,流出,13511.60,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_53301b7f240d4ecd1b6ad53e,2025-01-17T17:17:02,流出,30902.84,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bca4317fe19ef2336ba1d1f3,2025-01-25T15:50:14,流出,13890.69,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_18c5c7d7a235be28c1ecafd2,2025-01-26T09:23:34,流出,33160.25,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a39509b2c118b04510393664,2025-01-27T13:13:28,流出,35970.63,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_48a61d2d314525876fb0ec1b,2025-01-30T17:01:13,流出,3955.09,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_db05c1f06441431c0ba549f8,2025-01-31T16:00:27,流出,14153.50,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_615a2b84645813ec0f9a4f56,2025-02-02T14:02:58,流出,30213.86,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_08233ba1faa5237b4d93a771,2025-02-03T13:34:21,流出,38893.45,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_749a4368ff8b780175e94edd,2025-02-05T12:55:10,流出,3822.79,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d0f3fac54540e54fc6fcf7d1,2025-02-05T17:23:34,流入,170183.98,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0f2df705d511a96b6d21a281,2025-02-09T11:23:46,流入,166057.56,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5d005950b67dc28e3ae53483,2025-02-10T10:03:46,流出,320085.21,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d9f1a83e84a9ba2de778d8fb,2025-02-14T15:17:10,流出,325208.58,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f9cb66b43327804b62c30740,2025-02-14T17:02:09,流出,13446.54,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_00d8242e64f2a4f8d564ee88,2025-02-14T17:39:53,流出,334268.18,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a80e0f99f1fcb2c29020325c,2025-02-15T10:18:06,流出,14934.88,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4482502fba83ee1b0d7d242c,2025-02-15T16:24:29,流出,3937.78,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7b8537e5059c528f6dccd09d,2025-02-16T16:19:45,流出,29647.55,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_06f3382c258f1dd80c881a59,2025-02-18T10:22:31,流入,192168.13,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6002a48c83c227f1f32874a4,2025-02-22T14:10:41,流出,38575.14,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a3652670b28b4039252c85d8,2025-02-22T16:05:07,流出,15259.28,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1f463635e9eb579cee713ef4,2025-02-25T09:44:43,流出,5014.29,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
