transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_ed766f9a996edf6eca68c597,2024-01-01T09:00:00,流入,1524400.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d7464480fb5a1ec55f26606e,2024-01-02T09:00:00,流出,2214.56,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8fa43e87f16c08d794378e2b,2024-01-02T09:00:00,流出,6875.86,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d9fc34181cc1e35e555751a3,2024-01-05T09:00:00,流出,6500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7730ef9047a71987482fec82,2024-01-07T09:00:00,流出,28000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_228d91585c876e760abe1c0a,2024-01-08T15:00:00,流入,106390.35,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_29b6d4e035e76cbc3fc5b6b9,2024-01-11T09:00:00,流出,291.44,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_58a3b48de39fbaf86c92223d,2024-01-11T09:00:00,流出,53415.97,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_324704294159f206e46a0843,2024-01-15T15:00:00,流入,22496.00,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_207b883d1ba5d126185ca020,2024-01-16T15:00:00,流入,135361.65,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a996dec9a33e7e7b6d399a71,2024-01-24T09:00:00,流出,60000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_72c1d8a9e752bf044c2555d8,2024-01-24T09:00:00,流出,91.74,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7b53d47dd286025ccc06e4fc,2024-01-25T09:00:00,流出,197952.17,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0fb53fd5044b83709bba9b4d,2024-01-28T09:00:00,流出,2402.26,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_860b535a525adda63c2c2fce,2024-02-02T09:00:00,流出,49231.27,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5531a73f05f73b985cc38708,2024-02-02T09:00:00,流出,35755.89,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_859cfe3ec06d6f30a7117640,2024-02-03T15:00:00,流入,110532.12,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_32023eaba9e2fcd5ae7cba80,2024-02-05T09:00:00,流出,6500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cddba3d03e8cbf013b106e04,2024-02-06T09:00:00,流出,36743.94,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_09a42247f90338a5a66d0d17,2024-02-06T15:00:00,流入,1578.97,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1ea788b3d07386e3bdc3ccb3,2024-02-07T09:00:00,流出,28000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c8fe5b58baacde59a0dfe21c,2024-02-07T09:00:00,流出,3869.28,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5da2cbd29779885fbaf3ad88,2024-02-09T09:00:00,流出,2246.11,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c7d2842c691098ee6d7ee024,2024-02-11T09:00:00,流出,1664.32,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_95a07781752f26b0006dc3d0,2024-02-12T15:00:00,流入,2537.84,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_34b8e35eebdf08aa6ff36fe3,2024-02-12T15:00:00,流入,43069.95,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_285cd4967122d01089c6f453,2024-02-13T15:00:00,流入,9269.95,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a6f30e3a7fd91a1fa6db299c,2024-02-14T15:00:00,流入,1230.17,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_57d9e3da4a3409e72f14e3fa,2024-02-15T15:00:00,流入,41869.15,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a4e541be59014611127fe4ed,2024-02-16T09:00:00,流出,1940.40,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d88753140e1d935750434d20,2024-02-16T09:00:00,流出,17657.20,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5fdee1a2d72cedb96ddda13c,2024-02-17T09:00:00,流出,1317.01,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_25c98b51a5569d04ce8865e3,2024-02-18T09:00:00,流出,18415.45,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_951a98c427b4d674d7308df2,2024-02-18T09:00:00,流出,4556.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_23264b198a2810a8e7a40715,2024-02-18T09:00:00,流出,546.72,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a6406d502a621af98b816a96,2024-02-18T09:00:00,流出,1438.18,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_af74d03fc0342c572f9c39b7,2024-02-18T15:00:00,流入,9936.06,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_71a691f686fc190b48d5f465,2024-02-18T15:00:00,流入,37236.53,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5273536abb50b1f53ec3ae11,2024-02-21T09:00:00,流出,50000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b4e6ba433a10ff67f24a5041,2024-02-21T09:00:00,流出,1433.13,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a47fc75f5e6dadffc50902df,2024-02-21T09:00:00,流出,9994.69,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a14dd8177107b765523b10d0,2024-02-21T15:00:00,流入,38296.61,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c2647419086da46b8cbac5a3,2024-02-26T09:00:00,流出,1221.59,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_42cb38062007e2a9d3a37469,2024-02-27T09:00:00,流出,18035.17,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f6473d1b65cba83564bd8760,2024-02-27T15:00:00,流入,25942.14,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
