calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_e189431c7ce90dcda4bf1d50,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,100921.17,2,3499078.83,last_posted_transaction_or_prior_closing_balance,synb1_txn_b573ef8b8b0dc8e756c189ea,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,3499078.83,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,3499078.83,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,3499078.83,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,157554.28,1,3341524.55,last_posted_transaction_or_prior_closing_balance,synb1_txn_0ef52ef3684b46135a581df3,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,3341524.55,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,0.00,0,3341524.55,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,74384.78,29285.20,2,3386624.13,last_posted_transaction_or_prior_closing_balance,synb1_txn_e2b78b0b183a525a14e1a61c,trusted,weekday_rule,base_calendar,True,8,2025-01-13,complete
2025-01-11,0.00,0.00,0,3386624.13,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,3386624.13,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,20918.01,1,3365706.12,last_posted_transaction_or_prior_closing_balance,synb1_txn_3f3571d737a32b1c38ed7b97,trusted,weekday_rule,base_calendar,True,9,2025-01-14,complete
2025-01-14,37192.40,0.00,1,3402898.52,last_posted_transaction_or_prior_closing_balance,synb1_txn_f1ef578350695ff50231606c,trusted,weekday_rule,base_calendar,True,10,2025-01-15,complete
2025-01-15,0.00,0.00,0,3402898.52,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-16,complete
2025-01-16,26778.52,0.00,1,3429677.04,last_posted_transaction_or_prior_closing_balance,synb1_txn_b2104aa7ddf9259468a20a1a,trusted,weekday_rule,base_calendar,True,12,2025-01-17,complete
2025-01-17,0.00,0.00,0,3429677.04,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-18,complete
2025-01-18,38458.51,0.00,1,3468135.55,last_posted_transaction_or_prior_closing_balance,synb1_txn_efcacb5ccc6bc289ae30ea2f,trusted,historical_transaction_override,historical_transaction_override,True,14,2025-01-20,complete
2025-01-19,0.00,0.00,0,3468135.55,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,101375.84,0.00,3,3569511.39,last_posted_transaction_or_prior_closing_balance,synb1_txn_6be9c1c3210da78d743c5a55,trusted,weekday_rule,base_calendar,True,15,2025-01-21,complete
2025-01-21,56107.37,0.00,1,3625618.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_f7f5202ceb7e8c42c7131e52,trusted,weekday_rule,base_calendar,True,16,2025-01-22,complete
2025-01-22,28487.79,26079.58,2,3628026.97,last_posted_transaction_or_prior_closing_balance,synb1_txn_79cca5d1c86b6aaf596de72c,trusted,weekday_rule,base_calendar,True,17,2025-01-23,complete
