calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,104066.09,1985.66,2,102080.43,last_posted_transaction_or_prior_closing_balance,synb1_txn_49fe30dc54fe1da791517713,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,43141.62,1,58938.81,last_posted_transaction_or_prior_closing_balance,synb1_txn_5607131806efd3437024bdb7,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,0.00,0,58938.81,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,3,2025-01-04,complete
2025-01-04,79598.84,0.00,1,138537.65,last_posted_transaction_or_prior_closing_balance,synb1_txn_f581e3d48e52b393a53d5ccb,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-05,complete
2025-01-05,0.00,1601.06,1,136936.59,last_posted_transaction_or_prior_closing_balance,synb1_txn_1426989676f148d4a2ffa464,trusted,historical_transaction_override,historical_transaction_override,True,5,2025-01-06,complete
2025-01-06,0.00,7699.47,2,129237.12,last_posted_transaction_or_prior_closing_balance,synb1_txn_8a621c9c29493a580b5d9e24,trusted,weekday_rule,base_calendar,True,6,2025-01-07,complete
2025-01-07,0.00,0.00,0,129237.12,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-08,complete
2025-01-08,68304.20,0.00,1,197541.32,last_posted_transaction_or_prior_closing_balance,synb1_txn_daa95d2fc0ab2efbe87ff98c,trusted,weekday_rule,base_calendar,True,8,2025-01-09,complete
2025-01-09,0.00,0.00,0,197541.32,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2025-01-10,complete
2025-01-10,62824.00,0.00,1,260365.32,last_posted_transaction_or_prior_closing_balance,synb1_txn_87c362246dd848563fd60fff,trusted,weekday_rule,base_calendar,True,10,2025-01-11,complete
2025-01-11,0.00,1845.08,1,258520.24,last_posted_transaction_or_prior_closing_balance,synb1_txn_4816f59a0673b05d65c71cd6,trusted,historical_transaction_override,historical_transaction_override,True,11,2025-01-13,complete
2025-01-12,0.00,0.00,0,258520.24,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,258520.24,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2025-01-14,complete
2025-01-14,0.00,6254.46,1,252265.78,last_posted_transaction_or_prior_closing_balance,synb1_txn_97d1808771dd82ebd247fd31,trusted,weekday_rule,base_calendar,True,13,2025-01-15,complete
2025-01-15,0.00,0.00,0,252265.78,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2025-01-16,complete
2025-01-16,0.00,0.00,0,252265.78,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-17,complete
2025-01-17,0.00,7272.66,1,244993.12,last_posted_transaction_or_prior_closing_balance,synb1_txn_e7f5f4ea6cb96996b7287c1f,trusted,weekday_rule,base_calendar,True,16,2025-01-18,complete
2025-01-18,66819.49,0.00,1,311812.61,last_posted_transaction_or_prior_closing_balance,synb1_txn_21d50426452839b73e85e497,trusted,historical_transaction_override,historical_transaction_override,True,17,2025-01-20,complete
2025-01-19,0.00,0.00,0,311812.61,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,0.00,0.00,0,311812.61,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-21,complete
2025-01-21,0.00,80768.72,2,231043.89,last_posted_transaction_or_prior_closing_balance,synb1_txn_bce15772a56b244be362a776,trusted,weekday_rule,base_calendar,True,19,2025-01-22,complete
2025-01-22,0.00,0.00,0,231043.89,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,20,2025-01-23,complete
2025-01-23,0.00,0.00,0,231043.89,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2025-01-24,complete
