transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_9e0e84dd8f7b3228109f69cd,2024-01-01T09:00:00,流入,3600000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b5e7be9fbbc4566b77f2eabd,2024-01-02T15:00:00,流入,24868.50,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_faac65e25e53257791883d65,2024-01-03T09:00:00,流出,60000.00,投用设备购买款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ec66d2145d628563bd433daf,2024-01-03T09:00:00,流出,28144.28,固定场地租赁付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d8cba740f1454bbe74247645,2024-01-06T15:00:00,流入,68388.38,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_00a40b2990a481202caa1587,2024-01-07T09:00:00,流出,134771.24,持续服务班组工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_78dab4982f7ffbaf99dd8adf,2024-01-10T09:00:00,流出,227829.06,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e25d6072f952df3a66c85387,2024-01-11T15:00:00,流入,52662.70,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_385571b68b895ce670d83031,2024-01-14T09:00:00,流出,212640.46,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_48284452f741886e78fa36b8,2024-01-14T15:00:00,流入,133932.75,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b973ed227cb96631ba8df6f2,2024-01-15T15:00:00,流入,21942.80,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_943e10b1851fe60c5e18853a,2024-01-16T15:00:00,流入,93256.88,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8508b9f758d441fb9a6a26a3,2024-01-18T09:00:00,流出,273394.89,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_69901d7efd69ca31d481274d,2024-01-18T15:00:00,流入,117860.82,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_af4374c41d1a6c24cbe108f6,2024-01-20T15:00:00,流入,93256.88,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a8af18ddd549c006029ec19e,2024-01-22T15:00:00,流入,60503.24,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_38eea79e48236b942e41482b,2024-01-25T09:00:00,流出,47776.87,合规、技术支持及外部服务费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c818d2631a9900ab8be55899,2024-01-26T15:00:00,流入,116684.83,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1fe1e1333204aeee46129371,2024-01-27T15:00:00,流入,44588.45,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3dddcd3195d67e424b4da12d,2024-01-28T15:00:00,流入,29842.20,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1a06b3c9a4090cfb4e99a2c1,2024-01-31T15:00:00,流入,113948.27,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f9f6356462c49caf28488bb,2024-02-01T15:00:00,流入,44763.30,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c2539fe3228e463095b498fa,2024-02-03T09:00:00,流出,28144.28,固定场地租赁付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ac3406ebec0a851b03a2fe7e,2024-02-07T09:00:00,流出,134771.24,持续服务班组工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ac7ae9aa625c264aed2e60ee,2024-02-13T15:00:00,流入,92783.98,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c0ae08b245a7ff76a5c53596,2024-02-14T15:00:00,流入,83921.56,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2146a400232cc7580219c5d1,2024-02-15T09:00:00,流出,217263.08,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_502ef78a852c46678c26ac4c,2024-02-16T15:00:00,流入,54573.99,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_353a02da27ee7e3f61b91274,2024-02-16T15:00:00,流入,54962.26,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_422b50003c2b84e16b0614aa,2024-02-17T15:00:00,流入,21547.42,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4673232efc7d093c998ab2b3,2024-02-17T15:00:00,流入,86598.40,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e5dfc2e2d5e65fab64289715,2024-02-18T15:00:00,流入,75529.42,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_560d0c6483b816d7c6c6ba21,2024-02-20T15:00:00,流入,98233.19,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_88d2db11b267949021a4f819,2024-02-20T15:00:00,流入,84557.34,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1513746202bcf814c2dd9bd9,2024-02-21T15:00:00,流入,58178.07,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dc57c36851149b4bf124010c,2024-02-22T15:00:00,流入,56841.32,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c7aa0992af2c62f655c8f43f,2024-02-25T09:00:00,流出,47776.87,合规、技术支持及外部服务费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8ca672d2ff5276cbb5d04356,2024-02-25T09:00:00,流出,237954.81,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_28467f4ed102dfad75f64435,2024-02-25T15:00:00,流入,48344.17,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ea67ef620956759c278613c6,2024-02-26T09:00:00,流出,258646.52,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
