transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_8bb8d80451ddd74c3162a567,2024-01-01T09:00:00,0.00,1000000.00,1000000.00
synb1_txn_72cd10fc0ef9aa32b03535da,2024-01-02T09:00:00,6319.22,0.00,993680.78
synb1_txn_81688dcaa98cd640ad8e0e5b,2024-01-03T09:00:00,1449.18,0.00,992231.60
synb1_txn_21869a1f287f29d2839bf188,2024-01-03T15:00:00,0.00,46826.98,1039058.58
synb1_txn_2a53b6fab90bd546f11cd3a9,2024-01-03T15:00:00,0.00,746.55,1039805.13
synb1_txn_08b7d9111d80a20e1af7b1c9,2024-01-05T09:00:00,28000.00,0.00,1011805.13
synb1_txn_a2fba0a34e362cffdb866648,2024-01-08T09:00:00,51842.43,0.00,959962.70
synb1_txn_b1da56e47416acbab2b9b42e,2024-01-08T09:00:00,69.60,0.00,959893.10
synb1_txn_af4d8f768766e9a6279a8972,2024-01-08T15:00:00,0.00,1606.52,961499.62
synb1_txn_34c23942cc871f9df0920ff9,2024-01-09T09:00:00,31264.00,0.00,930235.62
synb1_txn_22c2fd6eb2419a3753569835,2024-01-10T09:00:00,10680.78,0.00,919554.84
synb1_txn_ee7e9e1eaaf21f04bcd6235c,2024-01-13T09:00:00,43252.46,0.00,876302.38
synb1_txn_cf006d5fb95ec6bf46f3cf74,2024-01-15T15:00:00,0.00,6646.46,882948.84
synb1_txn_056fc876abf6f384aef45e29,2024-01-17T15:00:00,0.00,110877.06,993825.90
synb1_txn_e7925f227d6450eb601e5e8e,2024-01-19T15:00:00,0.00,8885.14,1002711.04
synb1_txn_9ac2e60f704c55056e0937f3,2024-01-19T15:00:00,0.00,90675.63,1093386.67
synb1_txn_1dd7555660c23504e365737a,2024-01-20T09:00:00,40779.50,0.00,1052607.17
synb1_txn_6846620ee4db30eb7884f34a,2024-01-20T15:00:00,0.00,23310.66,1075917.83
synb1_txn_793fcc35ba89afaaa6fc19fa,2024-01-25T09:00:00,49637.83,0.00,1026280.00
synb1_txn_68b5ce5b4b9d6dd393516cc3,2024-01-28T09:00:00,92000.00,0.00,934280.00
synb1_txn_e98b6fee12d2533e1cc23c39,2024-02-02T09:00:00,85289.90,0.00,848990.10
synb1_txn_ed2b7e2cc3b18eab0eedc57c,2024-02-02T15:00:00,0.00,43516.03,892506.13
synb1_txn_84fc045b65c363056c3ab067,2024-02-05T09:00:00,28000.00,0.00,864506.13
synb1_txn_38e1d23087c7c5f4f5768d93,2024-02-05T09:00:00,11006.84,0.00,853499.29
synb1_txn_365a735e06df82f4fc5b6d46,2024-02-05T09:00:00,38434.62,0.00,815064.67
synb1_txn_978fd0f1147b84b942d88cac,2024-02-05T09:00:00,32424.52,0.00,782640.15
synb1_txn_65fc863f239f456fbc152b6a,2024-02-05T15:00:00,0.00,6057.66,788697.81
synb1_txn_78f633bd187ef0229c2910c8,2024-02-06T09:00:00,19848.33,0.00,768849.48
synb1_txn_1c8ef9d9f20d83157082b6eb,2024-02-06T09:00:00,35914.33,0.00,732935.15
synb1_txn_0918a102c7c6d09ced4b8dfe,2024-02-06T15:00:00,0.00,188782.52,921717.67
synb1_txn_19c85a436fc09596460d9d12,2024-02-08T09:00:00,13423.14,0.00,908294.53
synb1_txn_79403212879b9f730dd63f5a,2024-02-11T09:00:00,10102.56,0.00,898191.97
synb1_txn_f0c582490937e04540b1269d,2024-02-12T09:00:00,11095.65,0.00,887096.32
synb1_txn_5f2388e8684343c8071c2d18,2024-02-12T15:00:00,0.00,94938.48,982034.80
synb1_txn_b7c969b4e5d98b00ca76ebec,2024-02-14T15:00:00,0.00,32476.81,1014511.61
synb1_txn_db66e4732dd0df45752dab7f,2024-02-16T15:00:00,0.00,50956.16,1065467.77
