calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,4064007.84,132313.81,3,3931694.03,last_posted_transaction_or_prior_closing_balance,synb1_txn_f8ca3554e69ea58fb4573d00,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,3931694.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,0.00,0,3931694.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,3,2025-01-04,complete
2025-01-04,0.00,90050.32,1,3841643.71,last_posted_transaction_or_prior_closing_balance,synb1_txn_24a55ab3b8c056a1e38773f8,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-06,complete
2025-01-05,0.00,0.00,0,3841643.71,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,3841643.71,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,5,2025-01-07,complete
2025-01-07,935450.85,0.00,1,4777094.56,last_posted_transaction_or_prior_closing_balance,synb1_txn_47c1df0c3d0dfe831c00d59b,trusted,weekday_rule,base_calendar,True,6,2025-01-08,complete
2025-01-08,1204794.97,19714.35,2,5962175.18,last_posted_transaction_or_prior_closing_balance,synb1_txn_7d4a55a645312ede5ec22739,trusted,weekday_rule,base_calendar,True,7,2025-01-09,complete
2025-01-09,0.00,0.00,0,5962175.18,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-10,complete
2025-01-10,0.00,0.00,0,5962175.18,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2025-01-12,complete
2025-01-11,0.00,0.00,0,5962175.18,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,24210.00,1,5937965.18,last_posted_transaction_or_prior_closing_balance,synb1_txn_f1d869149068c758523e3289,trusted,historical_transaction_override,historical_transaction_override,True,10,2025-01-13,complete
2025-01-13,0.00,0.00,0,5937965.18,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-14,complete
2025-01-14,0.00,0.00,0,5937965.18,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2025-01-15,complete
2025-01-15,0.00,749190.46,2,5188774.72,last_posted_transaction_or_prior_closing_balance,synb1_txn_5f984589d51b724400bc2420,trusted,weekday_rule,base_calendar,True,13,2025-01-16,complete
2025-01-16,0.00,0.00,0,5188774.72,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2025-01-17,complete
2025-01-17,0.00,107851.73,1,5080922.99,last_posted_transaction_or_prior_closing_balance,synb1_txn_d8ae43849c1d4fe68842f78d,trusted,weekday_rule,base_calendar,True,15,2025-01-20,complete
2025-01-18,0.00,0.00,0,5080922.99,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
