transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_f97a89f1247bba82d79dd9e1,2024-01-01T09:00:00,0.00,5200000.00,5200000.00
synb1_txn_27654701caec012ef3cecdb7,2024-01-02T09:00:00,22286.70,0.00,5177713.30
synb1_txn_142627d87e8ba7c637b7bcfa,2024-01-02T09:00:00,260460.99,0.00,4917252.31
synb1_txn_3c9f67e945de21bf99671067,2024-01-05T09:00:00,70000.00,0.00,4847252.31
synb1_txn_18d7a24f6b2adbd2ee41c343,2024-01-07T09:00:00,270000.00,0.00,4577252.31
synb1_txn_9d6d11a43ddf17be17f433c9,2024-01-07T15:00:00,0.00,38408.26,4615660.57
synb1_txn_0ac3dad065543c3911b8895d,2024-01-08T15:00:00,0.00,1136118.60,5751779.17
synb1_txn_669e6b95cc5cc76568f58acf,2024-01-09T09:00:00,397515.86,0.00,5354263.31
synb1_txn_6ca0f9fa0fb8b0b4f2a421dd,2024-01-11T09:00:00,151905.65,0.00,5202357.66
synb1_txn_42fae6ace2d684ed5f2510f8,2024-01-13T15:00:00,0.00,157973.14,5360330.80
synb1_txn_ce170e427da9e82feae9588e,2024-01-18T09:00:00,13477.53,0.00,5346853.27
synb1_txn_4bc9aacee245f56cf81c7cb5,2024-01-23T09:00:00,400000.00,0.00,4946853.27
synb1_txn_03a9ff79ef1469fb09e83f8e,2024-01-23T09:00:00,9110.71,0.00,4937742.56
synb1_txn_0eaaca7cb1ef709053ce0017,2024-01-23T09:00:00,1626.23,0.00,4936116.33
synb1_txn_f89622d46692f2ccb036f53b,2024-01-26T09:00:00,125.06,0.00,4935991.27
synb1_txn_db2bbb07400d8f8cbf5595c2,2024-01-26T09:00:00,24077.71,0.00,4911913.56
synb1_txn_bd12871a762ea19b9eda3178,2024-01-27T09:00:00,596963.56,0.00,4314950.00
synb1_txn_8cdd5862c85f93bb8c41539c,2024-02-02T09:00:00,28419.47,0.00,4286530.53
synb1_txn_722b7bbbb580d8c95242674b,2024-02-02T09:00:00,293751.74,0.00,3992778.79
synb1_txn_55fc78f9240d6d904078c9dd,2024-02-04T09:00:00,53827.10,0.00,3938951.69
synb1_txn_97f5cc9c8d410cacb975ca5a,2024-02-05T09:00:00,4562.76,0.00,3934388.93
synb1_txn_18df31a097b799c6193a1802,2024-02-05T09:00:00,70000.00,0.00,3864388.93
synb1_txn_0558c9c7f7b991699132edfe,2024-02-05T09:00:00,31506.03,0.00,3832882.90
synb1_txn_378eb6899a0feb3b7ea543f8,2024-02-05T15:00:00,0.00,16819.84,3849702.74
synb1_txn_0d9f72f17a44c58fc5050dd1,2024-02-05T15:00:00,0.00,168009.80,4017712.54
synb1_txn_33a590b792c6864012403482,2024-02-05T15:00:00,0.00,10124.26,4027836.80
synb1_txn_4eae13b163bcce6a2f379009,2024-02-07T09:00:00,270000.00,0.00,3757836.80
synb1_txn_3910dd366505a99e3a42812f,2024-02-07T15:00:00,0.00,92559.05,3850395.85
