transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_eae05d2f246c6bea042a22a5,2024-01-01T09:00:00,0.00,636800.00,636800.00
synb1_txn_2c83c2afe9f96717911346a6,2024-01-05T09:00:00,12000.00,0.00,624800.00
synb1_txn_f60028896c06e808eebc2a73,2024-01-07T09:00:00,40000.00,0.00,584800.00
synb1_txn_6236f9bff2ee5d9138e46f60,2024-01-08T15:00:00,0.00,2277.74,587077.74
synb1_txn_ad5cac30a62f949cdc5ad7bf,2024-01-12T15:00:00,0.00,44895.17,631972.91
synb1_txn_967bd5672d821f8d2d9ecc4e,2024-01-15T09:00:00,715.98,0.00,631256.93
synb1_txn_b7d23f7bf6c1d87fdf8a1341,2024-01-15T09:00:00,72.71,0.00,631184.22
synb1_txn_6a0603bc4676e3314b0d3987,2024-01-15T15:00:00,0.00,71513.85,702698.07
synb1_txn_637060e53c1fb172be36b6ac,2024-01-16T15:00:00,0.00,10113.24,712811.31
synb1_txn_082a2091b8e6a1c90ba207ae,2024-01-22T09:00:00,100476.39,0.00,612334.92
synb1_txn_86d5ebfb9416dd49b2056381,2024-01-25T09:00:00,7211.31,0.00,605123.61
synb1_txn_c1ad78c05edf568878812f95,2024-01-26T09:00:00,35063.12,0.00,570060.49
synb1_txn_3868ed0ac2957acd8d70c6af,2024-01-28T09:00:00,83020.49,0.00,487040.00
synb1_txn_279b07d9fa958ec312dfec26,2024-02-04T09:00:00,29152.35,0.00,457887.65
synb1_txn_b1c6b7c51ed63386836b34e9,2024-02-04T15:00:00,0.00,26797.34,484684.99
synb1_txn_e0e99aca5576ce1489dd211f,2024-02-05T09:00:00,12000.00,0.00,472684.99
synb1_txn_88823b3809494830f9485afc,2024-02-07T09:00:00,40000.00,0.00,432684.99
synb1_txn_cdbaa25ce93002acf7e0ea61,2024-02-07T15:00:00,0.00,2941.30,435626.29
synb1_txn_dbe5bc0568d1cc964fd8d97e,2024-02-09T15:00:00,0.00,35190.76,470817.05
synb1_txn_9d35bf479e4a703378385b69,2024-02-09T15:00:00,0.00,608.32,471425.37
synb1_txn_13077ee215abce759cf5e2c8,2024-02-10T15:00:00,0.00,48431.26,519856.63
synb1_txn_2f02efd4f2406616a72cfe9d,2024-02-10T15:00:00,0.00,61218.10,581074.73
synb1_txn_019f3c0c3fa578811fc9f64e,2024-02-11T15:00:00,0.00,26311.85,607386.58
synb1_txn_2a5cb9d8436e64fb6faf5d67,2024-02-14T09:00:00,55000.00,0.00,552386.58
synb1_txn_c89de2712fd108e2249c7011,2024-02-16T09:00:00,32631.85,0.00,519754.73
synb1_txn_ba725b42c4e9bccf82f56489,2024-02-17T15:00:00,0.00,7144.04,526898.77
synb1_txn_306a1ba098a071368f0f7235,2024-02-18T09:00:00,4732.80,0.00,522165.97
synb1_txn_19f92a218b8f49db50589617,2024-02-18T09:00:00,2800.00,0.00,519365.97
synb1_txn_e06d7908fb4b1675bc4725e9,2024-02-18T09:00:00,336.00,0.00,519029.97
synb1_txn_9d63c578237241d238cac638,2024-02-18T09:00:00,1827.60,0.00,517202.37
synb1_txn_765f709c4d3dff2ffab0043e,2024-02-19T09:00:00,4196.06,0.00,513006.31
synb1_txn_5250627b6f840bf3ef2a8a9d,2024-02-19T15:00:00,0.00,32206.26,545212.57
synb1_txn_26fb322ec40b0cb34aefa116,2024-02-20T09:00:00,25487.65,0.00,519724.92
synb1_txn_52894acd712dfe5657687ed6,2024-02-21T15:00:00,0.00,39798.05,559522.97
synb1_txn_08e977625162b245002123ca,2024-02-22T09:00:00,138488.15,0.00,421034.82
synb1_txn_9dd0467ee744a393ac958d25,2024-02-23T15:00:00,0.00,5784.77,426819.59
synb1_txn_2274b94ce4459af985d04623,2024-02-26T15:00:00,0.00,4546.52,431366.11
synb1_txn_8df710380ddcdd6cdea14f67,2024-02-26T15:00:00,0.00,2821.43,434187.54
synb1_txn_2387592a72cd6099fd97b85b,2024-02-27T09:00:00,1974.03,0.00,432213.51
synb1_txn_dfd25b4d7fb1477d13ca3143,2024-02-27T09:00:00,2.31,0.00,432211.20
synb1_txn_afecbce0b636670be1004baf,2024-03-02T15:00:00,0.00,2306.87,434518.07
synb1_txn_28106ab4a9163175c3a6a730,2024-03-02T15:00:00,0.00,255.74,434773.81
synb1_txn_ea92675fe029b9235ffde817,2024-03-03T15:00:00,0.00,2315.81,437089.62
synb1_txn_996c88534bf78521216c6d14,2024-03-04T09:00:00,5123.30,0.00,431966.32
synb1_txn_2cb2d3c45a3147c722d90856,2024-03-05T09:00:00,1189.59,0.00,430776.73
synb1_txn_b51c016297f749e4096290c9,2024-03-05T09:00:00,12000.00,0.00,418776.73
synb1_txn_4c82336374c0c44067ffd781,2024-03-05T09:00:00,4062.54,0.00,414714.19
synb1_txn_0ff6030345a3dfb1ae50fcc8,2024-03-07T09:00:00,4308.69,0.00,410405.50
synb1_txn_30dd1ccecd98ce1f5bb67b9f,2024-03-07T09:00:00,40000.00,0.00,370405.50
synb1_txn_5c4295208e3a72a1b48b6ae3,2024-03-11T09:00:00,553.16,0.00,369852.34
synb1_txn_1f652dbafad65021c7c106d5,2024-03-11T09:00:00,89771.72,0.00,280080.62
synb1_txn_817653b4c16ccf206c6b0039,2024-03-11T15:00:00,0.00,21816.84,301897.46
synb1_txn_887fde7fbcd92a6c0bce791a,2024-03-11T15:00:00,0.00,122583.84,424481.30
synb1_txn_7bb112bc0308216e6e3879c4,2024-03-13T15:00:00,0.00,25812.94,450294.24
synb1_txn_3b593e5b123f6034c7700d2b,2024-03-15T09:00:00,35963.62,0.00,414330.62
synb1_txn_f81ce70a294633079fcc3e2a,2024-03-16T09:00:00,3251.01,0.00,411079.61
synb1_txn_0aa3e70ccd856eddbf15040f,2024-03-17T09:00:00,1571.81,0.00,409507.80
synb1_txn_80ecc0caa6ba06bbf5288763,2024-03-17T15:00:00,0.00,16550.33,426058.13
synb1_txn_6c3c3488e90e5d2ec11ca916,2024-03-17T15:00:00,0.00,67398.35,493456.48
synb1_txn_6c0abcc798ee47e14a48c5f7,2024-03-18T09:00:00,6525.60,0.00,486930.88
synb1_txn_44c4c85bd18d780625bc70a5,2024-03-18T09:00:00,3100.00,0.00,483830.88
synb1_txn_c0e1d86413f1e692bfd6dbc9,2024-03-18T09:00:00,372.00,0.00,483458.88
synb1_txn_46279b7a5cdffc304d7ad15b,2024-03-19T09:00:00,33119.45,0.00,450339.43
synb1_txn_4dad7ab8051ab395e8d09383,2024-03-19T15:00:00,0.00,57011.80,507351.23
synb1_txn_c327afe3ab0c595a11989153,2024-03-20T09:00:00,30679.37,0.00,476671.86
synb1_txn_033160fdb3ef82914d9d57d8,2024-03-22T09:00:00,21416.85,0.00,455255.01
synb1_txn_46f24c647cc7a19e816a0d70,2024-03-22T15:00:00,0.00,16947.48,472202.49
synb1_txn_55b53197ed3e39d919ba3652,2024-03-23T09:00:00,6613.96,0.00,465588.53
synb1_txn_c59c4bfa921b5c6f7df67c7e,2024-03-24T09:00:00,11498.18,0.00,454090.35
synb1_txn_2348cdcc940f12f9480da6c0,2024-03-27T09:00:00,376.75,0.00,453713.60
synb1_txn_ec9a4053e39d86ea85ced0fc,2024-03-28T09:00:00,45000.00,0.00,408713.60
synb1_txn_8ec39d794ccb774729e9f09f,2024-04-03T15:00:00,0.00,1965.33,410678.93
synb1_txn_fee3eec5270eb8f157088c3b,2024-04-03T15:00:00,0.00,67207.82,477886.75
synb1_txn_de1ab1a4334b5f8c0d3124a6,2024-04-05T09:00:00,12000.00,0.00,465886.75
synb1_txn_1f1bc667021dd3cfd101f286,2024-04-06T15:00:00,0.00,52948.34,518835.09
synb1_txn_01e5d044e64f35ae290bfe0f,2024-04-07T09:00:00,40000.00,0.00,478835.09
synb1_txn_12c8872b8f96360cd80bc90b,2024-04-07T09:00:00,30481.86,0.00,448353.23
synb1_txn_7f4736fb616cd18ff7817371,2024-04-07T09:00:00,1304.46,0.00,447048.77
synb1_txn_d967c6c48b1a841e6b9a5e75,2024-04-11T09:00:00,39649.45,0.00,407399.32
synb1_txn_4b2443be6510b3114d1da5c0,2024-04-13T09:00:00,4154.65,0.00,403244.67
synb1_txn_61cde817ce3cd309902cbec3,2024-04-13T09:00:00,27239.63,0.00,376005.04
synb1_txn_aaea3085e622913524028aef,2024-04-13T15:00:00,0.00,17267.35,393272.39
synb1_txn_5b96f4cfab196def626d92cc,2024-04-18T09:00:00,9513.60,0.00,383758.79
synb1_txn_7e07269dd8c28e862f62a86a,2024-04-18T09:00:00,3600.00,0.00,380158.79
synb1_txn_69b45fdc543bd8fd00c70222,2024-04-18T09:00:00,432.00,0.00,379726.79
synb1_txn_71f877d505cc0daa06c6313b,2024-04-18T09:00:00,10940.58,0.00,368786.21
synb1_txn_9bc21616d33b41fb5a28721c,2024-04-19T09:00:00,68972.02,0.00,299814.19
synb1_txn_06c64587893ff3a55b4a13cc,2024-04-23T15:00:00,0.00,65047.29,364861.48
synb1_txn_0f69e965b3c8710433c8782b,2024-04-24T09:00:00,32757.31,0.00,332104.17
synb1_txn_3f1085a7516bcfb6d321d457,2024-04-26T09:00:00,488.20,0.00,331615.97
synb1_txn_c103f6db8c7dbfa021a989c8,2024-04-27T09:00:00,6953.10,0.00,324662.87
synb1_txn_7b89c601a177cf2ec6399a49,2024-04-27T09:00:00,74261.59,0.00,250401.28
synb1_txn_2e2f4f23fac3cd779d1f936c,2024-04-27T15:00:00,0.00,91630.38,342031.66
synb1_txn_e241bfacecdb1992c58c4eb4,2024-04-27T15:00:00,0.00,50912.21,392943.87
synb1_txn_05a18800082d772b7b6643fd,2024-04-28T09:00:00,3357.15,0.00,389586.72
synb1_txn_d0784661ec7ae706f80c9831,2024-04-28T15:00:00,0.00,49821.28,439408.00
synb1_txn_26c95183ef9412f241f0f214,2024-05-02T15:00:00,0.00,171589.29,610997.29
synb1_txn_0c34648ceba397e424e093d7,2024-05-02T15:00:00,0.00,16073.93,627071.22
synb1_txn_4d2ce25cbb7056ad88f426ad,2024-05-02T15:00:00,0.00,12983.48,640054.70
synb1_txn_88368961460ca6d25ae845d3,2024-05-03T09:00:00,159708.91,0.00,480345.79
synb1_txn_2d49d5644c361a519486578d,2024-05-03T15:00:00,0.00,4370.82,484716.61
synb1_txn_d0142716ba85380841c4fa48,2024-05-05T09:00:00,5940.65,0.00,478775.96
