transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_1f81ef7e3f2101dd92a84f9f,2024-01-01T09:00:00,流入,1150000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_94bff63b826905316d40e86d,2024-01-02T09:00:00,流出,16918.17,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e2575647c95bb21ca8c07740,2024-01-03T15:00:00,流入,20923.45,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f8012c24d317cad427a37cd7,2024-01-04T09:00:00,流出,2571.52,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b8643def9896f80c88e6678a,2024-01-05T09:00:00,流出,26000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a28e876b1a4858e49855d5fc,2024-01-07T09:00:00,流出,23312.90,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b9103d0b3fd0b2c771ef26fb,2024-01-11T09:00:00,流出,22.15,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cb9cf391da1432bce156a7ec,2024-01-12T09:00:00,流出,9548.38,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d1fe0010da12963981e9458e,2024-01-13T09:00:00,流出,516.62,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e832ab4a99089f5339f2bd20,2024-01-13T09:00:00,流出,91992.77,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b9f39cd123940f21e066afc0,2024-01-14T15:00:00,流入,54131.62,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e30ca55a71d730c24aebe8da,2024-01-14T15:00:00,流入,28434.16,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_140821001e8e1d7bcb1f7949,2024-01-14T15:00:00,流入,12359.59,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_89f0c349a302d86a9fde5e05,2024-01-17T15:00:00,流入,17715.15,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_74e0fcaa481c466334ab2fb3,2024-01-19T15:00:00,流入,994.79,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2f47f2dd31de2abd71d0b4b0,2024-01-20T15:00:00,流入,43626.92,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a911db3b80a172ea121832b1,2024-01-22T09:00:00,流出,4485.17,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ad96c6d5f6a7582ab68aa4af,2024-01-22T09:00:00,流出,1372.78,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3f5a516deebbab41c130aa85,2024-01-25T09:00:00,流出,67765.58,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f63c7e3a6e3c460693ed5fe9,2024-01-25T09:00:00,流出,25007.71,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_67ef7cf5268afb6c4de80d6f,2024-01-27T15:00:00,流入,10527.02,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8d0471e09f7f15576db4f07c,2024-01-28T09:00:00,流出,90000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2dd82f769587f8eb4818f886,2024-01-28T15:00:00,流入,17537.30,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2229e7f55e54c628843c33d9,2024-02-03T15:00:00,流入,16026.62,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4d70bc619448360a7b33721c,2024-02-05T09:00:00,流出,26000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
