transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_f2ab3d79197536daa712ecde,2024-01-01T09:00:00,0.00,1150000.00,1150000.00
synb1_txn_ca9746ec3f8a7dc5048b55f8,2024-01-05T09:00:00,22000.00,0.00,1128000.00
synb1_txn_4932219bde324c33f3e0afd2,2024-01-05T15:00:00,0.00,45421.82,1173421.82
synb1_txn_e596b9cb1afca3ea5964f82e,2024-01-07T09:00:00,59000.00,0.00,1114421.82
synb1_txn_348ef4c8be1fc44844ac3468,2024-01-07T15:00:00,0.00,14765.11,1129186.93
synb1_txn_27c2a5e656aa423a2ebff161,2024-01-08T15:00:00,0.00,1372.84,1130559.77
synb1_txn_0655ec83758c65351b2296ad,2024-01-09T09:00:00,1007.09,0.00,1129552.68
synb1_txn_4366caaccf30f38619881eae,2024-01-12T09:00:00,1116.45,0.00,1128436.23
synb1_txn_0bc288e49924a7a1bf3d53cf,2024-01-13T15:00:00,0.00,19978.74,1148414.97
synb1_txn_dca9db6aae115ab7f158ee40,2024-01-14T09:00:00,9118.67,0.00,1139296.30
synb1_txn_eec967604c4e607c49edd167,2024-01-14T15:00:00,0.00,67758.00,1207054.30
synb1_txn_a6fcf85fbd6dee7e1617649b,2024-01-16T09:00:00,16535.82,0.00,1190518.48
synb1_txn_bf58801d105528cd7ba225a0,2024-01-16T15:00:00,0.00,5710.32,1196228.80
synb1_txn_969853af3e707d2c199fb9a9,2024-01-26T09:00:00,284024.18,0.00,912204.62
synb1_txn_f63eb3399e10d30dd9d79cad,2024-01-26T15:00:00,0.00,18466.42,930671.04
synb1_txn_8d98bd31f87aea57b5e38b56,2024-01-27T09:00:00,2080.65,0.00,928590.39
synb1_txn_1b15413d8d680e8a3aceb557,2024-01-27T09:00:00,677.14,0.00,927913.25
synb1_txn_14cb5aaa07e65a3ded18ab51,2024-01-27T15:00:00,0.00,96995.52,1024908.77
synb1_txn_fc7fa41ab11807c8e1e5a1b1,2024-01-28T15:00:00,0.00,36331.23,1061240.00
synb1_txn_550d4855d24e6c5822255fd5,2024-02-02T09:00:00,39151.65,0.00,1022088.35
synb1_txn_4fa2939bbe0cf8b6bf07d70d,2024-02-02T09:00:00,42289.23,0.00,979799.12
synb1_txn_5a588a1d25d9f248426a3ac4,2024-02-02T09:00:00,14522.23,0.00,965276.89
synb1_txn_79d449045fdcd127916347b1,2024-02-02T15:00:00,0.00,11932.41,977209.30
synb1_txn_95ae2ca8a6c1013721c21893,2024-02-03T15:00:00,0.00,77203.11,1054412.41
synb1_txn_120bb6839ebdde026a8edfa9,2024-02-04T09:00:00,1308.75,0.00,1053103.66
synb1_txn_bc7a83d6126d96744a4e36b9,2024-02-04T09:00:00,3806.52,0.00,1049297.14
synb1_txn_d5a1b3c1f2f41cc37368824a,2024-02-05T09:00:00,22000.00,0.00,1027297.14
synb1_txn_899f67dd5477b859edca76b4,2024-02-05T15:00:00,0.00,2014.80,1029311.94
synb1_txn_bce4f87734a1d98f80a6717b,2024-02-06T15:00:00,0.00,13591.13,1042903.07
synb1_txn_c7250d9098a63bba3f824e00,2024-02-07T09:00:00,59000.00,0.00,983903.07
synb1_txn_7afd825bf258cc23175e916e,2024-02-07T15:00:00,0.00,71973.66,1055876.73
synb1_txn_1a257fc25332a6087c313387,2024-02-10T09:00:00,23440.99,0.00,1032435.74
synb1_txn_c262e19cc5cad5509b7546e0,2024-02-11T09:00:00,11498.68,0.00,1020937.06
synb1_txn_66fd0706834301072a16962c,2024-02-11T09:00:00,34420.24,0.00,986516.82
synb1_txn_782ccdc6562a97436f4e58c7,2024-02-11T09:00:00,28708.31,0.00,957808.51
synb1_txn_09138604502f9e61f8572e7d,2024-02-12T09:00:00,13020.02,0.00,944788.49
synb1_txn_fc8453313a23503fd3de01b6,2024-02-13T09:00:00,2842.70,0.00,941945.79
synb1_txn_b7a05dbc36f0c131ac731c42,2024-02-14T15:00:00,0.00,56291.24,998237.03
synb1_txn_611500bb1ee5a5724f5f5322,2024-02-15T09:00:00,136000.00,0.00,862237.03
synb1_txn_89713ca7ba4a23629d27c214,2024-02-15T15:00:00,0.00,60058.08,922295.11
synb1_txn_0c8f8362153063b5a8542ed5,2024-02-17T15:00:00,0.00,1876.37,924171.48
synb1_txn_89f733e12952b8b5b7495059,2024-02-18T09:00:00,19355.20,0.00,904816.28
synb1_txn_0148fd60cb484eeee735437f,2024-02-18T09:00:00,5200.00,0.00,899616.28
synb1_txn_a17a9b8dbbd0350b1116a5ff,2024-02-18T09:00:00,624.00,0.00,898992.28
synb1_txn_e4a49787e3011e5fbea3bbfd,2024-02-18T15:00:00,0.00,30432.01,929424.29
synb1_txn_0e9b25229c6683c23a047da2,2024-02-19T15:00:00,0.00,40218.76,969643.05
synb1_txn_f6f92dc61d8698d179210e16,2024-02-20T09:00:00,456.24,0.00,969186.81
synb1_txn_7e1a2a0372a8afd24885091f,2024-02-20T15:00:00,0.00,14159.02,983345.83
synb1_txn_a02607153ae57e8e73b665fc,2024-02-24T09:00:00,736.33,0.00,982609.50
synb1_txn_d10ce833cdec70c844e4a157,2024-02-24T15:00:00,0.00,4986.40,987595.90
synb1_txn_126acfce5e3f0615208794dc,2024-02-25T09:00:00,5711.35,0.00,981884.55
synb1_txn_7f4559c04b6dc423933ad2ee,2024-02-26T09:00:00,139306.76,0.00,842577.79
synb1_txn_5618bedbab5eb1177c972161,2024-02-26T15:00:00,0.00,80062.28,922640.07
synb1_txn_2da715155e59645e4d7ce067,2024-02-27T15:00:00,0.00,19800.73,942440.80
synb1_txn_95c7c91ea630ab76d8f46fc5,2024-03-03T09:00:00,12739.05,0.00,929701.75
