calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,1785000.00,0.00,1,1785000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_a71f52e30233e83b18eb4ba4,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,0.00,0,1785000.00,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,0.00,78681.26,1,1706318.74,last_posted_transaction_or_prior_closing_balance,synb1_txn_e4dcab782920dc647310b631,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,32.48,1,1706286.26,last_posted_transaction_or_prior_closing_balance,synb1_txn_d4f7d9e47bf911f6608ad01b,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,6472.23,5800.00,2,1706958.49,last_posted_transaction_or_prior_closing_balance,synb1_txn_3987dd0c47996b132b749dc4,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,0.00,0,1706958.49,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,74896.04,25817.54,3,1756036.99,last_posted_transaction_or_prior_closing_balance,synb1_txn_4739deff70314252b8b769e5,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,214.41,0.00,1,1756251.40,last_posted_transaction_or_prior_closing_balance,synb1_txn_c8e05eba5dd9ec0323a3a97a,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,32318.76,0.00,1,1788570.16,last_posted_transaction_or_prior_closing_balance,synb1_txn_746cafb34907188feafaefa2,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,0.00,0.00,0,1788570.16,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
