transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_c265922befe30c289ae9fc82,2024-01-01T09:00:00,流入,1320000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c818035ecd906972a2583a54,2024-01-02T15:00:00,流入,15456.02,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8ca4063f642074d803290705,2024-01-02T15:00:00,流入,8873.77,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0fa345e62b10ca04886f14b3,2024-01-02T15:00:00,流入,7724.25,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_812a2f63f72348f2d3f8233c,2024-01-03T15:00:00,流入,25172.68,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_86b2166b219a5c446c33d164,2024-01-05T09:00:00,流出,5800.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8eea1e2314fcc73d8fb3d793,2024-01-06T09:00:00,流出,8314.48,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_059c50bd00633a868614f4b5,2024-01-07T09:00:00,流出,17000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5c6ff4c59c52c54711b3b30b,2024-01-07T09:00:00,流出,4063.22,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5d048cc78cca0b79fe336162,2024-01-08T15:00:00,流入,10759.02,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_948e9361e54aff1479acdb6c,2024-01-09T09:00:00,流出,3351.35,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4fb68266b8032a9d76a2bde0,2024-01-12T09:00:00,流出,13766.36,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f160f17828bdbe3f18ee0ab,2024-01-14T09:00:00,流出,83939.89,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b7700ae228a0a7f0800ec23b,2024-01-16T15:00:00,流入,7359.35,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bcec759a0b836f3f8e20cf0c,2024-01-18T09:00:00,流出,1197.80,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_163124f3cf18fb8804f75ab9,2024-01-18T15:00:00,流入,9056.05,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fea760dee2d25ed6f8151ab2,2024-01-20T09:00:00,流出,3168.25,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_be86aeade5adc170871ae45f,2024-01-23T09:00:00,流出,1448.65,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_08eeda545a1a0aae215d96ff,2024-01-27T15:00:00,流入,5598.86,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ce5aa3d8d6f0750b96d1f25e,2024-02-02T09:00:00,流出,1034.02,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_edbdb40889d0b568234293a8,2024-02-02T15:00:00,流入,1670.67,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c1143e63299bb584b5e6694d,2024-02-03T09:00:00,流出,1725.95,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ef2c6a668982ca57ad981d3c,2024-02-05T09:00:00,流出,5800.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_86ae9705422407e031c019ed,2024-02-05T15:00:00,流入,6606.30,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_da970f49fc58353c31f2c04d,2024-02-06T15:00:00,流入,2844.57,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
