transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_b238b2c63a16c26a9b138b00,2025-01-01T09:00:00,流入,217053959.36,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_095ab76e9b837341a92c0a1e,2025-01-05T13:44:43,流出,220677.98,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f33c98c8f469ab254c0780f4,2025-01-09T09:40:41,流出,207318.97,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_15e52ce1e90c5f617d5168a1,2025-01-16T15:07:09,流出,694025.86,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f5b24567f997bd5bdafe20e,2025-01-20T10:55:55,流出,4491000.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e7c13a3ebec79a2c3bc6a88a,2025-01-21T16:52:38,流出,195566.27,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7450cbd2621ab29d6592d2cd,2025-02-03T09:00:00,流入,44896552.00,银行借款到账,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ea23642ef2b017962f690f0a,2025-02-03T17:50:53,流出,193780.49,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_db73b3803116ec28ac1baf7c,2025-02-07T09:06:57,流出,210044.02,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_718b9621c2350e2f66206652,2025-02-19T11:27:30,流出,219738.71,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6c9ea91ed9f11d4642db2355,2025-02-19T12:17:02,流出,4491000.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_af87a380e4366ff7bd762168,2025-02-20T16:33:20,流出,694025.86,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7bbe88931adbc6595426dbf9,2025-03-01T10:36:05,流出,220197.62,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2c67a932d5c2b11defa357d1,2025-03-02T10:40:19,流入,30679310.32,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7ad1911aa4463f384aad6bdd,2025-03-02T16:31:17,流出,694025.86,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_027073b49a85ffad033b8eda,2025-03-02T17:10:21,流出,202785.12,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
