transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_4fcf45a5e550d64eef37bb75,2024-01-01T09:00:00,0.00,950000.00,950000.00
synb1_txn_fcc951436957f85a5957e010,2024-01-02T09:00:00,679.41,0.00,949320.59
synb1_txn_c15777c45a245b05a5c28e47,2024-01-05T09:00:00,10500.00,0.00,938820.59
synb1_txn_2543f606ee3280a252a8af9f,2024-01-07T09:00:00,32500.00,0.00,906320.59
synb1_txn_033212cab53380b657a17875,2024-01-12T15:00:00,0.00,25294.60,931615.19
synb1_txn_c511b72779beab9cdbde05c3,2024-01-18T09:00:00,1871.92,0.00,929743.27
synb1_txn_6b6e7ce57d9aecaaaedffc83,2024-01-18T09:00:00,44674.72,0.00,885068.55
synb1_txn_81ebb474c4d5e957650ccd63,2024-01-20T09:00:00,8137.06,0.00,876931.49
synb1_txn_e7758272fbd56dd07871c270,2024-01-22T09:00:00,3420.87,0.00,873510.62
synb1_txn_9becb537c1cf8f3ad5975a86,2024-01-22T15:00:00,0.00,119298.49,992809.11
synb1_txn_5bb16d1efa6702eafbc4f3e5,2024-01-25T09:00:00,48842.32,0.00,943966.79
synb1_txn_cc6624f9f1e3f45e538e12b3,2024-01-25T09:00:00,9805.25,0.00,934161.54
synb1_txn_6ddeda1a8ec617854c953701,2024-01-27T09:00:00,4908.13,0.00,929253.41
synb1_txn_19bbf10e34ffcf7702cc2783,2024-01-27T15:00:00,0.00,75406.91,1004660.32
synb1_txn_285f8c125b2cdc88f73069e9,2024-01-28T09:00:00,207.21,0.00,1004453.11
synb1_txn_db1da5999ad369b96e179b61,2024-01-28T09:00:00,57553.11,0.00,946900.00
synb1_txn_5bbba9775979afb8796854a1,2024-02-04T09:00:00,2772.18,0.00,944127.82
synb1_txn_691279005424cdb8d7219056,2024-02-05T09:00:00,10500.00,0.00,933627.82
synb1_txn_e7236997eada7f1618057182,2024-02-06T09:00:00,233.29,0.00,933394.53
synb1_txn_d553c13133864f1183eb21c1,2024-02-06T09:00:00,47400.01,0.00,885994.52
synb1_txn_54282f44bf54e7f0f8555994,2024-02-07T09:00:00,32500.00,0.00,853494.52
synb1_txn_e868d9db5c787ec6d730646c,2024-02-10T15:00:00,0.00,49629.72,903124.24
synb1_txn_05dd0dec5ac22d808a595cc5,2024-02-11T15:00:00,0.00,42439.08,945563.32
synb1_txn_4b45da6da6b6aa56c51a9866,2024-02-12T15:00:00,0.00,24825.12,970388.44
synb1_txn_9fa1e69368df73fa86b22801,2024-02-14T09:00:00,2723.22,0.00,967665.22
synb1_txn_dae73d95b0b3d88774f7441a,2024-02-17T09:00:00,51679.73,0.00,915985.49
synb1_txn_fba5a754dc34bfec3c7ac179,2024-02-17T15:00:00,0.00,22381.67,938367.16
synb1_txn_85eb912ad4c99cc5203ca115,2024-02-18T09:00:00,3887.20,0.00,934479.96
synb1_txn_3c03bebff01a35581cff114b,2024-02-18T09:00:00,2200.00,0.00,932279.96
synb1_txn_4e55ec9697b9375dbdc35eec,2024-02-18T09:00:00,264.00,0.00,932015.96
synb1_txn_8ac361a1deda1b9bf47fe845,2024-02-19T15:00:00,0.00,48567.51,980583.47
synb1_txn_bf1840ac53759957826407e6,2024-02-22T09:00:00,2776.78,0.00,977806.69
synb1_txn_94be5c9be2d955f7d9a9cf5d,2024-02-22T09:00:00,30175.66,0.00,947631.03
synb1_txn_5575f6f163cf8e0ed4525cc7,2024-02-24T09:00:00,16829.33,0.00,930801.70
synb1_txn_2c9ee34d7ea7ca808bca255b,2024-02-25T09:00:00,14109.80,0.00,916691.90
synb1_txn_df96dbbf654c422a41a94578,2024-02-28T15:00:00,0.00,52156.90,968848.80
synb1_txn_661487d8a7f2277dd4e39627,2024-03-02T09:00:00,14380.35,0.00,954468.45
synb1_txn_ada7ac1781887955ca7978b9,2024-03-05T09:00:00,10500.00,0.00,943968.45
synb1_txn_4656143fd445861cd4ec3dc1,2024-03-05T09:00:00,11644.44,0.00,932324.01
synb1_txn_e8374f02ff23751d06d2a9ec,2024-03-05T15:00:00,0.00,148328.37,1080652.38
synb1_txn_0505ffaf7bc2358d7a95c5d8,2024-03-07T09:00:00,32500.00,0.00,1048152.38
synb1_txn_9169cbffb39337e1ac83584b,2024-03-08T09:00:00,52243.61,0.00,995908.77
synb1_txn_6ca7839e3637bc99a04aa110,2024-03-10T15:00:00,0.00,12711.76,1008620.53
synb1_txn_4f3893887b6225ace4c967a6,2024-03-11T09:00:00,13450.92,0.00,995169.61
synb1_txn_0369ebed1e00de336be9e14b,2024-03-11T09:00:00,3912.90,0.00,991256.71
