calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,222167.38,3973.01,2,218194.37,last_posted_transaction_or_prior_closing_balance,synb1_txn_fc4017e2ea348187824e482e,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,218194.37,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,88560.57,1,129633.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_e16dc1655d39f683165341d1,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,129633.80,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,129633.80,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,163855.12,103538.80,3,189950.12,last_posted_transaction_or_prior_closing_balance,synb1_txn_15e30c3c3eaedada0e2d6d0a,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,0.00,0,189950.12,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,189950.12,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,0.00,0,189950.12,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,0.00,0.00,0,189950.12,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-11,complete
2025-01-11,141333.16,0.00,1,331283.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_1b32c8d6bae6384b1f88e7b7,trusted,historical_transaction_override,historical_transaction_override,True,9,2025-01-13,complete
2025-01-12,0.00,0.00,0,331283.28,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,331283.28,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2025-01-14,complete
2025-01-14,154936.35,0.00,1,486219.63,last_posted_transaction_or_prior_closing_balance,synb1_txn_c381ef208b3cb2eb3b46d7b3,trusted,weekday_rule,base_calendar,True,11,2025-01-15,complete
2025-01-15,0.00,0.00,0,486219.63,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2025-01-16,complete
2025-01-16,0.00,14856.48,1,471363.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_6c74aad1cc0fdb748f5fbbe2,trusted,weekday_rule,base_calendar,True,13,2025-01-17,complete
2025-01-17,0.00,6153.88,1,465209.27,last_posted_transaction_or_prior_closing_balance,synb1_txn_cc31d97eacb680e21fb9a593,trusted,weekday_rule,base_calendar,True,14,2025-01-18,complete
2025-01-18,0.00,11076.58,1,454132.69,last_posted_transaction_or_prior_closing_balance,synb1_txn_3dd65bca90183a7033bc6928,trusted,historical_transaction_override,historical_transaction_override,True,15,2025-01-20,complete
