transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_ad1cdd389a3b24c77b4c9be0,2024-01-01T09:00:00,0.00,816800.00,816800.00
synb1_txn_5f45e67c92f774bd684766d6,2024-01-04T09:00:00,7038.78,0.00,809761.22
synb1_txn_289b1ff2bbc50a7fc002bde2,2024-01-05T09:00:00,25000.00,0.00,784761.22
synb1_txn_3a338747ef65357102cec97b,2024-01-06T09:00:00,27734.13,0.00,757027.09
synb1_txn_7fbd048a7107905c80c1f76b,2024-01-06T09:00:00,104931.31,0.00,652095.78
synb1_txn_5455b1925383c492d12de4c2,2024-01-06T15:00:00,0.00,7434.46,659530.24
synb1_txn_5b51d584f4ed253a03c2e8e2,2024-01-07T09:00:00,64000.00,0.00,595530.24
synb1_txn_08b764950e6216824db77af1,2024-01-09T15:00:00,0.00,46001.33,641531.57
synb1_txn_07e1d444d1aae83ba5e1abd8,2024-01-11T09:00:00,2597.74,0.00,638933.83
synb1_txn_13f7774f5edf521a9d9a765b,2024-01-12T15:00:00,0.00,85347.02,724280.85
synb1_txn_53223e84a3efbd50642a8b2e,2024-01-14T15:00:00,0.00,77944.59,802225.44
synb1_txn_9ed57be1d8fde2ab803d482c,2024-01-15T09:00:00,4375.89,0.00,797849.55
synb1_txn_f11573e1ab0b85e2e9136d3b,2024-01-16T15:00:00,0.00,3093.20,800942.75
synb1_txn_df804370902b2ee24f3c08d3,2024-01-18T15:00:00,0.00,1250.51,802193.26
synb1_txn_b77c4f00184b535da805413c,2024-01-18T15:00:00,0.00,214379.57,1016572.83
synb1_txn_06fd8ed0e68f28566b58a6e5,2024-01-18T15:00:00,0.00,26049.32,1042622.15
synb1_txn_8fc7958d6abdbecc28d614ff,2024-01-22T09:00:00,14.01,0.00,1042608.14
synb1_txn_9c955aa698bdce89db042030,2024-01-22T09:00:00,155913.08,0.00,886695.06
synb1_txn_609866341423da760a7f2c0e,2024-01-23T09:00:00,6787.53,0.00,879907.53
synb1_txn_60ec13aa93ebf4846cde5501,2024-01-27T09:00:00,90396.81,0.00,789510.72
synb1_txn_d2a5f5e30e813661c20bf4db,2024-01-28T09:00:00,5600.72,0.00,783910.00
synb1_txn_dce922a36deca02713d6004c,2024-02-03T15:00:00,0.00,68413.73,852323.73
synb1_txn_b55884db87162bc047cded0e,2024-02-04T15:00:00,0.00,26845.24,879168.97
synb1_txn_060cabd2b940437b88204ad0,2024-02-05T09:00:00,25000.00,0.00,854168.97
synb1_txn_3784e52f75f15cfbf2081602,2024-02-05T15:00:00,0.00,40660.31,894829.28
synb1_txn_9cefb9996f3ddfc29a83092b,2024-02-05T15:00:00,0.00,96332.54,991161.82
synb1_txn_8f25e9fc90e4d4b193b057b3,2024-02-07T09:00:00,1593.84,0.00,989567.98
synb1_txn_b638e42414278af3b0d9b7a6,2024-02-07T09:00:00,64000.00,0.00,925567.98
synb1_txn_ff04193c8b96b4fee7ca370d,2024-02-09T09:00:00,91465.94,0.00,834102.04
synb1_txn_68a8e45e6c3e724f68b9964e,2024-02-10T15:00:00,0.00,1751.24,835853.28
synb1_txn_bdae2d9963db3d2f0a417762,2024-02-10T15:00:00,0.00,31392.46,867245.74
synb1_txn_dd1847243f87e6e61c095c4a,2024-02-12T15:00:00,0.00,5799.24,873044.98
synb1_txn_fbbeacc9d48509463a0aecc6,2024-02-13T09:00:00,63736.18,0.00,809308.80
synb1_txn_2613f33897155330fdf4292f,2024-02-15T09:00:00,116000.00,0.00,693308.80
synb1_txn_97b76e4ad561051f2c193d32,2024-02-16T09:00:00,1725.85,0.00,691582.95
synb1_txn_3b7e651ca8838b86eff5ce80,2024-02-16T09:00:00,158026.23,0.00,533556.72
synb1_txn_a537382fe951733145779e10,2024-02-16T15:00:00,0.00,8188.37,541745.09
synb1_txn_77d75fcdcebb060d358a18f1,2024-02-16T15:00:00,0.00,1523.61,543268.70
synb1_txn_a928dd7eccf06e99efb2d69b,2024-02-17T09:00:00,3485.27,0.00,539783.43
synb1_txn_10eda3d7458a4b0d55a8353f,2024-02-17T09:00:00,2119.20,0.00,537664.23
synb1_txn_990cabe45ff4429271baafd4,2024-02-17T15:00:00,0.00,115369.38,653033.61
synb1_txn_d8f89dec78e8eaef69505057,2024-02-18T09:00:00,27309.60,0.00,625724.01
synb1_txn_19cf234d4f09be5ffb7b44d8,2024-02-18T09:00:00,7100.00,0.00,618624.01
synb1_txn_76db8b36850a9cf195bc7072,2024-02-18T09:00:00,852.00,0.00,617772.01
synb1_txn_a48c571fd56b010dada72c91,2024-02-18T15:00:00,0.00,57925.01,675697.02
synb1_txn_2c0f2975dc6c577ebfff5825,2024-02-19T15:00:00,0.00,44047.27,719744.29
synb1_txn_898d58fbb8bfa48b37176b97,2024-02-20T15:00:00,0.00,32921.91,752666.20
synb1_txn_76723051df079862299f316f,2024-02-21T15:00:00,0.00,14116.97,766783.17
synb1_txn_f3d81629982ca638a3d7d231,2024-02-22T09:00:00,6075.84,0.00,760707.33
synb1_txn_4c70b139011a7df723389cab,2024-02-24T09:00:00,45907.88,0.00,714799.45
synb1_txn_9f9484509e50a0ec690edaa0,2024-02-25T09:00:00,69343.77,0.00,645455.68
synb1_txn_76a41667378dcfef59626128,2024-02-26T15:00:00,0.00,47712.72,693168.40
synb1_txn_b3e1c3ff133d955c9b2b7485,2024-03-04T09:00:00,7253.11,0.00,685915.29
