transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_53c50d97d6e03b283f77a17d,2024-01-01T09:00:00,0.00,1485200.00,1485200.00
synb1_txn_9bee0bb8554cf3d4e318cfde,2024-01-05T09:00:00,7000.00,0.00,1478200.00
synb1_txn_f07892a544cf62796b5eed89,2024-01-07T09:00:00,30000.00,0.00,1448200.00
synb1_txn_75aec8c870f095f5a5638f93,2024-01-08T09:00:00,226392.25,0.00,1221807.75
synb1_txn_ca594c976567dbc585a6354a,2024-01-11T09:00:00,83881.33,0.00,1137926.42
synb1_txn_dd5ccae41de150b4440b4424,2024-01-11T15:00:00,0.00,30289.49,1168215.91
synb1_txn_e528e24acfca002df15c836d,2024-01-13T15:00:00,0.00,26044.99,1194260.90
synb1_txn_20aba21db879b83a8871e74c,2024-01-13T15:00:00,0.00,10369.60,1204630.50
synb1_txn_386d1a010c441d906875289d,2024-01-20T09:00:00,3954.42,0.00,1200676.08
synb1_txn_51a4a06eecacf4d3df0c94ed,2024-01-21T09:00:00,2480.31,0.00,1198195.77
synb1_txn_f71bb92fe563520a9a9e4cd2,2024-01-23T09:00:00,60000.00,0.00,1138195.77
synb1_txn_5e441f2ff9e1b25253463ef7,2024-01-23T09:00:00,2521.14,0.00,1135674.63
synb1_txn_38de46c7232a7932d74d4afa,2024-01-24T15:00:00,0.00,49206.50,1184881.13
synb1_txn_c12cd9c48db85fc121601bf5,2024-01-25T15:00:00,0.00,7874.88,1192756.01
synb1_txn_fba14c7f4cdfaae2e71961ba,2024-01-27T09:00:00,1198.55,0.00,1191557.46
synb1_txn_c1a30d61b96172e823dae4ca,2024-01-27T15:00:00,0.00,7775.55,1199333.01
synb1_txn_847e4ff972cc4f3cc0b5208f,2024-01-28T15:00:00,0.00,21108.99,1220442.00
synb1_txn_b509fd08bf3962dc023cc92a,2024-02-02T09:00:00,78.89,0.00,1220363.11
synb1_txn_6d4087bcf2989365d983be2f,2024-02-03T15:00:00,0.00,35099.11,1255462.22
synb1_txn_76ce78e89cea0a5fe277d364,2024-02-04T09:00:00,1250.06,0.00,1254212.16
synb1_txn_07eba0f99a9d9900a10bbc13,2024-02-05T09:00:00,7000.00,0.00,1247212.16
synb1_txn_b723167ab78c2a9fb40bde94,2024-02-06T09:00:00,122729.28,0.00,1124482.88
synb1_txn_606401109c2ad154fe67075e,2024-02-06T15:00:00,0.00,121978.50,1246461.38
synb1_txn_a9480008d7e048df2de480d0,2024-02-06T15:00:00,0.00,13235.08,1259696.46
synb1_txn_8ecf3a114aeefded8856fcf8,2024-02-06T15:00:00,0.00,7878.77,1267575.23
synb1_txn_0b7b1ec1562a200065ba875d,2024-02-07T09:00:00,30000.00,0.00,1237575.23
synb1_txn_6bdc769667f00efa5c4c8b5d,2024-02-08T09:00:00,886.38,0.00,1236688.85
synb1_txn_0f6220393ee954f6d9fa8886,2024-02-08T15:00:00,0.00,4472.57,1241161.42
synb1_txn_2e96399fe8205d0ec7a8f1fa,2024-02-08T15:00:00,0.00,39862.47,1281023.89
synb1_txn_0894760a7c29c591a42be86b,2024-02-09T15:00:00,0.00,34911.36,1315935.25
synb1_txn_ba5771795ebb263cf8bd2727,2024-02-10T15:00:00,0.00,16357.73,1332292.98
synb1_txn_e327a64033a74bc56ed30d4e,2024-02-11T09:00:00,27276.61,0.00,1305016.37
synb1_txn_98c6b93d3084bd43b06e8d24,2024-02-11T09:00:00,1810.96,0.00,1303205.41
synb1_txn_9b0244f2b9b4210d73bbf20a,2024-02-11T15:00:00,0.00,1097.26,1304302.67
synb1_txn_ecf60b6e9d3787c3d167fd0b,2024-02-13T09:00:00,20040.90,0.00,1284261.77
synb1_txn_f8c5188ef0dc0581c05b4749,2024-02-14T09:00:00,4777.45,0.00,1279484.32
synb1_txn_39edb5fb3e28c0616422140d,2024-02-14T09:00:00,536.17,0.00,1278948.15
synb1_txn_0e4061f369baa8c6a59b5cc3,2024-02-16T15:00:00,0.00,17042.00,1295990.15
synb1_txn_cdd04e2305e39a2a57701687,2024-02-17T15:00:00,0.00,4963.62,1300953.77
synb1_txn_02c1f303743523eec778be42,2024-02-18T09:00:00,3635.00,0.00,1297318.77
synb1_txn_8bedb487f2c42342ceb47a53,2024-02-18T09:00:00,436.20,0.00,1296882.57
synb1_txn_aa0599f4e9152b0ad88e08bb,2024-02-18T15:00:00,0.00,162.38,1297044.95
synb1_txn_28075ffd36cc96226eb18667,2024-02-19T15:00:00,0.00,114.28,1297159.23
