transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_ec1185a570a0ef183cd3d275,2024-01-01T09:00:00,0.00,3600000.00,3600000.00
synb1_txn_066ae579754d4eb94c8baba8,2024-01-03T09:00:00,60000.00,0.00,3540000.00
synb1_txn_faab441838271253fc804c1c,2024-01-03T09:00:00,30778.53,0.00,3509221.47
synb1_txn_7b786559f3b5f9c4bd869b42,2024-01-05T15:00:00,0.00,8976.35,3518197.82
synb1_txn_fcbce2c6fdc1856dc17f79f5,2024-01-07T09:00:00,128748.72,0.00,3389449.10
synb1_txn_94edcf172923cd9f64ebc633,2024-01-08T15:00:00,0.00,17007.76,3406456.86
synb1_txn_bc2a630c256cbcd15586f144,2024-01-09T09:00:00,41572.84,0.00,3364884.02
synb1_txn_d07a6f1d769731eafc36ff12,2024-01-09T15:00:00,0.00,4488.18,3369372.20
synb1_txn_d71d3d926641d910d6e9c56a,2024-01-12T15:00:00,0.00,5318.25,3374690.45
synb1_txn_28d6b0a526c2f09bd13cbe27,2024-01-12T15:00:00,0.00,12369.28,3387059.73
synb1_txn_c91dd3bbe906f68b5fee9977,2024-01-14T09:00:00,52513.04,0.00,3334546.69
synb1_txn_3bcfadc6af3cb7fb6dc08a65,2024-01-14T15:00:00,0.00,11628.41,3346175.10
synb1_txn_ce8331a908689caf5a4f80a8,2024-01-14T15:00:00,0.00,4142.91,3350318.01
synb1_txn_422adc8d5202a6e74a6e0b40,2024-01-16T15:00:00,0.00,11818.36,3362136.37
synb1_txn_ffb6707261f913effcf03544,2024-01-18T15:00:00,0.00,7121.70,3369258.07
synb1_txn_71d9e15ed40fafdc9732f858,2024-01-18T15:00:00,0.00,11628.42,3380886.49
synb1_txn_d09365dd0c5131330324edf3,2024-01-18T15:00:00,0.00,10545.61,3391432.10
synb1_txn_c4266719ab744a8392d5e8d1,2024-01-19T09:00:00,26256.52,0.00,3365175.58
synb1_txn_caa74ac234024421b9007473,2024-01-19T15:00:00,0.00,12409.26,3377584.84
synb1_txn_16a3b7c4e56e3dddae016cd3,2024-01-22T15:00:00,0.00,12462.99,3390047.83
synb1_txn_9cbda01bf7475084137b5539,2024-01-23T15:00:00,0.00,13295.65,3403343.48
synb1_txn_a52ec8b8e7ea7fee835eb950,2024-01-24T15:00:00,0.00,6712.49,3410055.97
synb1_txn_5f6d3e6fdb5456eb854483fe,2024-01-24T15:00:00,0.00,9839.42,3419895.39
synb1_txn_e3d06340082ee53743726765,2024-01-24T15:00:00,0.00,7977.38,3427872.77
synb1_txn_0c1536a22c0d3157d5a9f591,2024-01-25T09:00:00,46200.15,0.00,3381672.62
synb1_txn_371ef4007bbe88099ab95a8e,2024-01-27T15:00:00,0.00,15747.15,3397419.77
synb1_txn_d4736820205e0d801042979a,2024-01-28T15:00:00,0.00,5527.94,3402947.71
synb1_txn_21cc19421093185efe5420ed,2024-01-28T15:00:00,0.00,13417.41,3416365.12
